Time,A_dopa,A_B,A_M,C_dopa,C_OMD,C1_M,C2_M,C1_B,C2_B,F_c,F_H,F_G,CL_H,Q,f_H,CL_dopa,f_rest,f_AADC,f_COMT,CL_AADC,CL_rest,CL_COMT,CL_AADC0,ki,CL_dopa0,ka_c,ka_M,ka_B,F_B,CL_OMD,CL_B,fm,CL_M,CL_dB,CL_dM,L_Dopa_per_kg_rat,Benserazide_per_kg_rat,rat_body_mass,A_bens_tot,B_M_frac,gut,Vdopa,V_3_OMD,V1_B,V2_B,V1_M,V2_M,l_dopa_absorption,l_dopa_blood_hepa_clearance,ro_04_5127_absorption,benserazide_absorption,benserazide_gut_clearance,AADC_clearance,COMT_clearance,rest_clearance,_3_OMD_clearance,bens_clearance,bens_metabolism,ro_clearance,bens_distribution,ro_distribution
0.0,101.0,18.134999999999998,1.3650000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.8707850241545894,0.8707850241545894,1.0,0.10699,0.828,0.13,0.823,0.21000000000000008,0.69,0.1,0.5678699999999999,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,113.45458079710144,16.835419202898553,3.371550000000001,0.3750317999999999,16.6718682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,99.70546768530676,17.96532969974832,1.3316974792420517,2.4920950076446773,0.008021426184658226,0.33527961784144333,0.0006285401447759418,0.01757656252568739,5.064577340874169e-05,0.95929395336589,0.95929395336589,1.0,0.03370460661304312,0.828,0.13,0.2592662047157163,0.21000000000000008,0.69,0.1,0.004136204715716302,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,123.38443942576245,5.235613888283265,3.289292773727868,0.37152301819079525,16.515886899572624,0.01030781512263297,0.20509941912915694,0.43070878017122965,7.179176435269112e-05,0.02935285941789794,0.005179916367864343,1.4383495605397918,0.0012618660061640625,0.35473014235846745
0.02,98.42752758758179,17.797246827717625,1.2992074551059605,4.944634477457475,0.031939926752243504,0.4822980572021542,0.0020124537768663815,0.033303237898829906,0.00019504730141592854,0.9594909060087954,0.9594909060087954,1.0,0.03354152982471743,0.828,0.13,0.25801176788244173,0.21000000000000008,0.69,0.1,0.0028817678824416904,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,121.82800973136678,5.143500856613735,3.2090424141117224,0.3680470643972005,16.361364953657368,0.014249288827550803,0.4069434174947502,0.8545811767389756,0.00028586234443257936,0.05561640729104593,0.00981466011018458,2.0690586653972414,0.002383789723013806,0.5091027396308051
0.03,97.16596704186422,17.63073653199598,1.2675101047451205,7.353165943656654,0.07146367297389793,0.5427169132945586,0.003716345545605841,0.047359287966094614,0.0004227324054128791,0.9595410486324825,0.9595410486324825,1.0,0.03350001173230456,0.828,0.13,0.2576923979408043,0.21000000000000008,0.69,0.1,0.00256239794080426,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,120.27280673969412,5.07129074431073,3.1307499587204477,0.3646036314816768,16.20828870859454,0.018841737272417825,0.6051655571629426,1.2708476700421798,0.0006395998731163864,0.079090010903378,0.013957060747654943,2.3282555580336566,0.0033794320003690845,0.57134060181389
0.04,95.92057610895233,17.465784099625314,1.2365860889398583,9.718115393502202,0.12630012588043704,0.5633771652630052,0.005540169080209677,0.05990673335551051,0.0007242519197865545,0.9595557380216438,0.9595557380216438,1.0,0.03348784891807892,0.828,0.13,0.25759883783137627,0.21000000000000008,0.69,0.1,0.002468837831376245,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,118.73306956759625,5.004473612952261,3.0543676396814505,0.36119241518025147,16.056644638467542,0.02399245093315808,0.7998008968852313,1.679581883458986,0.0011303861266299116,0.10004424470370255,0.0176548667124181,2.4168880389782923,0.004261138663372124,0.5913072159537632
0.05,94.69114754046696,17.30237495530138,1.2064165402981668,12.040040037205351,0.19616022507161932,0.565860624840612,0.00739231436256392,0.07109201052228056,0.0010910812067900033,0.9595574318494479,0.9595574318494479,1.0,0.03348644642865713,0.828,0.13,0.25758804945120867,0.21000000000000008,0.69,0.1,0.0024580494512086086,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,117.21145671512186,4.9401236120805265,2.9798488545364723,0.35781311407563254,15.906419343907665,0.029595013805982288,0.9908952950620004,2.0808801196302014,0.0017556340143909928,0.11872365757220853,0.020951233689213273,2.427542080566225,0.005040066910715319,0.5919764091067309
0.06,93.4774767443629,17.140494660085878,1.1769830517443123,14.319525488230179,0.28075880556992294,0.5601108096661059,0.009231129919551582,0.08104746954872412,0.0015155311376772451,0.9595534874551527,0.9595534874551527,1.0,0.03348971238713361,0.828,0.13,0.25761317220872004,0.21000000000000008,0.69,0.1,0.0024831722087200296,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,115.70866406304415,4.877280937183997,2.9071481378084516,0.3544654295705759,15.757599550910149,0.03555784773443129,1.1784969476813436,2.4748435901308223,0.0025127913098508103,0.13534927414636927,0.023885166025829876,2.402875373467595,0.005726299565595374,0.5839324605313477
0.07,92.27936175088219,16.980128910130592,1.1482676652883068,16.557163246595685,0.3798146908901949,0.5507084429945404,0.01103797971443905,0.08989272799448052,0.001990667630818688,0.9595468607195736,0.9595468607195736,1.0,0.033495199324193,0.828,0.13,0.2576553794168692,0.21000000000000008,0.69,0.1,0.0025253794168692075,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,114.22481972167172,4.815556936966301,2.836221133262118,0.3511490658615006,15.610172109661255,0.04181311926469609,1.362654535194825,2.861574523909133,0.003399341483467244,0.15012085575078246,0.02649191572072632,2.3625392204465783,0.006328948346183651,0.5720506910769073
0.08,91.09660317894388,16.821263535413525,1.1202528610693334,18.753543056468658,0.49305069974183097,0.5397632423074198,0.012804826883992091,0.09773589465487796,0.0025102389230092117,0.9595388571218619,0.9595388571218619,1.0,0.03350182630309831,0.828,0.13,0.2577063561776793,0.21000000000000008,0.69,0.1,0.0025763561776792608,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,112.75984234758978,4.75477575324782,2.7670245668412536,0.34786372991235165,15.464123993376361,0.04831580650690703,1.5434165935473705,3.241174846449479,0.004412803762689387,0.16321894407364618,0.02880334307181992,2.315584309498831,0.00685624721269455,0.5585759203488334
0.09,89.9290042029646,16.663884498486798,1.0929215466665423,20.90924972366986,0.6201936203481775,0.5282460240894196,0.014528513560349128,0.104674675690115,0.0030686098331227235,0.9595300787798539,0.9595300787798539,1.0,0.03350909477028097,0.828,0.13,0.25776226746369973,0.21000000000000008,0.69,0.1,0.0026322674636996835,0.17283000000000004,0.0823,0.5678699999999999,0.00246,0.823,1.29,2.47,0.94,0.022,0.00895,1.67,0.15,4.29,0.072,1.06,404.0,78.0,0.25,19.5,0.07,1.0,0.496,0.128,0.202,0.127,0.0691,3.2,111.31356398882912,4.694851432995218,2.69951622026636,0.34460913142870697,15.319442297148882,0.055038737737987765,1.7208312522580294,3.6137456297418624,0.005550732902116188,0.17480670840249204,0.030848242659263305,2.26617544334361,0.007315636741703444,0.5445405611608147
