T,H17,H17INF,H18,H18INF,HKA,HKAINF,M17,M17INF,M18,M18INF,N,NKA,NKAINF,NKINF,S17,S17INF,V
0.0,0.41887,0.41886976,0.99980998,0.99981022,0.97350401,0.97350383,0.0028909999,0.0028910069,0.0047690002,0.0047685378,0.056177001,0.0,3.0822474e-07,0.05617689,0.91058499,0.91058546,-66.477943
0.1,0.41887,0.41886836,0.99980998,0.99981022,0.97350401,0.97350359,0.0028910115,0.0028910192,0.0047687721,0.0047685481,0.056176994,5.9513692e-09,3.0822741e-07,0.056176998,0.91058499,0.91058522,-66.477905
0.2,0.41887,0.41886762,0.99980998,0.99981022,0.97350401,0.97350347,0.0028910208,0.0028910257,0.0047686612,0.0047685532,0.056176998,1.178786e-08,3.0822883e-07,0.05617705,0.91058499,0.91058511,-66.47789
0.30000001,0.41886997,0.41886723,0.99980998,0.99981022,0.97350401,0.97350341,0.0028910264,0.0028910295,0.0047686081,0.004768556,0.056177005,1.7511674e-08,3.082296e-07,0.056177083,0.91058499,0.91058505,-66.477875
0.40000001,0.41886997,0.41886699,0.99981004,0.99981022,0.97350401,0.97350341,0.0028910297,0.0028910316,0.0047685825,0.0047685578,0.056177013,2.3124981e-08,3.0823009e-07,0.056177098,0.91058499,0.91058499,-66.477875
0.5,0.41886997,0.41886681,0.99981004,0.99981022,0.97350401,0.97350341,0.0028910318,0.002891033,0.0047685704,0.0047685588,0.05617702,2.8629909e-08,3.0823037e-07,0.056177113,0.91058499,0.91058499,-66.477867
0.60000002,0.41886997,0.41886669,0.99981004,0.99981022,0.97350401,0.97350335,0.0028910332,0.0028910339,0.0047685648,0.0047685597,0.056177028,3.4028552e-08,3.082306e-07,0.056177121,0.91058499,0.91058493,-66.477867
0.69999999,0.41886997,0.4188666,0.99981004,0.99981022,0.97350401,0.97350335,0.0028910341,0.0028910348,0.0047685625,0.0047685606,0.056177039,3.9322959e-08,3.0823077e-07,0.056177128,0.91058499,0.91058493,-66.477859
0.80000001,0.41886994,0.41886654,0.99981004,0.99981022,0.97350401,0.97350335,0.0028910351,0.0028910355,0.0047685616,0.0047685611,0.056177046,4.451514e-08,3.0823091e-07,0.056177132,0.91058499,0.91058493,-66.477859
0.89999998,0.41886994,0.41886649,0.99981004,0.99981022,0.97350401,0.97350335,0.0028910355,0.002891036,0.0047685616,0.0047685616,0.056177054,4.960707e-08,3.0823105e-07,0.056177139,0.91058499,0.91058493,-66.477859
1.0,0.41886994,0.41886643,0.99981004,0.99981022,0.97350401,0.97350335,0.0028910362,0.0028910364,0.0047685616,0.004768562,0.056177061,5.460069e-08,3.0823114e-07,0.056177143,0.91058499,0.91058493,-66.477859
1.1,0.41886991,0.41886637,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910367,0.0028910369,0.004768562,0.004768562,0.056177069,5.9497889e-08,3.0823125e-07,0.056177147,0.91058499,0.91058487,-66.477852
1.2,0.41886991,0.41886634,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910371,0.0028910374,0.004768562,0.0047685625,0.056177076,6.4300529e-08,3.0823134e-07,0.05617715,0.91058499,0.91058487,-66.477852
1.3,0.41886991,0.41886628,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910374,0.0028910376,0.0047685625,0.004768563,0.056177083,6.9010447e-08,3.0823139e-07,0.05617715,0.91058499,0.91058487,-66.477852
1.4,0.41886991,0.41886625,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910378,0.0028910378,0.0047685625,0.004768563,0.056177087,7.3629423e-08,3.0823145e-07,0.056177154,0.91058499,0.91058487,-66.477852
1.5,0.41886988,0.41886622,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910381,0.0028910381,0.004768563,0.0047685634,0.056177095,7.8159211e-08,3.0823151e-07,0.056177158,0.91058499,0.91058487,-66.477852
1.6,0.41886988,0.41886622,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910383,0.0028910383,0.004768563,0.0047685634,0.056177098,8.2601538e-08,3.0823156e-07,0.056177158,0.91058499,0.91058487,-66.477852
1.7,0.41886988,0.41886619,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910385,0.0028910385,0.0047685634,0.0047685634,0.056177106,8.6958096e-08,3.0823159e-07,0.056177158,0.91058499,0.91058487,-66.477852
1.8,0.41886985,0.41886619,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910385,0.0028910385,0.0047685634,0.0047685634,0.056177109,9.1230532e-08,3.0823162e-07,0.056177162,0.91058499,0.91058487,-66.477852
1.9,0.41886985,0.41886616,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910388,0.0028910388,0.0047685634,0.0047685639,0.056177113,9.5420475e-08,3.0823162e-07,0.056177162,0.91058499,0.91058487,-66.477852
2.0,0.41886985,0.41886616,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910388,0.0028910388,0.0047685634,0.0047685639,0.056177117,9.9529515e-08,3.0823165e-07,0.056177162,0.91058499,0.91058487,-66.477852
2.0999999,0.41886985,0.41886616,0.99981004,0.99981022,0.97350401,0.97350329,0.0028910388,0.0028910388,0.0047685639,0.0047685639,0.056177121,1.0355922e-07,3.0823165e-07,0.056177162,0.91058499,0.91058487,-66.477852
2.2,0.41886982,0.41886616,0.99981004,0.99981022,0.97350395,0.97350329,0.0028910388,0.0028910388,0.0047685639,0.0047685639,0.056177124,1.0751112e-07,3.0823165e-07,0.056177162,0.91058499,0.91058487,-66.477852
2.3,0.41886982,0.41886616,0.99981004,0.99981022,0.97350395,0.97350329,0.0028910388,0.0028910388,0.0047685639,0.0047685639,0.056177128,1.1138671e-07,3.0823162e-07,0.056177162,0.91058499,0.91058487,-66.477852
2.4000001,0.41886982,0.41886619,0.99981004,0.99981022,0.97350395,0.97350329,0.0028910388,0.0028910385,0.0047685639,0.0047685634,0.056177132,1.1518747e-07,3.0823162e-07,0.056177162,0.91058499,0.91058487,-66.477852
2.5,0.41886979,0.41886619,0.99981004,0.99981022,0.97350395,0.97350329,0.0028910385,0.0028910385,0.0047685634,0.0047685634,0.056177136,1.1891484e-07,3.0823159e-07,0.056177158,0.91058499,0.91058487,-66.477852
2.5999999,0.41886979,0.41886619,0.99981004,0.99981022,0.97350395,0.97350329,0.0028910385,0.0028910383,0.0047685634,0.0047685634,0.056177136,1.2257024e-07,3.0823156e-07,0.056177158,0.91058499,0.91058487,-66.477852
2.7,0.41886979,0.41886622,0.99981004,0.99981022,0.97350395,0.97350329,0.0028910383,0.0028910383,0.0047685634,0.0047685634,0.056177139,1.2615507e-07,3.0823153e-07,0.056177158,0.91058499,0.91058487,-66.477852
2.8,0.41886979,0.41886625,0.99981004,0.99981022,0.97350395,0.97350329,0.0028910383,0.0028910381,0.0047685634,0.004768563,0.056177139,1.2967067e-07,3.0823148e-07,0.056177154,0.91058499,0.91058487,-66.477852
