Time,f,k1,k2,a,compartment_,R1,R2,R3,R4
0.0,0.0,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,0.0,0.0,0.0
0.01,2.79000188757621e-08,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.73762602869147e-12,7.784105266337626e-14,1.0427983675103174e-19
0.02,5.580007628811674e-08,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,7.475257219937559e-12,1.556822128438457e-13,4.1711992314581125e-19
0.03,8.370016984659665e-08,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.121289325349932e-11,2.3352347387200467e-13,9.385210697896509e-19
0.04,1.1160029955120185e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.4950534129376756e-11,3.1136483574785316e-13,1.6684840872889128e-18
0.05,1.3950046540193232e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.8688179847569863e-11,3.892062984713912e-13,2.6070097862510085e-18
0.06,1.6740066739878808e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.2425830408078644e-11,4.670478620426187e-13,3.754098977284401e-18
0.07,1.953009055417691e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.61634858109031e-11,5.448895264615358e-13,5.109752470998602e-18
0.08,2.2320118232161908e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.99011463897157e-11,6.227312986773173e-13,6.673971226956356e-18
0.09,2.5110149571730026e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.363881187376813e-11,7.005731730512677e-13,8.446755975656056e-18
0.1,2.7900184556071127e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.737648224054068e-11,7.784151491143845e-13,1.0428107525677998e-17
0.11,3.069022318518521e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.1114157490033365e-11,8.562572268666674e-13,1.2618026694399782e-17
0.12,3.348026545907226e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.485183762224615e-11,9.34099406308116e-13,1.5016514299200054e-17
0.13,3.6270311377732304e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.858952263717908e-11,1.0119416874387313e-12,1.7623571157458578e-17
0.14,3.9060360941165333e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.2327212534832135e-11,1.0897840702585128e-12,2.043919808655614e-17
0.15,4.185041414937133e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.60649073152053e-11,1.16762655476746e-12,2.3463395903874602e-17
0.16,4.464047100235032e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.980260697829861e-11,1.245469140965574e-12,2.669616542679692e-17
0.17,4.7430531500102297e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.354031152411204e-11,1.323311828852854e-12,3.013750747270709e-17
0.18,5.022059564262724e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.727802095264559e-11,1.4011546184293e-12,3.378742285899018e-17
0.19,5.301066342992518e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,7.101573526389926e-11,1.4789975096949124e-12,3.7645912403032326e-17
0.2,5.580073486199611e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,7.475345445787308e-11,1.5568405026496913e-12,4.171297692222076e-17
0.21,5.859080993884e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,7.8491178534567e-11,1.634683597293636e-12,4.598861723394373e-17
0.22,6.138088866045688e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,8.222890749398106e-11,1.712526793626747e-12,5.04728341555906e-17
0.23,6.417097102684675e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,8.596664133611525e-11,1.7903700916490243e-12,5.516562850455178e-17
0.24,6.696105706889337e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,8.9704380102343e-11,1.868213492222125e-12,6.006700115362693e-17
0.25,6.975114691414887e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,9.344212396353953e-11,1.9460569989047533e-12,6.517695316550956e-17
0.26,7.254124041431176e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,9.717987272103275e-11,2.023900607559298e-12,7.049548510488654e-17
0.27,7.533133756938206e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.0091762637482268e-10,2.1017443181857596e-12,7.602259779142542e-17
0.28,7.812143837935975e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.0465538492490928e-10,2.179588130784137e-12,8.175829204479475e-17
0.29,8.091154284424482e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.0839314837129256e-10,2.2574320453544305e-12,8.770256868466423e-17
0.3,8.370165096403733e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.121309167139726e-10,2.3352760618966415e-12,9.385542853070474e-17
0.31,8.649176273873722e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.1586868995294931e-10,2.4131201804107683e-12,1.0021687240258797e-16
0.32,8.92818781683445e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.196064680882227e-10,2.490964400896812e-12,1.0678690111998684e-16
0.33,9.20719972528592e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.2334425111979283e-10,2.5688087233547716e-12,1.135655155025754e-16
0.34,9.486211999228129e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.2708203904765962e-10,2.646653147784648e-12,1.2055271637002862e-16
0.35000000000000003,9.765224638661079e-07,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.3081983187182314e-10,2.724497674186441e-12,1.2774850454202271e-16
0.36,1.004423764358477e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.3455762959228336e-10,2.8023423025601507e-12,1.3515288083823483e-16
0.37,1.0323251013999196e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.3829543220904023e-10,2.8801870329057754e-12,1.4276584607834316e-16
0.38,1.0602264749904366e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.4203323972209384e-10,2.958031865223318e-12,1.5058740108202723e-16
0.39,1.0881278851300277e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.4577105213144416e-10,3.0358767995127772e-12,1.5861754666896735e-16
0.4,1.1160293318186927e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.4950886943709115e-10,3.1137218357741527e-12,1.66856283658845e-16
0.41000000000000003,1.1439308150564317e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.5324669163903486e-10,3.1915669740074444e-12,1.753036128713428e-16
0.42,1.1718323348432445e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.5698451873727525e-10,3.269412214212652e-12,1.8395953512614433e-16
0.43,1.1997338911791315e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.6072235073181234e-10,3.347257556389777e-12,1.9282405124293435e-16
0.44,1.2276354840640925e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.6446018762264615e-10,3.4251030005388182e-12,2.0189716204139868e-16
0.45,1.2555371134981275e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.6819802940977666e-10,3.5029485466597757e-12,2.1117886834122415e-16
0.46,1.2834387794812365e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.7193587609320384e-10,3.58079419475265e-12,2.2066917096209865e-16
0.47000000000000003,1.3113404820134197e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.7567372767292775e-10,3.658639944817441e-12,2.303680707237113e-16
0.48,1.3392422210946764e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.7941158414894833e-10,3.736485796854147e-12,2.40275568445752e-16
0.49,1.3671439967250074e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.8314944552126561e-10,3.814331750862771e-12,2.5039166494791206e-16
0.5,1.3950458089044126e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.8688731178987962e-10,3.892177806843311e-12,2.607163610498838e-16
0.51,1.4229476576328915e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.906251829547903e-10,3.970023964795767e-12,2.7124965757136024e-16
0.52,1.4508495429104445e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.9436305901599768e-10,4.04787022472014e-12,2.81991555332036e-16
0.53,1.4787514647370716e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,1.9810093997350178e-10,4.12571658661643e-12,2.9294205515160645e-16
0.54,1.5066534231127727e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.0183882582730258e-10,4.203563050484636e-12,3.0410115784976815e-16
0.55,1.5345554180375476e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.0557671657740006e-10,4.281409616324758e-12,3.154688642462186e-16
0.56,1.5624574495113968e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.0931461222379426e-10,4.359256284136797e-12,3.270451751606566e-16
0.5700000000000001,1.5903595175343199e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.1305251276648516e-10,4.437103053920752e-12,3.3883009141278185e-16
0.58,1.6182616221063166e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.167904182054727e-10,4.5149499256766235e-12,3.50823613822295e-16
0.59,1.6461637632273876e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.2052832854075697e-10,4.5927968994044116e-12,3.630257432088982e-16
0.6,1.6740659410886583e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.242662437979421e-10,4.670643975637357e-12,3.754364804780204e-16
0.61,1.7019681566603461e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.2800416410700327e-10,4.748491157082366e-12,3.880558268960794e-16
0.62,1.7298704088165889e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.3174208931711432e-10,4.826338440598283e-12,4.00883782787007e-16
0.63,1.757772697557386e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.3548001942827523e-10,4.9041858261851074e-12,4.1392034897130503e-16
0.64,1.7856750228827374e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.392179544404859e-10,4.982033313842837e-12,4.271655262694763e-16
0.65,1.8135773847926428e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.429558943537464e-10,5.059880903571473e-12,4.4061931550202504e-16
0.66,1.8414797832871032e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.466938391680568e-10,5.1377285953710175e-12,4.542817174894567e-16
0.67,1.869382218366118e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.50431788883417e-10,5.215576389241469e-12,4.681527330522774e-16
0.68,1.897284690029687e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.54169743499827e-10,5.293424285182826e-12,4.822323630109943e-16
0.6900000000000001,1.925187198277811e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.579077030172869e-10,5.3712722831950925e-12,4.965206081861163e-16
0.7000000000000001,1.9530897431104884e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.6164566743579657e-10,5.449120383278263e-12,5.110174693981522e-16
0.71,1.9809923245277204e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.653836367553561e-10,5.52696858543234e-12,5.257229474676131e-16
0.72,2.008894942529507e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.691216109759654e-10,5.604816889657324e-12,5.406370432150104e-16
0.73,2.036797597115848e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.728595900976246e-10,5.682665295953216e-12,5.55759757460857e-16
0.74,2.0647002882867436e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.765975741203336e-10,5.760513804320014e-12,5.710910910256667e-16
0.75,2.0926030160421933e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.803355630440924e-10,5.8383624147577196e-12,5.866310447299541e-16
