Time,R,S,Ep,E,k0,k2,k3,J3,k4,J4,Et,Km3,Km4,env,r0,r2,r3,r4
0.0,0.0,0.0,8.881784197001252e-16,0.9999999999999991,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9999999999999991,0.0,4.440892098500232e-14,0.0
0.01,0.009998992239318865,0.0,0.0002019990197346111,0.9997980009802654,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9997980009802654,0.0,0.00989997251243932,0.009899972512307995
0.02,0.019995921378494114,0.0,0.0004122818185798849,0.9995877181814201,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9995877181814201,0.0,0.019797861110722192,0.01979786111073934
0.03,0.02999070755363735,0.0,0.0006313667667700029,0.99936863323323,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.99936863323323,0.0,0.029693584118621434,0.029693584118588946
0.04,0.039983258341394275,0.0,0.0008598161055208831,0.9991401838944791,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9991401838944791,0.0,0.03958704720072433,0.039587047200667615
0.05,0.04997347411594753,0.0,0.0010982408177077074,0.9989017591822923,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9989017591822923,0.0,0.04947814864295512,0.04947814864286629
0.06,0.05996124780362696,0.0,0.00134730601922739,0.9986526939807726,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9986526939807726,0.0,0.05936677908150417,0.05936677908152419
0.07,0.06994646774531288,0.0,0.0016077371649477756,0.9983922628350522,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9983922628350522,0.0,0.06925282430595976,0.06925282430591698
0.08,0.0799289875391805,0.0,0.001880326205563887,0.9981196737944361,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9981196737944361,0.0,0.07913613536483863,0.07913613536481179
0.09,0.08990870605525718,0.0,0.0021659417247075208,0.9978340582752925,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9978340582752925,0.0,0.08901660774474866,0.08901660774485558
0.1,0.09988552054306879,0.0,0.00246553699409513,0.9975344630059049,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9975344630059049,0.0,0.09889413489619596,0.09889413489611963
0.11,0.10985926637369559,0.0,0.002780158601983329,0.9972198413980167,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9972198413980167,0.0,0.10876854851988618,0.1087685485198732
0.12,0.11982979455098344,0.0,0.0031109607834742814,0.9968890392165257,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9968890392165257,0.0,0.11863969524626654,0.11863969524625544
0.13,0.12979694615335613,0.0,0.0034592187072288727,0.9965407812927711,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9965407812927711,0.0,0.1285074112574954,0.12850741125754547
0.14,0.13976052495822178,0.0,0.0038263436987718835,0.9961736563012281,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9961736563012281,0.0,0.13837149510147634,0.1383714951015667
0.15,0.14972033842551263,0.0,0.0042139035400744485,0.9957860964599256,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9957860964599256,0.0,0.14823174816804677,0.14823174816807635
0.16,0.15967616706821092,0.0,0.004623643465941685,0.9953763565340583,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9953763565340583,0.0,0.15808794424967015,0.15808794424965686
0.17,0.16962778022553482,0.0,0.005057512697735356,0.9949424873022646,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9949424873022646,0.0,0.16793984502154874,0.167939845021592
0.18,0.17957490890386327,0.0,0.005517693837539528,0.9944823061624605,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9944823061624605,0.0,0.17778717299446373,0.177787172994508
0.19,0.1895172805129196,0.0,0.006006640615419445,0.9939933593845806,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9939933593845806,0.0,0.1876296457119539,0.1876296457119376
0.2,0.1994546076579282,0.0,0.006527120717639612,0.9934728792823604,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9934728792823604,0.0,0.19746696442633016,0.1974669644263486
0.21,0.20938655579368232,0.0,0.00708226576862192,0.9929177342313781,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9929177342313781,0.0,0.2072987818053737,0.20729878180537856
0.22,0.2193127042153813,0.0,0.007675630731306171,0.9923243692686938,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9923243692686938,0.0,0.2171246629890125,0.21712466298901267
0.23,0.22923270678919405,0.0,0.008311278541362932,0.9916887214586371,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9916887214586371,0.0,0.22694424429699905,0.22694424429701995
0.24,0.2391461598271658,0.0,0.00899386474214181,0.9910061352578582,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9910061352578582,0.0,0.2367571019442679,0.23675710194426322
0.25,0.24905245095295372,0.0,0.009728737891098738,0.9902712621089013,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9902712621089013,0.0,0.24656260184510265,0.24656260184514406
0.26,0.2589510537548731,0.0,0.010522097808831066,0.9894779021911689,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9894779021911689,0.0,0.25636019053332837,0.25636019053331344
0.27,0.26884142994400945,0.0,0.011381163040264264,0.9886188369597357,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9886188369597357,0.0,0.26614929737057924,0.2661492973705594
0.28,0.27872293196817377,0.0,0.012314379317405977,0.987685620682594,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.987685620682594,0.0,0.27592923697860466,0.275929236978589
0.29,0.28859466011984763,0.0,0.013331676230018519,0.9866683237699815,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9866683237699815,0.0,0.28569906633767683,0.2856990663376733
0.3,0.2984558047146175,0.0,0.014444847913279046,0.985555152086721,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.985555152086721,0.0,0.2954579215326647,0.29545792153266576
0.31,0.30830523853869557,0.0,0.015667958823472827,0.9843320411765272,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9843320411765272,0.0,0.3052046119293443,0.30520461192935994
0.32,0.3181418361532244,0.0,0.017017962561742705,0.9829820374382573,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9829820374382573,0.0,0.3149379329187474,0.3149379329187411
0.33,0.3279641831809562,0.0,0.018515436297831145,0.9814845637021689,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9814845637021689,0.0,0.3246563739100041,0.32465637391001456
0.34,0.33777065791377425,0.0,0.020185616173830967,0.979814383826169,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.979814383826169,0.0,0.33435819327966254,0.3343581932796667
0.35000000000000003,0.34755945605932453,0.0,0.022059797395708403,0.9779402026042916,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9779402026042916,0.0,0.344041434876026,0.34404143487602695
0.36,0.35732814471508945,0.0,0.024177161936008162,0.9758228380639918,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9758228380639918,0.0,0.353703475749046,0.3537034757490425
0.37,0.36707437653334357,0.0,0.02658761024411005,0.97341238975589,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.97341238975589,0.0,0.3633417168642516,0.3633417168642452
0.38,0.37679476441913484,0.0,0.02935534292580977,0.9706446570741902,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9706446570741902,0.0,0.37295244741163386,0.37295244741163364
0.39,0.3864854138594562,0.0,0.03256454365202621,0.9674354563479738,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9674354563479738,0.0,0.38253133779899023,0.38253133779899184
0.4,0.3961413002087616,0.0,0.036327512891596414,0.9636724871084036,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9636724871084036,0.0,0.392072773004247,0.3920727730042473
0.41000000000000003,0.4057559575743459,0.0,0.04079724527908779,0.9592027547209122,1.0,1.0,0.5,0.01,1.0,0.01,1.0,0.01,0.01,1.0,0.9592027547209122,0.0,0.40156946557772494,0.4015694655777235
