data_set_value_component_environment_variable_time,data_set_value_component_environment_variable_t_modulo,data_set_value_component_general_parameters_variable_Acap,data_set_value_component_general_parameters_variable_V_myo,data_set_value_component_general_parameters_variable_C_m,data_set_value_component_general_parameters_variable_F,data_set_value_component_general_parameters_variable_T,data_set_value_component_general_parameters_variable_R,data_set_value_component_general_parameters_variable_CaM_tot,data_set_value_component_general_parameters_variable_Km_CaM,data_set_value_component_general_parameters_variable_Ca_o,data_set_value_component_general_parameters_variable_Na_o,data_set_value_component_general_parameters_variable_Ca_NSR,data_set_value_component_general_parameters_variable_J_leak,data_set_value_component_action_potential_variable_V,data_set_value_component_action_potential_variable_t1,data_set_value_component_action_potential_variable_t2,data_set_value_component_action_potential_variable_p,data_set_value_component_action_potential_variable_A,data_set_value_component_action_potential_variable_A1,data_set_value_component_action_potential_variable_rest,data_set_value_component_calcium_input_variable_Ca_input,data_set_value_component_calcium_input_variable_tcalcium,data_set_value_component_calcium_input_variable_Ca_tau1,data_set_value_component_calcium_input_variable_Ca_tau2,data_set_value_component_calcium_input_variable_Ca_pow,data_set_value_component_calcium_input_variable_Ca_amp,data_set_value_component_NCX_current_variable_INaCa,data_set_value_component_NCX_current_variable_Na_i,data_set_value_component_NCX_current_variable_KmNa,data_set_value_component_NCX_current_variable_KmCa,data_set_value_component_NCX_current_variable_ksat,data_set_value_component_NCX_current_variable_eta,data_set_value_component_NCX_current_variable_kNaCa,data_set_value_component_serca_parameters_variable_SERCA_TOT,data_set_value_component_serca_parameters_variable_CaMKII_reg,data_set_value_component_serca_parameters_variable_PKA_reg,data_set_value_component_serca_parameters_variable_PSR,data_set_value_component_serca_parameters_variable_Kmf_PLBKO,data_set_value_component_serca_parameters_variable_Kmf_PLB,data_set_value_component_serca_parameters_variable_Kmr_PLBKO,data_set_value_component_serca_parameters_variable_Kmr_PLB,data_set_value_component_serca_parameters_variable_PLB_tot,data_set_value_component_serca_parameters_variable_kplb_pos,data_set_value_component_serca_parameters_variable_kplb_neg,data_set_value_component_serca_parameters_variable_EC_50_fwd,data_set_value_component_serca_parameters_variable_EC_50_rev,data_set_value_component_transition_parameters_variable_k_cyt_serca,data_set_value_component_transition_parameters_variable_k_serca_cyt,data_set_value_component_transition_parameters_variable_k_serca_sr,data_set_value_component_transition_parameters_variable_k_sr_serca,data_set_value_component_transition_parameters_variable_br_cyt_serca,data_set_value_component_transition_parameters_variable_br_serca_sr,data_set_value_component_calcium_fluxes_variable_J_up,data_set_value_component_calcium_fluxes_variable_J_cyt_serca,data_set_value_component_calcium_fluxes_variable_J_serca_sr,data_set_value_component_calcium_buffering_variable_LTRPN_tot,data_set_value_component_calcium_buffering_variable_kltrpn_pos,data_set_value_component_calcium_buffering_variable_kltrpn_neg,data_set_value_component_calcium_buffering_variable_J_LTRPN,data_set_value_component_calcium_buffering_variable_B_i,data_set_value_component_differential_equations_variable_Ca_cyt,data_set_value_component_differential_equations_variable_LTRPN,data_set_value_component_differential_equations_variable_PLB_dephosph,data_set_value_component_differential_equations_variable_Ca_serca
0.0,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.14114082047826162,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.16945499999999997,2389.0,6.6875,0.17946873140624992,0.006687500000000001,1.0950847166297463e-09,6.25,0.00625,0.08183165695363076,0.10578134296875064,0.023949686015119882,70.0,0.1,0.06,-0.06999999999999984,0.09720817317418573,0.1,11.0,0.1,5.0
0.1,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.1415935468599065,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.182080618673763,2298.0267008901205,6.6875,0.20720844810387679,0.006687500000000001,1.1835043987056795e-09,6.25,0.00625,-0.050714794668380046,-0.02752194281630982,0.023192851852070227,70.0,0.1,0.06,-0.06782771719431047,0.09722839056279305,0.10028565449256557,10.993046818874143,0.18195792712601766,5.001252726499681
0.2,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.1437502224813759,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.19319804285973374,2217.9206259376533,6.6875,0.23328427353019698,0.006687500000000001,1.2705390507373043e-09,6.25,0.00625,-0.1496276597238151,-0.12726505558109857,0.022362604142716506,70.0,0.1,0.06,-0.05934891986508395,0.09732472069245277,0.10164644128400704,10.986644604687802,0.2541255622183303,4.990979349954073
0.30000000000000004,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.1470593848061025,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.2029876051295909,2147.382397313561,6.6875,0.257524798976542,0.006687500000000001,1.3553805209786156e-09,6.25,0.00625,-0.22052572536607953,-0.19903847148426657,0.021487253881812968,70.0,0.1,0.06,-0.04665221320005031,0.09747259054584947,0.10373440682569364,10.981317006592194,0.31767351593372883,4.97225982839349
0.4,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.15108020817199364,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.21160788346772036,2085.269388840184,6.6875,0.279861852160552,0.006687500000000001,1.437327323048769e-09,6.25,0.00625,-0.26840214169441645,-0.24781126124854502,0.0205908804458714,70.0,0.1,0.06,-0.03140247035336585,0.09765236303606854,0.10627140556234002,10.977399101588192,0.37363118122505923,4.94764148429347
0.5,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.1554665061077415,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.21919853049189583,2030.5753401752393,6.6875,0.3002999735612912,0.006687500000000001,1.5157996482512215e-09,6.25,0.00625,-0.2978363908691206,-0.2781429166574729,0.01969347421164768,70.0,0.1,0.06,-0.014902804086101784,0.09784860355217684,0.10903900595382862,10.975078087785421,0.42290509894122597,4.919194030820915
0.6000000000000001,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.15995497025817096,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.22588255626341977,1982.4139081311523,6.6875,0.31889330765060625,0.006687500000000001,1.5903449913732067e-09,6.25,0.00625,-0.31298485775690715,-0.29417379856879755,0.018811059188109627,70.0,0.1,0.06,0.0018597379278835202,0.0980495524475499,0.1118710696489714,10.974427574366102,0.46629377645842135,4.888550811649824
0.7000000000000001,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.1643544305407367,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.2317682279806734,1940.0049785228985,6.6875,0.3357281968831337,0.006687500000000001,1.6606355409746046e-09,6.25,0.00625,-0.31749777157170905,-0.2995418533178149,0.017955918253894122,70.0,0.1,0.06,0.01817262718555923,0.09824665139068792,0.11464697502036328,10.975435779807704,0.5045000193487402,4.856952955098705
0.8,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.1685340897463877,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.2369508667942368,1902.6617193015068,6.6875,0.3509107079658759,0.006687500000000001,1.726461334547174e-09,6.25,0.00625,-0.3144605274105997,-0.29732357677625165,0.017136950634348037,70.0,0.1,0.06,0.03355252416721821,0.0984340264546641,0.1172841936095461,10.978031275679358,0.5381425952238678,4.825303830640773
0.9,0.0,0.0001534,2.584e-05,1.0,96.5,298.0,8.314,24.0,2.38,1000.0,140000.0,760.0,0.0003,-90.0,0.5,200.0,2.0,135.0,110.0,-90.0,0.0,0.0,1.5,7.5,2.0,10.0,-0.17241156489678544,10000.0,87500.0,1380.0,0.1,0.35,950.0,20.0,0.1,0.1,1.0,0.15,0.15,2500.0,1110.0,1.0,1.0,6.8,0.24151447275218293,1869.778872087484,6.6875,0.3645577534297807,0.006687500000000001,1.7877200920764691e-09,6.25,0.00625,-0.3063813670571305,-0.2900212479041304,0.016360119153000053,70.0,0.1,0.06,0.047699361689989006,0.09860796184583814,0.1197307446421992,10.982104859204618,0.5677667819031676,4.79422849205064
