Time,As,Bs,Asyn,Bsyn,nA,k1,k2,qA,QBs,QBsyn,TAh1,TBh1,Vs,Vsyn,t1,t2,default_compartment,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
0.1,0.00599999404671408,1.7999990199203209e-10,4.167060301623996e-09,6.253426868924521e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799998214014224e-09,2.159996680722621e-21,5.776220773411557e-08,4.167060304519803e-08,0.0,1.799998214014224e-09,2.159996680722621e-21,1.7328670078728265e-16,4.167060304519803e-08,1.2501180904871988e-15,5.2116813709208435e-34,4.011647360130483e-14,0.0,1.2501180904871988e-15,5.2116813709208435e-34,6.020201670878942e-23
0.11,0.005999993451386041,1.9799988141969406e-10,4.583765877053677e-09,7.566050761906938e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999980354158121e-09,2.375995983786754e-21,5.776220200286624e-08,4.1670598910580854e-08,0.0,1.7999980354158121e-09,2.375995983786754e-21,1.906153604962006e-16,4.1670598910580854e-08,1.375129763116103e-15,6.936201061297e-34,4.412811658370335e-14,0.0,1.375129763116103e-15,6.936201061297e-34,7.28387049109614e-23
0.12,0.005999992856058102,2.1599985888808808e-10,5.000471369770665e-09,9.003686275735953e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999978568174304e-09,2.5919952204761737e-21,5.7762196271617884e-08,4.167059477596438e-08,0.0,1.7999978568174304e-09,2.5919952204761737e-21,2.0794401831892262e-16,4.167059477596438e-08,1.5001414109311995e-15,9.00453508884294e-34,4.813975876982312e-14,0.0,1.5001414109311995e-15,9.00453508884294e-34,8.667888550934236e-23
0.13,0.005999992260730263,2.3399983439721416e-10,5.417176779774964e-09,1.0566333401818912e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999976782190787e-09,2.8079943907908964e-21,5.776219054037047e-08,4.16705906413486e-08,0.0,1.7999976782190787e-09,2.8079943907908964e-21,2.2527267425544874e-16,4.16705906413486e-08,1.6251530339324892e-15,1.1447939190338805e-33,5.2151400159664164e-14,0.0,1.6251530339324892e-15,1.1447939190338805e-33,1.0172255842121047e-22
0.14,0.005999991665402524,2.5199980794707254e-10,5.833882107066585e-09,1.2253992119946735e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999974996207571e-09,3.0239934947309446e-21,5.776218480912403e-08,4.167058650673352e-08,0.0,1.7999974996207571e-09,3.0239934947309446e-21,2.426013283057792e-16,4.167058650673352e-08,1.7501646321199753e-15,1.4297669073738439e-33,5.616304075322661e-14,0.0,1.7501646321199753e-15,1.4297669073738439e-33,1.1796972345201204e-22
0.15,0.0059999910700748865,2.699997795376635e-10,6.25058735164554e-09,1.406666240603819e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999973210224658e-09,3.239992532296338e-21,5.7762179077878564e-08,4.167058237211914e-08,0.0,1.7999973210224658e-09,3.239992532296338e-21,2.599299804699142e-16,4.167058237211914e-08,1.8751762054936618e-15,1.7584980423010028e-33,6.017468055051058e-14,0.0,1.8751762054936618e-15,1.7584980423010028e-33,1.3542038036991593e-22
0.16,0.005999990474747349,2.8799974916898733e-10,6.6672925135118464e-09,1.6004344234721362e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999971424242046e-09,3.4559915034871e-21,5.776217334663407e-08,4.167057823750545e-08,0.0,1.7999971424242046e-09,3.4559915034871e-21,2.772586307478542e-16,4.167057823750545e-08,2.0001877540535538e-15,2.1341128899964847e-33,6.418631955151621e-14,0.0,2.0001877540535538e-15,2.1341128899964847e-33,1.5407452893066566e-22
0.17,0.005999989879419913,3.0599971684104436e-10,7.083997592665518e-09,1.8067037580194075e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999969638259737e-09,3.67199040830325e-21,5.7762167615390534e-08,4.1670574102892467e-08,0.0,1.7999969638259737e-09,3.67199040830325e-21,2.945872791395993e-16,4.1670574102892467e-08,2.125199277799655e-15,2.5597370144938456e-33,6.819795775624366e-14,0.0,2.125199277799655e-15,2.5597370144938456e-33,1.7393216888586251e-22
0.18,0.005999989284092576,3.2399968255383483e-10,7.500702589106567e-09,2.0254742419105312e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999967852277727e-09,3.887989246744811e-21,5.7762161884147965e-08,4.1670569968280176e-08,0.0,1.7999967852277727e-09,3.887989246744811e-21,3.1191592564514987e-16,4.1670569968280176e-08,2.25021077673197e-15,3.038495978093397e-33,7.220959516469303e-14,0.0,2.25021077673197e-15,3.038495978093397e-33,1.9499330001070519e-22
0.19,0.005999988688765339,3.419996463073592e-10,7.917407502835013e-09,2.2567458726504314e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999966066296017e-09,4.103988018811804e-21,5.776215615290636e-08,4.167056583366858e-08,0.0,1.7999966066296017e-09,4.103988018811804e-21,3.292445702645063e-16,4.167056583366858e-08,2.3752222508505036e-15,3.573515340822895e-33,7.622123177686453e-14,0.0,2.3752222508505036e-15,3.573515340822895e-33,2.1725792206499166e-22
0.2,0.005999988093438204,3.599996081016177e-10,8.334112333850866e-09,2.50051864744653e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999964280314611e-09,4.3199867245042524e-21,5.776215042166573e-08,4.167056169905769e-08,0.0,1.7999964280314611e-09,4.3199867245042524e-21,3.465732129976688e-16,4.167056169905769e-08,2.5002337001552598e-15,4.167920660141643e-33,8.023286759275825e-14,0.0,2.5002337001552598e-15,4.167920660141643e-33,2.407260347798792e-22
0.21,0.005999987498111169,3.7799956793661066e-10,8.750817082154145e-09,2.756792563604763e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999962494333505e-09,4.535985363822175e-21,5.776214469042607e-08,4.1670557564447494e-08,0.0,1.7999962494333505e-09,4.535985363822175e-21,3.639018538446378e-16,4.1670557564447494e-08,2.6252451246462435e-15,4.824837491509616e-33,8.424450261237436e-14,0.0,2.6252451246462435e-15,4.824837491509616e-33,2.6539763789600904e-22
0.22,0.005999986902784234,3.9599952581233854e-10,9.16752174774487e-09,3.0255676178608894e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.79999607083527e-09,4.751983936765597e-21,5.7762138959187364e-08,4.1670553429837996e-08,0.0,1.79999607083527e-09,4.751983936765597e-21,3.812304928054135e-16,4.1670553429837996e-08,2.7502565243234607e-15,5.547391387202469e-33,8.825613683571303e-14,0.0,2.7502565243234607e-15,5.547391387202469e-33,2.912727310991313e-22
0.23,0.0059999863074573995,4.139994817288015e-10,9.584226330623051e-09,3.3068438080019716e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999958922372199e-09,4.967982443334538e-21,5.7762133227949626e-08,4.167054929522919e-08,0.0,1.7999958922372199e-09,4.967982443334538e-21,3.985591298799963e-16,4.167054929522919e-08,2.8752678991869154e-15,6.33870789918206e-33,9.226777026277442e-14,0.0,2.8752678991869154e-15,6.33870789918206e-33,3.1835131417620553e-22
0.24,0.005999985712130665,4.3199943568599993e-10,1.0000930830788704e-08,3.6006211315558797e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999957136391996e-09,5.18398088352902e-21,5.776212749671286e-08,4.1670545160621085e-08,0.0,1.7999957136391996e-09,5.18398088352902e-21,4.158877650683865e-16,4.1670545160621085e-08,3.000279249236611e-15,7.201912576913303e-33,9.627940289355863e-14,0.0,3.000279249236611e-15,7.201912576913303e-33,3.466333868892386e-22
0.25,0.005999985116804032,4.4999938768393416e-10,1.0417635248241844e-08,3.90689958596409e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999955350412096e-09,5.399979257349065e-21,5.776212176547707e-08,4.167054102601368e-08,0.0,1.7999955350412096e-09,5.399979257349065e-21,4.3321639837058436e-16,4.167054102601368e-08,3.125290574472553e-15,8.140130967616195e-33,1.0029103472806583e-13,0.0,3.125290574472553e-15,8.140130967616195e-33,3.761189489919203e-22
0.26,0.005999984521477499,4.679993377226045e-10,1.0834339582982486e-08,4.225679168639276e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999953564432497e-09,5.615977564794695e-21,5.776211603424223e-08,4.167053689140697e-08,0.0,1.7999953564432497e-09,5.615977564794695e-21,4.505450297865902e-16,4.167053689140697e-08,3.250301874894746e-15,9.156488616354607e-33,1.0430266576629615e-13,0.0,3.250301874894746e-15,9.156488616354607e-33,4.0680800023516776e-22
0.27,0.005999983926151067,4.859992858020112e-10,1.1251043835010646e-08,4.556959876984516e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.79999517784532e-09,5.831975805865931e-21,5.776211030300837e-08,4.167053275680096e-08,0.0,1.79999517784532e-09,5.831975805865931e-21,4.678736593164043e-16,4.167053275680096e-08,3.3753131505031937e-15,1.0254111066067502e-32,1.0831429600824977e-13,0.0,3.3753131505031937e-15,1.0254111066067502e-32,4.387005403689739e-22
0.28,0.005999983330824734,5.039992319221546e-10,1.1667748004326338e-08,4.900741708399685e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999949992474202e-09,6.0479739805627944e-21,5.7762104571775474e-08,4.1670528622195646e-08,0.0,1.7999949992474202e-09,6.0479739805627944e-21,4.85202286960027e-16,4.1670528622195646e-08,3.500324401297901e-15,1.1436123857579854e-32,1.123259254539268e-13,0.0,3.500324401297901e-15,1.1436123857579854e-32,4.717965691430237e-22
0.29,0.0059999827354985024,5.21999176083035e-10,1.2084452090929575e-08,5.257024660283592e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999948206495507e-09,6.263972088885306e-21,5.7762098840543546e-08,4.167052448759103e-08,0.0,1.7999948206495507e-09,6.263972088885306e-21,5.025309127174585e-16,4.167052448759103e-08,3.625335627278872e-15,1.2705652529606478e-32,1.1633755410332736e-13,0.0,3.625335627278872e-15,1.2705652529606478e-32,5.060960863068993e-22
0.3,0.005999982140172371,5.399991182846529e-10,1.2501156094820378e-08,5.625808730034696e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999946420517112e-09,6.479970130833491e-21,5.776209310931258e-08,4.167052035298711e-08,0.0,1.7999946420517112e-09,6.479970130833491e-21,5.198595365886994e-16,4.167052035298711e-08,3.750346828446113e-15,1.4065822618753387e-32,1.2034918195645167e-13,0.0,3.750346828446113e-15,1.4065822618753387e-32,5.4159909161014945e-22
0.31,0.0059999815448463405,5.579990585270085e-10,1.2917860015998757e-08,6.007093915051334e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799994463453902e-09,6.695968106407368e-21,5.776208737808259e-08,4.167051621838389e-08,0.0,1.799994463453902e-09,6.695968106407368e-21,5.371881585737497e-16,4.167051621838389e-08,3.875358004799627e-15,1.5519759659518213e-32,1.2436080901329983e-13,0.0,3.875358004799627e-15,1.5519759659518213e-32,5.783055848023105e-22
0.32,0.0059999809495204105,5.75998996810102e-10,1.333456385446473e-08,6.400880212731803e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799994284856123e-09,6.91196601560696e-21,5.776208164685356e-08,4.167051208378137e-08,0.0,1.799994284856123e-09,6.91196601560696e-21,5.5451677867261e-16,4.167051208378137e-08,4.000369156339419e-15,1.70705891842904e-32,1.28372435273872e-13,0.0,4.000369156339419e-15,1.70705891842904e-32,6.162155656329155e-22
0.33,0.00599998035419458,5.939989331339339e-10,1.375126761021831e-08,6.807167620474389e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799994106258374e-09,7.127963858432288e-21,5.7762075915625495e-08,4.167050794917954e-08,0.0,1.799994106258374e-09,7.127963858432288e-21,5.718453968852802e-16,4.167050794917954e-08,4.125380283065493e-15,1.8721436723351262e-32,1.3238406073816831e-13,0.0,4.125380283065493e-15,1.8721436723351262e-32,6.553290338514964e-22
0.34,0.0059999797588688505,6.119988674985045e-10,1.4167971283259514e-08,7.225956135677376e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799993927660655e-09,7.343961634883373e-21,5.776207018439839e-08,4.167050381457841e-08,0.0,1.799993927660655e-09,7.343961634883373e-21,5.891740132117609e-16,4.167050381457841e-08,4.250391384977854e-15,2.0475427804873993e-32,1.3639568540618892e-13,0.0,4.250391384977854e-15,2.0475427804873993e-32,6.956459892075848e-22
0.35000000000000003,0.005999979163543221,6.29998799903814e-10,1.4584674873588356e-08,7.657245755739042e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999937490629664e-09,7.559959344960239e-21,5.7762064453172254e-08,4.167049967997798e-08,0.0,1.7999937490629664e-09,7.559959344960239e-21,6.065026276520526e-16,4.167049967997798e-08,4.375402462076507e-15,2.233568795492366e-32,1.4040730927793398e-13,0.0,4.375402462076507e-15,2.233568795492366e-32,7.371664314507117e-22
0.36,0.005999978568217693,6.479987303498627e-10,1.5001378381204853e-08,8.101036478057668e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999935704653078e-09,7.775956988662906e-21,5.776205872194711e-08,4.167049554537825e-08,0.0,1.7999935704653078e-09,7.775956988662906e-21,6.23831240206155e-16,4.167049554537825e-08,4.500413514361456e-15,2.4305342697457245e-32,1.444189323534036e-13,0.0,4.500413514361456e-15,2.4305342697457245e-32,7.798903603304086e-22
0.37,0.005999977972892265,6.659986588366511e-10,1.541808180610902e-08,8.5573283000315405e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999933918676794e-09,7.991954565991396e-21,5.776205299072291e-08,4.167049141077922e-08,0.0,1.7999933918676794e-09,7.991954565991396e-21,6.411598508740689e-16,4.167049141077922e-08,4.6254245418327054e-15,2.6387517554323624e-32,1.48430554632598e-13,0.0,4.6254245418327054e-15,2.6387517554323624e-32,8.238177755962071e-22
0.38,0.005999977377566937,6.839985853641794e-10,1.583478514830087e-08,9.026121219058936e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799993213270081e-09,8.207952076945728e-21,5.776204725949968e-08,4.167048727618087e-08,0.0,1.799993213270081e-09,8.207952076945728e-21,6.584884596557945e-16,4.167048727618087e-08,4.750435544490261e-15,2.858533804526356e-32,1.5244217611551727e-13,0.0,4.750435544490261e-15,2.858533804526356e-32,8.689486769976385e-22
0.39,0.0059999767822417095,7.01998509932448e-10,1.6251488407780422e-08,9.507415232538139e-16,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999930346725129e-09,8.42394952152593e-21,5.776204152827742e-08,4.167048314158323e-08,0.0,1.7999930346725129e-09,8.42394952152593e-21,6.75817066551332e-16,4.167048314158323e-08,4.8754465223341264e-15,3.0901929687909716e-32,1.5645379680216158e-13,0.0,4.8754465223341264e-15,3.0901929687909716e-32,9.152830642842342e-22
0.4,0.005999976186916583,7.199984325414571e-10,1.6668191584547686e-08,1.0001210337867431e-15,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999928560749747e-09,8.639946899732017e-21,5.776203579705612e-08,4.167047900698629e-08,0.0,1.7999928560749747e-09,8.639946899732017e-21,6.931456715606819e-16,4.167047900698629e-08,5.000457475364306e-15,3.3340417997786647e-32,1.6046541669253103e-13,0.0,5.000457475364306e-15,3.3340417997786647e-32,9.62820937205526e-22
0.41000000000000003,0.005999975591591556,7.379983531912072e-10,1.7084894678602682e-08,1.0507506532445096e-15,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999926774774669e-09,8.855944211564016e-21,5.776203006583579e-08,4.1670474872390044e-08,0.0,1.7999926774774669e-09,8.855944211564016e-21,7.104742746838445e-16,4.1670474872390044e-08,5.125468403580804e-15,3.590392848831083e-32,1.6447703578662585e-13,0.0,5.125468403580804e-15,3.590392848831083e-32,1.0115622955110453e-21
0.42,0.005999974996266631,7.559982718816983e-10,1.750159768994542e-08,1.1026303813669414e-15,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799992498879989e-09,9.071941457021945e-21,5.7762024334616434e-08,4.1670470737794496e-08,0.0,1.799992498879989e-09,9.071941457021945e-21,7.278028759208196e-16,4.1670470737794496e-08,5.250479306983626e-15,3.85955866707906e-32,1.684886540844461e-13,0.0,5.250479306983626e-15,3.85955866707906e-32,1.0615071389503232e-21
0.43,0.005999974400941805,7.73998188612931e-10,1.791830061857592e-08,1.1557602178938674e-15,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999923202825414e-09,9.287938636105827e-21,5.776201860339803e-08,4.167046660319964e-08,0.0,1.7999923202825414e-09,9.287938636105827e-21,7.451314752716082e-16,4.167046660319964e-08,5.375490185572776e-15,4.1418518054426255e-32,1.7250027158599199e-13,0.0,5.375490185572776e-15,4.1418518054426255e-32,1.112655467272892e-21
0.44,0.00599997380561708,7.919981033849056e-10,1.8335003464494197e-08,1.210140162565116e-15,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999921416851238e-09,9.503935748815683e-21,5.776201287218061e-08,4.167046246860549e-08,0.0,1.7999921416851238e-09,9.503935748815683e-21,7.624600727362103e-16,4.167046246860549e-08,5.500501039348259e-15,4.437584814630995e-32,1.7651188829126364e-13,0.0,5.500501039348259e-15,4.437584814630995e-32,1.1650072802282834e-21
0.45,0.005999973210292455,8.099980161976224e-10,1.875170622770026e-08,1.2657702151205157e-15,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999919630877363e-09,9.719932795151538e-21,5.776200714096415e-08,4.167045833401203e-08,0.0,1.7999919630877363e-09,9.719932795151538e-21,7.797886683146262e-16,4.167045833401203e-08,5.625511868310078e-15,4.747070245142575e-32,1.8052350420026116e-13,0.0,5.625511868310078e-15,4.747070245142575e-32,1.2185625775660291e-21
0.46,0.005999972614967931,8.279979270510817e-10,1.9168408908194133e-08,1.3226503752998948e-15,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799991784490379e-09,9.93592977511341e-21,5.7762001409748656e-08,4.167045419941928e-08,0.0,1.799991784490379e-09,9.93592977511341e-21,7.9711726200685625e-16,4.167045419941928e-08,5.7505226724582394e-15,5.070620647264964e-32,1.8453511931298478e-13,0.0,5.7505226724582394e-15,5.070620647264964e-32,1.2733213590356605e-21
