Time,As,Bs,Asyn,Bsyn,nA,k1,k2,qA,QBs,QBsyn,TAh1,TBh1,Vs,Vsyn,t1,t2,default_compartment,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
0.0,0.006,0.0,0.0,0.0,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.8e-09,0.0,5.776226504666211e-08,4.167064439140811e-08,0.0,1.8e-09,0.0,0.0,4.167064439140811e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.005999999404670957,1.7999998994078358e-11,4.1670640144796337e-10,6.418312977433339e-19,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799999821401287e-09,2.1599996649709594e-22,5.776225931540311e-08,4.167064025678397e-08,0.0,1.799999821401287e-09,2.1599996649709594e-22,1.7328678545593425e-17,4.167064025678397e-08,1.25011920434389e-16,5.34910420838602e-37,4.011650934513007e-15,0.0,1.25011920434389e-16,5.34910420838602e-37,6.178938255915592e-25
0.02,0.005999998809342014,3.5999996043076654e-11,8.33412720782176e-10,2.5247267061560236e-18,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999996428026042e-09,4.319998667895543e-22,5.776225358414507e-08,4.167063612216053e-08,0.0,1.7999996428026042e-09,4.319998667895543e-22,3.465735521864968e-17,4.167063612216053e-08,2.500238162346528e-16,4.208278706817826e-36,8.023301078513309e-15,0.0,2.500238162346528e-16,4.208278706817826e-36,2.4305655528561736e-24
0.03,0.005999998214013171,5.399999114086654e-11,1.2501189577439244e-09,5.652596388169569e-18,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999994642039513e-09,6.479997008038527e-22,5.776224785288801e-08,4.1670631987537775e-08,0.0,1.7999994642039513e-09,6.479997008038527e-22,5.1986030013268975e-17,4.1670631987537775e-08,3.750356873231773e-16,1.4132835810651226e-35,1.2034950429510258e-14,0.0,3.750356873231773e-16,1.4132835810651226e-35,5.4417795129209265e-24
0.04,0.005999997618684428,7.19999842820731e-11,1.6668251121063017e-09,1.0028869775354439e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999992856053285e-09,8.639994684755098e-22,5.77622421216319e-08,4.167062785291572e-08,0.0,1.7999992856053285e-09,8.639994684755098e-22,6.931470292427687e-17,4.167062785291572e-08,5.000475336318905e-16,3.343274397520933e-35,1.6046598985319414e-14,0.0,5.000475336318905e-16,3.343274397520933e-35,9.654837234708031e-24
0.05,0.005999997023355786,8.999997546490489e-11,2.0835311837936823e-09,1.565468983819783e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999991070067357e-09,1.0799991697830461e-21,5.776223639037677e-08,4.167062371829436e-08,0.0,1.7999991070067357e-09,1.0799991697830461e-21,8.664337394994871e-17,4.167062371829436e-08,6.250593551381047e-16,6.523406890100651e-35,2.0058246745212725e-14,0.0,6.250593551381047e-16,6.523406890100651e-35,1.5070839060954518e-23
0.06,0.005999996428027244,1.0799996468876497e-10,2.500237172780868e-09,2.2530437393439678e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999989284081732e-09,1.2959988047193168e-21,5.77622306591226e-08,4.16706195836737e-08,0.0,1.7999989284081732e-09,1.2959988047193168e-21,1.0397204308970986e-16,4.16706195836737e-08,7.500711518342603e-16,1.1266287418017995e-34,2.4069893708947603e-14,0.0,7.500711518342603e-16,1.1266287418017995e-34,2.169015160561816e-23
0.07,0.005999995832698802,1.2599995195345463e-10,2.9169430790594693e-09,3.0656239206553256e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999987498096407e-09,1.5119983732819543e-21,5.7762224927869394e-08,4.167061544905373e-08,0.0,1.7999987498096407e-09,1.5119983732819543e-21,1.2130071034336895e-16,4.167061544905373e-08,8.750829237178408e-16,1.7884500956709415e-34,2.808153987644329e-14,0.0,8.750829237178408e-16,1.7884500956709415e-34,2.951289690638006e-23
0.08,0.005999995237370461,1.4399993725890774e-10,3.3336489026266992e-09,4.0032137359250406e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.7999985712111382e-09,1.7279978754701834e-21,5.776221919661715e-08,4.167061131443447e-08,0.0,1.7999985712111382e-09,1.7279978754701834e-21,1.386293757108624e-16,4.167061131443447e-08,1.0000946707880097e-15,2.6690618155493282e-34,3.2093185247672947e-14,0.0,1.0000946707880097e-15,2.6690618155493282e-34,3.85391154754901e-23
0.09,0.00599999464204222,1.619999206051026e-10,3.75035464348164e-09,5.065814570532059e-17,2.91e-20,3e-07,2e-09,4.17e-08,0.0,0.0,72000.0,720000.0,4.19e-15,4.19e-15,0.0,0.0,1.0,4.17e-08,1.799998392612666e-09,1.9439973112837615e-21,5.776221346536587e-08,4.1670607179815897e-08,0.0,1.799998392612666e-09,1.9439973112837615e-21,1.5595803919216922e-16,4.1670607179815897e-08,1.125106393044492e-15,3.7997202395223717e-34,3.6104829822627743e-14,0.0,1.125106393044492e-15,3.7997202395223717e-34,4.8768820650052596e-23
