Time,X1,Y1,Z1,V1,X2,Y2,Z2,V2,F,v_1,K1,n,v_2,K2,vc,K,Kc,L,k3,v_4,K4,k5,v_6,K6,k7,v_8,K8,compartment,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
0.0,4.25,3.25,2.25,2.5,0.0,0.0,0.0,0.0,1.25,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.1133653480196095,7.889501211186963,1.3968543836270009,0.0,0.500225,0.3094898237045756,1.0894,0.8578022705539075,0.96985,0.8846551914709754,6.8355,0.0,1.3968543836270009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,4.236179836982066,3.251898577112914,2.2523155621963875,2.500835075924112,0.07293019555799218,4.45349537896757e-05,5.0681019290299385e-08,8.624613222592533e-05,1.2504606610281688,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.105848380004101,7.887852141436629,1.3972632692090747,0.0,0.49859836681278913,0.30961898508729563,1.0900364030482488,0.8585225851802682,0.9666962387993073,0.8848764421227826,6.8355,1.6892790897787482,1.3972632692090747,0.0,0.00858388401717568,5.935369862430065e-06,1.4928116510299296e-05,2.36759119550203e-08,0.016642670626333816,4.0757506685477236e-05
0.02,4.222305379342615,3.253779570463594,2.2546302585162614,2.501636384574735,0.13320774927466816,0.00016664811451737646,3.84018019407548e-07,0.0003223483397430852,1.250979366457239,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.098320324215532,7.886186434260006,1.3977236011899141,0.0,0.4969653431486257,0.3097469077655896,1.0906669120193966,0.8592423580579467,0.9635300875659846,0.8850887113419421,6.8355,2.6470552835978687,1.3977236011899141,0.0,0.015678552089628442,2.2209596371037267e-05,5.586044798622459e-05,1.793960863539122e-07,0.030398008384479272,0.00015232797146641126
0.03,4.208377143388142,3.255642928859171,2.2569440354312347,2.502403892496418,0.1857001970421413,0.00035460691786952186,1.236922895246205e-06,0.0006850943884443095,1.2515444934424311,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.090781455982101,7.884503938006229,1.3982250411877026,0.0,0.49532598977678427,0.30987358946580257,1.091291509753594,0.8599615730113449,0.9603516641211739,0.885291994597256,6.8355,3.2838185524554215,1.3982250411877026,0.0,0.02185691319186003,4.725822769849655e-05,0.00011886423886986373,5.778351440814034e-07,0.042376784965016644,0.00032373040599859926
0.04,4.19439556592731,3.2574886016869264,2.2592568394040056,2.5031375673593868,0.23277878890525128,0.0006007037527402006,2.813500245433642e-06,0.0011591402592815415,1.252148353809334,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.083232052240186,7.882804489014481,1.3987607464976122,0.0,0.49368035810964445,0.3099990279459585,1.0919101792854577,0.8606802138866545,0.9571610681446122,0.8854862874767677,6.8355,3.7463436824845506,1.3987607464976122,0.0,0.027398063454148074,8.0052967093407e-05,0.00020135589791851524,1.3143414753202497e-06,0.053120119628178336,0.0005476983692556434
0.05,4.180361029939609,3.2593165388370213,2.261568616889895,2.5038373778093646,0.27581157364432324,0.0008993630648972878,5.295024538435783e-06,0.0017333205903311407,1.2527853491998477,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.075672391502535,7.881087914423646,1.3993257317174013,0.0,0.4920284932238919,0.3101232209903636,1.0925229038181696,0.8613982645522801,0.9539583870322186,0.8856715856473949,6.8355,4.101907812857232,1.3993257317174013,0.0,0.03246302221793684,0.00011984949048474497,0.0003014664993535709,2.4735980191861215e-06,0.06294020110563456,0.0008189377620774482
0.06,4.166273879192106,3.2611266906482625,2.263879314338219,2.504503293362254,0.31567252423646386,0.001246305664790027,8.84560515885863e-06,0.0023990173097833607,1.2534511553360188,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.068102753826667,7.879354033724169,1.3999161442234276,0.0,0.49037043558091087,0.31024616640578473,1.0931296667052977,0.8621157088992061,0.9507436992316386,0.8858478848264963,6.8355,4.386262062725173,1.3999161442234276,0.0,0.03715465610263179,0.00016607612082031689,0.000417761658837617,4.1322685966889675e-06,0.07203647003076105,0.0011333566494334242
0.07,4.152134427557384,3.2629190078675316,2.2661888781935016,2.5051352843254806,0.35296053959938,0.0016381088815239106,1.3615805457428677e-05,0.0031492997569139915,1.2541422920411973,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.06052342078348,7.877602659711207,1.4005288822233728,0.0,0.4887062221235041,0.3103678620185646,1.0937304514371966,0.8628325308413152,0.9475170763685951,0.8860151807605295,6.8355,4.62039407338828,1.4005288822233728,0.0,0.041543455510847024,0.00021827523940004594,0.0005490940970868148,6.360688434564169e-06,0.08054559513657851,0.0014876593806441953
0.08,4.137942965424036,3.2646934416184172,2.268497254896555,2.505733321737319,0.3881075772082571,0.0020719530590180813,1.9745106759318977e-05,0.003978428352104157,1.2548558750447116,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.052934675425989,7.875833599111466,1.4011613742498503,0.0,0.487035887030409,0.310488305672367,1.0943252416304934,0.8635487143156618,0.9442785847097649,0.8861734692085023,6.8355,4.817543719717852,1.4011613742498503,0.0,0.04568026183741186,0.0002760695214329528,0.0006945186653828609,9.224015097765679e-06,0.08856614911892427,0.0018791123567000782
0.09,4.123699764280755,3.266449943376428,2.270804390885463,2.5062973773191164,0.42143595253830696,0.0025454641049007113,2.7363674664829234e-05,0.004881545863602163,1.2555894615913592,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.045336802258118,7.874046653005145,1.4018114419656733,0.0,0.4853594622558449,0.3106074952263747,1.0949140210197785,0.8642642432827127,0.9410282862088684,0.8863227459288548,6.8355,4.9865235414563776,1.4018114419656733,0.0,0.04960301161375873,0.00033914096664319857,0.0008532395679627184,1.2783053479031273e-05,0.09617168436924164,0.002305398355514038
0.1,4.109405080284002,3.2681884649484885,2.2731102325964967,2.5068274234358676,0.4531952886423694,0.0030566024886663256,3.659372917088447e-05,0.00585445950752017,1.256340941471694,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.037730087203418,7.872241617136375,1.4024772033283393,0.0,0.48367697794942704,0.3107254285537804,1.0954967734507333,0.864979101726565,0.9377662393208093,0.8864630066685751,6.8355,5.133464808192928,1.4024772033283393,0.0,0.05334108547320688,0.0004072161169574084,0.0010245731542009523,1.7094895707679288e-05,0.1034191648681887,0.002764513730456674
0.11,4.09505915695121,3.269908958456397,2.2754147264649585,2.507323433064565,0.48358371656449256,0.003603591577996962,4.7550570141202286e-05,0.006893499992857903,1.2571084665287116,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.030114817573771,7.8704182821252395,1.4031570099221924,0.0,0.48198846277315743,0.31084210354055075,1.0960734828745842,0.8656932736551423,0.9344924996162661,0.8865942471543834,6.8355,5.26278253511968,1.4031570099221924,0.0,0.05691780343964077,0.0004800565140326244,0.0012079238969445816,2.2213400050456282e-05,0.11035380412001719,0.003254701926641572
0.12,4.0806622272537485,3.271611376323437,2.2777178189259684,2.5077853797687246,0.5127602710341318,0.004184868444725084,6.034337030338934e-05,0.007995424586703135,1.257890402177714,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.022491282038035,7.868576433612075,1.4038494038396698,0.0,0.4802939441477662,0.31095751808440697,1.096644133343616,0.8664067431003676,0.9312071202593053,0.8867164630855654,6.8355,5.3777418622285555,1.4038494038396698,0.0,0.060351883900717315,0.0005574521491730015,0.001402767902671848,2.8189561210130174e-05,0.11701189384998886,0.003774407766057084
0.13,4.066214515403691,3.2732956712629724,2.280019456415216,2.508213237676805,0.5408550756133665,0.004799043036700638,7.5075850131427e-05,0.009157336630411397,1.258685287153608,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.014859770590566,7.8667158523689915,1.4045530818853147,0.0,0.4785934484630144,0.3110716700939414,1.0972087090073483,0.8671194941183261,0.9279101524151222,0.8868296501278449,6.8355,5.48081771038813,1.4045530818853147,0.0,0.06365864239969324,0.00063921602729951,0.001608639225902054,3.5071825445515756e-05,0.12342312825497023,0.004322239492696479
0.14,4.051716238368259,3.2749617962687214,2.282319585369675,2.5086069814638985,0.5679768255020413,0.00544486619050907,9.184684624624254e-05,0.01037662240529286,1.2594918019345958,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,5.007220574519631,7.8648363143815,1.4052668674940434,0.0,0.47688700125594413,0.31118455748785057,1.0977671941092755,0.8678315107894138,0.9246016455956367,0.8869338039081301,6.8355,5.573927146563256,1.4052668674940434,0.0,0.06685087236159026,0.0007251799084820026,0.0018251191470586403,4.2906355947693086e-05,0.12961231157956582,0.004896939005552539
0.15,4.037167607130503,3.276609704606602,2.2846181522282927,2.50896658633653,0.5942177022468408,0.00612120627104461,0.00011075078038818191,0.01165090491900793,1.260308745627769,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,4.999573986375697,7.862937590901355,1.405989690165158,0.0,0.47517462735926025,0.31129617819427663,1.098319572984133,0.8685427772184766,0.9212816479471808,0.887028920010094,6.8355,5.658582009731912,1.405989690165158,0.0,0.06993942355445316,0.0008151911983777157,0.002051828342054153,5.17372517681365e-05,0.13560047965272906,0.005497360075046419
0.16,4.02256882770899,3.27823934980833,2.2869151034326434,2.5092920280208633,0.6196567531090207,0.00682703271931533,0.0001318780344594525,0.01297801126932787,1.2611350196450957,6.8355,2.7266,5.6645,8.4297,0.291,6.7924,1.0,4.8283,0.0,0.1177,1.0841,8.1343,0.3352,4.6645,9.9849,0.2282,3.5216,7.4519,1.0,4.9919202999396175,7.861019448470966,1.406720570923606,0.0,0.4734563510213481,0.31140653015026826,1.0988658300557521,0.8692532775349369,0.9179502064831915,0.8871149939706556,6.8355,5.735992747925926,1.406720570923606,0.0,0.07293359984093173,0.0009091107584078063,0.0022884213675144986,6.160672286778986e-05,0.14140567105947852,0.006122452961330258
