Time,D,N,v,d_D,d_N,d_v,k_D,k_N,k_D0,k_N0,p_v,v_0,K_D,K_N,K_v1,K_v2,I_0,n_1,n_2,n_3,n_4,f_D,f_N,f_v,I,compartment,Dyn_Secretion,NKB_Secretion,Firing_Rate,Dyn_Decay,NKB_Decay,FR_Decay
0.0,2.348,0.07764,300.0,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.43970588235294117,0.30235341822297485,3016.2643254393183,0.20176599632287878,1.0,0.43970588235294117,0.30235341822297485,3016.2643254393183,0.587,0.07764,3000.0
0.01,2.346530246483894,0.07987933035559867,300.1622478138539,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.43997541540690405,0.30303444954924014,3017.813757862858,0.2018703472139734,1.0,0.43997541540690405,0.30303444954924014,3017.813757862858,0.5866325616209735,0.07987933035559867,3001.622478138539
0.02,2.3450668495832434,0.08210315145144857,300.32396537802447,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44024417844122143,0.30371442581474756,3019.3973634710314,0.20197700072634578,1.0,0.44024417844122143,0.30371442581474756,3019.3973634710314,0.5862667123958109,0.08210315145144857,3003.2396537802447
0.03,2.343609789938557,0.08431160704350497,300.4855210466304,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44051278287447104,0.30439403959869105,3021.014427370093,0.2020859087868873,1.0,0.44051278287447104,0.30439403959869105,3021.014427370093,0.5859024474846393,0.08431160704350497,3004.855210466304
0.04,2.342159052604507,0.08650485173134112,300.6472510940076,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44078178776468235,0.3050739257095843,3022.6642626134158,0.2021970252042634,1.0,0.44078178776468235,0.3050739257095843,3022.6642626134158,0.5855397631511268,0.08650485173134112,3006.4725109400756
0.05,2.3407146284430707,0.0886830419961711,300.80944557475215,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44105167616514407,0.30575463325224894,3024.3462020602256,0.2023103051205906,1.0,0.44105167616514407,0.30575463325224894,3024.3462020602256,0.5851786571107677,0.0886830419961711,3008.0944557475214
0.06,2.339276512447353,0.09084633796615076,300.9723644654741,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44132288184536206,0.3064366562363663,3026.059600766019,0.2024257051724136,1.0,0.44132288184536206,0.3064366562363663,3026.059600766019,0.5848191281118382,0.09084633796615076,3009.723644654741
0.07,2.3378447035972174,0.09299490313436555,301.1362383380385,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44159579031498003,0.30712043441938736,3027.8038354442983,0.20254318345444353,1.0,0.44159579031498003,0.30712043441938736,3027.8038354442983,0.5844611758993044,0.09299490313436555,3011.362383380385
0.08,2.336419204725823,0.09512890343989942,301.3012679557583,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44187073805702054,0.30780635209276336,3029.578303188983,0.20266269943350534,1.0,0.44187073805702054,0.30780635209276336,3029.578303188983,0.5841048011814558,0.09512890343989942,3013.012679557583
0.09,2.3350000235604336,0.0972485076001216,301.4676152595629,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4421479974059782,0.3084947199825778,3031.3824199057162,0.20278421384287723,1.0,0.4421479974059782,0.3084947199825778,3031.3824199057162,0.5837500058901084,0.0972485076001216,3014.676152595629
