data_gen_time,data_gen_v
0.0,-60.0
2.0,-59.966228
4.0,-59.924892
6.0,-59.876045
8.0,-59.820137
10.0,-59.757648
12.0,-59.689281
14.0,-59.61533
16.0,-59.536198
18.0,-59.452347
20.0,-59.364006
22.0,-59.271381
24.0,-59.174725
26.0,-59.074314
28.0,-58.970062
30.0,-58.862003
32.0,-58.750301
34.0,-58.634865
36.0,-58.515533
38.0,-58.392345
40.0,-58.265343
42.0,-58.134521
44.0,-57.999352
46.0,-57.859436
48.0,-57.715237
50.0,-57.566757
52.0,-57.412796
54.0,-57.248184
56.0,-57.077614
58.0,-56.901081
60.0,-56.718586
62.0,-56.530132
64.0,-56.335712
66.0,-56.135338
68.0,-55.921047
70.0,-55.690907
72.0,-55.45113
74.0,-55.201717
76.0,-54.942669
78.0,-54.673985
80.0,-54.395664
82.0,-54.107708
84.0,-53.789265
86.0,-53.448383
88.0,-53.087364
90.0,-52.702389
92.0,-52.278042
94.0,-51.824505
96.0,-51.341778
98.0,-50.800762
100.0,-50.188389
102.0,-49.522156
104.0,-48.802059
106.0,-47.983204
108.0,-47.067146
110.0,-46.005875
112.0,-44.788673
114.0,-43.318703
116.0,-41.544983
118.0,-39.343922
120.0,-36.658825
122.0,-33.182556
124.0,-28.57914
126.0,-22.554554
128.0,-15.543966
130.0,-9.4153481
132.0,-6.1393023
134.0,-6.0136819
136.0,-8.3176651
138.0,-12.112072
140.0,-16.609423
142.0,-21.202671
144.0,-25.556709
146.0,-29.570621
148.0,-33.218765
150.0,-36.507175
152.0,-39.450138
154.0,-42.069252
156.0,-44.388641
158.0,-46.43243
160.0,-48.229416
162.0,-49.813248
164.0,-51.222179
166.0,-52.489136
168.0,-53.604748
170.0,-54.593155
172.0,-55.467743
174.0,-56.235798
176.0,-56.905937
178.0,-57.489086
180.0,-57.990025
182.0,-58.424999
184.0,-58.801659
186.0,-59.122501
188.0,-59.396797
190.0,-59.634544
192.0,-59.844681
194.0,-60.023392
196.0,-60.183475
198.0,-60.332047
200.0,-60.47224
202.0,-60.58469
204.0,-60.684631
206.0,-60.774712
208.0,-60.856529
210.0,-60.93018
212.0,-60.999073
214.0,-61.065311
216.0,-61.126331
218.0,-61.179371
220.0,-61.227924
222.0,-61.272572
224.0,-61.312595
226.0,-61.348118
228.0,-61.379822
230.0,-61.407978
232.0,-61.433445
234.0,-61.455673
236.0,-61.474567
238.0,-61.490124
240.0,-61.502346
242.0,-61.51123
244.0,-61.520908
246.0,-61.528904
