alpha,beta,gamma,Time
0.462,0.2,0.338,0.0
0.4585217686632297,0.20603053259723914,0.3354476987395313,0.01
0.45519456048302653,0.21175949072973016,0.3330459487872434,0.02
0.4520099806055426,0.21720364580136559,0.3307863735930921,0.03
0.44895958617508225,0.22237986512540678,0.3286605486995111,0.04
0.4460356082245216,0.22730366988729456,0.326660721888184,0.05
0.44323091063053777,0.23198931712727056,0.32477977224219184,0.06
0.4405388240652971,0.23645013143168836,0.32301104450301465,0.07
0.4379531489884653,0.24069849894824832,0.3213483520632864,0.08
0.43546810078297193,0.24474597696577316,0.31978592225125485,0.09
0.43307823443998106,0.2486034443474793,0.31831832121253956,0.1
0.4307785858476729,0.2522808193240339,0.3169405948282931,0.11
0.42856426352676447,0.2557878749575333,0.315647861515702,0.12
0.4264310723422821,0.2591329933443754,0.3144359343133422,0.13
0.4243748168637555,0.2623245570860315,0.3133006260502128,0.14
0.4223915917165928,0.26537036933870783,0.31223803894469915,0.15
0.42047766595791775,0.2682778847630061,0.31124444927907596,0.16
0.41862955491968595,0.2710540660222275,0.31031637905808646,0.17
0.41684397403959844,0.27370547600508444,0.30945054995531707,0.18
0.4151178294978959,0.27623829653418674,0.30864387396791737,0.19
0.41344825904791677,0.27865824679531576,0.30789349415676764,0.2
0.4118324458608169,0.28097095520409054,0.30719659893509277,0.21
0.4102678854592136,0.28318142618032666,0.30655068836046007,0.22
0.4087521078653874,0.28529459518542527,0.30595329694918766,0.23
0.407282785879634,0.28731511242474456,0.3054021016956218,0.24
0.40585778543957507,0.2892472422505022,0.30489497230992313,0.25
0.4044749602426473,0.2910952734303271,0.3044297663270262,0.26
0.4031324117046453,0.2928629998423746,0.3040045884529809,0.27
0.4018282134383398,0.29455427086387814,0.3036175156977832,0.28
0.40056062650802327,0.29617256137766157,0.3032668121143166,0.29
0.39932796526380393,0.2977212397877023,0.30295079494849547,0.3
0.3981286171478825,0.2992035284529101,0.30266785439920946,0.31
0.39696109151503634,0.3006224061566958,0.30241650232827016,0.32
0.3958239172177408,0.301980812710772,0.3021952700714897,0.33
0.39471575729285074,0.3032814198319179,0.30200282287523406,0.34
0.39363528748981474,0.30452687382040183,0.3018378386897863,0.35000000000000003
0.3925812830074794,0.30571962227634497,0.3016990947161786,0.36
0.391552563801168,0.3068620233651923,0.3015854128336429,0.37
0.3905479811815687,0.30795637259045266,0.30149564622798186,0.38
0.3895664939042377,0.309004750782529,0.3014287553132366,0.39
0.38860711407469994,0.31000913216915876,0.3013837537561446,0.4
0.3876688115404454,0.3109715753897263,0.30135961306983156,0.41000000000000003
0.3867506889003313,0.3118938738481324,0.30135543725153957,0.42
0.3858518994279144,0.31277771969201357,0.3013703808800752,0.43
0.38497162244215005,0.3136247530201643,0.30140362453768893,0.44
0.3841089976728075,0.31443669301646815,0.3014543093107277,0.45
0.3832633060419482,0.3152149767613192,0.3015217171967361,0.46
0.3824338302398618,0.3159610377912489,0.30160513196889316,0.47000000000000003
0.381619870358538,0.31667627485466177,0.3017038547868046,0.48
0.3808207520689672,0.317362035580143,0.30181721235089465,0.49
0.3800358431535795,0.3180195834565729,0.3019445733898528,0.5
0.3792645273228203,0.31865015013206366,0.30208532254512155,0.51
