R_1_task1,_1_task1
100000000.0,0.0
113250571.33519411,1.0
141525898.88562873,2.0
178433401.06086108,3.0
223826252.63496515,4.0
278029023.94725806,5.0
340917978.995144,6.0
411830638.33738583,7.0
489606352.60408,8.0
572684780.9497125,9.0
659216860.2331116,10.0
747150414.9241754,11.0
834267863.0919238,12.0
918176170.6958914,13.0
996274113.5664226,14.0
1065761405.4773388,15.0
1123798959.5640492,16.0
1167934053.321575,17.0
1196754907.6704948,18.0
1210439993.66397,19.0
1210753316.6344767,20.0
1200427933.9529366,21.0
1182372151.3653827,22.0
1159131831.3561294,23.0
1132704953.5876238,24.0
1104577167.3977883,25.0
1075836701.5144413,26.0
1047290509.5082546,27.0
1019556030.1071754,28.0
993126576.0250506,29.0
968415992.7707603,30.0
945788510.317581,31.0
925577131.0851018,32.0
908092554.0170494,33.0
893623548.1154226,34.0
882429490.9936596,35.0
874726034.6015557,36.0
870665742.0187303,37.0
870315984.7790333,38.0
873637770.3888224,39.0
880469054.8196522,40.0
890515748.9631625,41.0
903353150.2518284,42.0
918437991.4508604,43.0
935130941.2031909,44.0
952727588.2736351,45.0
970495778.9030417,46.0
987716401.6331582,47.0
1003724876.3882383,48.0
1017949729.7468204,49.0
1029944357.1385357,50.0
