L_1_task1,V_2_task1,_1_task1
1000000.0,7000000.0,0.0
730370.6482843596,1461173.0898972778,1.0
531252.5842954863,973715.885270234,2.0
387361.25150023686,729986.8204292986,3.0
283490.7914696194,557788.915820556,4.0
208496.75998594362,433198.84489645355,5.0
154335.50951884408,342882.0202306067,6.0
115212.639656143,277512.5939005644,7.0
86959.68834377668,230528.68334808797,8.0
66585.62461377395,197394.44157233104,9.0
51953.70238528668,175098.17840552062,10.0
41550.635402874315,161835.65606025085,11.0
34325.92164702831,156864.61158278902,12.0
29582.92334036182,160526.66299597124,13.0
26914.274418029792,174467.20471806958,14.0
26175.600230920067,202078.48823338028,15.0
27493.191444724245,249142.0752374536,16.0
31296.33143376097,324464.4527982917,17.0
38346.64752758292,439943.39187656745,18.0
49710.208966303515,609153.4468004005,19.0
66600.74863253784,843657.3260846387,20.0
90048.10644688125,1147290.0561627054,21.0
120430.14208230795,1510327.8574394297,22.0
157016.57557276162,1906621.1429285659,23.0
197738.3798770369,2296271.827655494,24.0
239349.24192625735,2634008.3553200886,25.0
277989.29643968766,2880399.3676452357,26.0
309976.3072340467,3011402.189878616,27.0
332547.47981292754,3022632.919967186,28.0
344312.5321174619,2927488.7555548144,29.0
345320.95674833044,2750974.08708061,30.0
336802.15839499526,2522294.6208105534,31.0
320728.35933254455,2268786.947914413,32.0
299360.50230153225,2012365.4345553042,33.0
274884.2980917685,1768381.909305663,34.0
249179.8554844268,1546124.1409048596,35.0
223716.71221183226,1350095.4693840113,36.0
199543.65302548266,1181459.115051936,37.0
177335.24597883353,1039302.8768071352,38.0
157464.2952851554,921587.0453993641,39.0
140078.92987577966,825811.2615976369,40.0
125173.27778907496,749432.5544898184,41.0
112645.2839293193,690108.1954143302,42.0
102341.45769842334,645823.3767303155,43.0
94089.07876403081,614935.3735273788,44.0
87717.84713467919,596171.2268515283,45.0
83073.02529697023,588588.6726386205,46.0
80021.72865264535,591512.8507225143,47.0
78453.69992954384,604448.3174903116,48.0
78277.33588926491,626968.9786215738,49.0
79411.84236799326,658588.2648657804,50.0
