Time,R,L,V,E,u,T,delta,pi,p,alpha,k,beta,sigma,z,Blood,R_Death,R_Birth,R_to_L,R_to_E,L_Death,L_to_E,E_Death,V_Death,V_Creation
0.0,100000000.0,1000000.0,7000000.0,0.0,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,4000000.0,6416426.050689765,28699.999999999996,114800.0,40000.0,288000.0,0.0,26250000.0,0.0
1.0,113250571.33519411,730370.6482843596,1461173.0898972778,15165.842864744443,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,4530022.853407765,27406060.18173028,6784.6261772695825,27138.50470907833,29214.825931374384,210346.74670589555,242653.4858359111,5479399.087114791,4549752.859423333
2.0,141525898.88562873,531252.5842954863,973715.885270234,11175.799679027108,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,5661035.95542515,38485847.7103847,5650.0466528055085,22600.186611222038,21250.103371819452,153000.74427710005,178812.79486443373,3651434.5697633773,3352739.9037081324
3.0,178433401.06086108,387361.25150023686,729986.8204292986,8451.348514798607,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,7137336.042434444,48236437.31041165,5340.415275050956,21361.66110020382,15494.450060009474,111560.04043206821,135221.5762367777,2737450.5766098695,2535404.554439582
4.0,223826252.63496515,283490.7914696194,557788.915820556,6486.574806132325,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,8953050.105398607,58753194.45606633,5118.759914366838,20475.03965746735,11339.631658784776,81645.34794325038,103785.1968981172,2091708.434327085,1945972.4418396973
5.0,278029023.94725806,208496.75998594362,433198.84489645355,5062.91214840941,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,11121160.957890322,69757212.98305938,4938.1159328872645,19752.463731549058,8339.870399437745,60047.06687595176,81006.59437455056,1624495.6683617008,1518873.6445228232
6.0,340917978.995144,154335.50951884408,342882.0202306067,4030.8626568696864,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,13636719.15980576,80716064.26021224,4792.680460202411,19170.721840809645,6173.420380753763,44448.62674142709,64493.80250991498,1285807.575864775,1209258.797060906
7.0,411830638.33738583,115212.639656143,277512.5939005644,3284.6665018022495,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,16473225.533495434,91071393.390807,4685.81573640206,18743.26294560824,4608.50558624572,33181.24022096918,52554.66402883599,1040672.2271271165,985399.9505406749
8.0,489606352.60408,86959.68834377668,230528.68334808797,2750.1296271356373,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,19584254.1041632,100322102.91023757,4627.600620811809,18510.402483247235,3478.387533751067,25044.39024300768,44002.0740341702,864482.5625553299,825038.8881406912
9.0,572684780.9497125,66585.62461377395,197394.44157233104,2376.3585275671135,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,22907391.2379885,108063127.95981438,4634.83649383419,18539.34597533676,2663.424984550958,19176.659888766895,38021.736441073816,740229.1558962414,712907.558270134
10.0,659216860.2331116,51953.70238528668,175098.17840552062,2130.162603650115,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,26368674.409324467,113981341.83691788,4732.534527442005,18930.13810976802,2078.1480954114672,14962.666286962562,34082.60165840184,656618.1690207024,639048.7810950346
11.0,747150414.9241754,41550.635402874315,161835.65606025085,1992.680614944199,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,29886016.596967015,117819513.48956138,4957.538680572644,19830.15472229058,1662.0254161149726,11966.582996027802,31882.889839107185,606883.7102259407,597804.1844832597
12.0,834267863.0919238,34325.92164702831,156864.61158278902,1958.110213720062,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,33370714.523676954,119325585.447495,5365.551276296639,21462.205105186556,1373.0368658811326,9885.865434344154,31329.76341952099,588242.2934354588,587433.0641160186
13.0,918176170.6958914,29582.92334036182,160526.66299597124,2034.5850164494946,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,36727046.82783566,118212397.96853723,6043.062025693459,24172.248102773836,1183.3169336144729,8519.881922024204,32553.360263191913,601974.9862348922,610375.5049348484
14.0,996274113.5664226,26914.274418029792,174467.20471806958,2247.623702180721,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,39850964.542656906,114158271.10120986,7126.503548803159,28506.014195212636,1076.5709767211918,7751.311032392579,35961.979234891536,654252.0176927609,674287.1106542163
15.0,1065761405.4773388,26175.600230920067,202078.48823338028,2646.4444001338115,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,42630456.21909355,106897092.08366372,8830.065599090072,35320.26239636029,1047.0240092368026,7538.572866504978,42343.110402140985,757794.330875176,793933.3200401434
16.0,1123798959.5640492,27493.191444724245,249142.0752374536,3312.4522887746966,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,44951958.382561974,96441206.4400823,11479.409802354614,45917.639209418456,1099.7276577889697,7918.0391360805825,52999.236620395146,934282.782140451,993735.686632409
17.0,1167934053.321575,31296.33143376097,324464.4527982917,4366.463166347028,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,46717362.132863,83387472.9433656,15537.0764241345,62148.305696537995,1251.8532573504388,9013.343452923158,69863.41066155245,1216741.6979935938,1309938.9499041084
18.0,1196754907.6704948,38346.64752758292,439943.39187656745,5966.247940635269,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,47870196.30681979,69057053.10375004,21586.680946344914,86346.72378537965,1533.865901103317,11043.834487943881,95459.9670501643,1649787.719537128,1789874.3821905805
19.0,1210439993.66397,49710.208966303515,609153.4468004005,8282.292941022753,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,48417599.7465588,55165545.025178686,30231.09146570395,120924.3658628158,1988.4083586521406,14316.540182295412,132516.68705636406,2284325.425501502,2484687.882306826
20.0,1210753316.6344767,66600.74863253784,843657.3260846387,11443.683867871574,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,48430132.66537907,43139121.024485275,41879.897132057966,167519.58852823186,2664.0299453015136,19181.0156061709,183098.94188594518,3163714.9728173953,3433105.160361472
21.0,1200427933.9529366,90048.10644688125,1147290.0561627054,15462.15158613269,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,48017117.35811747,33642733.54292827,56466.800302329946,225867.20120931976,3601.92425787525,25933.8546567018,247394.42537812304,4302337.710610146,4638645.475839807
22.0,1182372151.3653827,120430.14208230795,1510327.8574394297,20163.636064945527,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,47294886.05461531,26632885.282153852,73216.55352077681,292866.2140831073,4817.205683292318,34683.88091970469,322618.17703912844,5663729.465397862,6049090.819483658
