Time,CaI,IP3,CaS,g,A,B,C,D,E,F,k1,k2,k3,L,R,cytosol,ER_store,JChannel,JPump,kPLC,kPhosphatase,inhibition_parameter1,inhibition_parameter2
0.0,0.1,0.05,1100.0,0.0,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.113121590283884,0.0017776987689436029,0.09183385421917518,0.05,1.0000000000000002e-12,0.02
0.01,0.21111014297742337,0.05042182652837786,1099.8888898570226,-0.00019999999992615904,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.11790001677614,0.007921540691168166,0.09295166924430487,0.05042182652837786,1.9866586371574438e-11,0.02
0.02,0.3221854644157086,0.050850564407235024,1099.7778145355844,-0.0003999999993642463,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.122827415063428,0.018445441059461228,0.09406665907955164,0.050850564407235024,1.0779471171107875e-10,0.02
0.03,0.4331837580865859,0.05128611482642092,1099.6668162419135,-0.000599999997226198,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.127908936198905,0.033331875846014235,0.09517841199039995,0.05128611482642092,3.523296215602828e-10,0.02
0.04,0.5440630902016125,0.0517283757756495,1099.555936909798,-0.0007999999913629489,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.133149814058747,0.05255390952621157,0.09628652263511596,0.0517283757756495,8.768884552412817e-10,0.02
0.05,0.6547818977570051,0.05217724224846671,1099.4452181022425,-0.0009999999782110468,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.138555362054177,0.07607536375310851,0.09739059297579802,0.05217724224846671,1.8400123361392034e-09,0.02
0.06,0.7652990810582054,0.052632606355650986,1099.3347009189413,-0.0011999999524406864,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.14413096882395,0.10385103815127077,0.09849023311606553,0.052632606355650986,3.4343583474544646e-09,0.02
0.07,0.8755740829504449,0.05309435745515905,1099.224425917049,-0.001399999906659067,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.149882093931637,0.13582697758660012,0.09958506199255258,0.05309435745515905,5.885443282320071e-09,0.02
0.08,0.9855669984837845,0.05356238227037782,1099.1144330015156,-0.001599999831003242,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.155814262856598,0.1719407954260397,0.10067470835534599,0.05356238227037782,9.450154895317651e-09,0.02
0.09,1.0952386319994663,0.05403656495237866,1099.004761368,-0.0017999997129371959,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.16193306163301,0.2121220264899325,0.10175881121351495,0.05403656495237866,1.4415046369191627e-08,0.02
0.1,1.2045505802451733,0.05451678736781814,1098.895449419754,-0.001999999536926993,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.16824413331879,0.25629252621539333,0.1028370205286074,0.05451678736781814,2.1094434436055277e-08,0.02
0.11,1.3134653372647775,0.055002929049545325,1098.7865346627343,-0.002199999284101627,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.174753170446813,0.30436691805166416,0.10390899811082244,0.055002929049545325,2.982832473729388e-08,0.02
0.12,1.4219463143224764,0.0554948674896069,1098.6780536856766,-0.0023999989321681994,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.181465911733616,0.3562530384710699,0.10497441766793125,0.0554948674896069,4.098017956766911e-08,0.02
0.13,1.5299579274476975,0.05599247821710902,1098.5700420725514,-0.002599998455112501,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.188388135587878,0.41185243575785774,0.10603296551373394,0.05599247821710902,5.4934560282892574e-08,0.02
0.14,1.6374657078026953,0.05649563486436585,1098.4625342921963,-0.0027999978228206127,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.19552565292326,0.4710609111149133,0.10708434148891695,0.05649563486436585,7.209467343913841e-08,0.02
0.15,1.7444362943865253,0.05700420943249384,1098.3555637056127,-0.0029999970011343443,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.202884303304055,0.5337690192473822,0.10812825872201146,0.05700420943249384,9.287982479058383e-08,0.02
0.16,1.8508374865424602,0.0575180724474913,1098.2491625134567,-0.00319999595169319,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.21046994912569,0.5998626091935219,0.10916444397430942,0.0575180724474913,1.1772282352706107e-07,0.02
0.17,1.9566383237516802,0.058037093047182645,1098.1433616762474,-0.003399994631685045,20.0,40.0,1.1,2.0,1.0,0.02,0.5,0.15,1.0,0.01,0.09,1.0,1.0,11.218288468479118,0.6692233951725769,0.11019263824481192,0.058037093047182645,1.4706736685942314e-07,0.02
