data_generator_T,data_generator_X
0.0,-1.5647
6.0,-1.5673752
12.0,-1.5674107
18.0,-1.5673878
24.0,-1.5673873
30.0,-1.5673877
36.0,-1.5673879
42.0,-1.5673883
48.0,-1.5673885
54.0,-1.5673889
60.0,-1.5673891
66.0,-1.5673895
72.0,-1.5673897
78.0,-1.5673901
84.0,-1.5673903
90.0,-1.5673907
96.0,-1.5673908
102.0,-1.5673908
108.0,-1.5673909
114.0,-1.567391
120.0,-1.567391
126.0,-1.5673912
132.0,-1.5673913
138.0,-1.5673913
144.0,-1.5673914
150.0,-1.5673915
156.0,-1.5673915
162.0,-1.5673916
168.0,-1.5673918
174.0,-1.5673919
180.0,-1.5673919
186.0,-1.567392
192.0,-1.5673921
198.0,-1.5673921
204.0,-1.5673922
210.0,-1.5673923
216.0,-1.5673923
222.0,-1.5673925
228.0,-1.5673926
234.0,-1.5673926
240.0,-1.5673927
246.0,-1.5673928
252.0,-1.5673928
258.0,-1.5673929
264.0,-1.5673931
270.0,-1.5673931
276.0,-1.5673932
282.0,-1.5673933
288.0,-1.5673933
294.0,-1.5673934
300.0,-1.5673935
306.0,-1.5673937
312.0,-1.5673937
318.0,-1.5673938
324.0,-1.5673939
330.0,-1.5673939
336.0,-1.567394
342.0,-1.5673941
348.0,-1.5673941
354.0,-1.5673943
360.0,-1.5673944
366.0,-1.5673944
372.0,-1.5673945
378.0,-1.5673946
384.0,-1.5673946
390.0,-1.5673947
396.0,-1.5673949
402.0,-1.5673949
408.0,-1.567395
414.0,-1.5673951
420.0,-1.5673952
426.0,-1.5673952
432.0,-1.5673953
438.0,-1.5673954
444.0,-1.5673954
450.0,-1.5673956
456.0,-1.5673957
462.0,-1.5673957
468.0,-1.5673958
474.0,-1.5673959
480.0,-1.5673959
486.0,-1.567396
492.0,-1.5673962
498.0,-1.5673962
504.0,-1.5673963
510.0,-1.5673964
516.0,-1.5673964
522.0,-1.5673965
528.0,-1.5673966
534.0,-1.5673968
540.0,-1.5673968
546.0,-1.5673969
552.0,-1.567397
558.0,-1.567397
564.0,-1.5673971
570.0,-1.5673972
576.0,-1.5673972
582.0,-1.5673974
588.0,-1.5673975
594.0,-1.5673975
600.0,-1.5673976
606.0,-1.5673977
612.0,-1.5673977
618.0,-1.5673978
624.0,-1.567398
630.0,-1.567398
636.0,-1.5673981
642.0,-1.5673982
648.0,-1.5673983
654.0,-1.5673983
660.0,-1.5673984
666.0,-1.5673985
672.0,-1.5673985
678.0,-1.5673987
684.0,-1.5673988
690.0,-1.5673988
696.0,-1.5673989
702.0,-1.5673989
708.0,-1.5673989
714.0,-1.5673989
720.0,-1.5673989
726.0,-1.5673989
732.0,-1.5673989
738.0,-1.5673989
744.0,-1.5673989
750.0,-1.5673989
756.0,-1.567399
762.0,-1.567399
768.0,-1.567399
774.0,-1.567399
780.0,-1.567399
786.0,-1.567399
792.0,-1.567399
798.0,-1.567399
804.0,-1.567399
810.0,-1.567399
816.0,-1.567399
822.0,-1.567399
828.0,-1.567399
834.0,-1.567399
840.0,-1.567399
846.0,-1.567399
852.0,-1.567399
858.0,-1.5673991
864.0,-1.5673991
870.0,-1.5673991
876.0,-1.5673991
882.0,-1.5673991
888.0,-1.5673991
894.0,-1.5673991
900.0,-1.5673991
906.0,-1.5673991
912.0,-1.5673991
918.0,-1.5673991
924.0,-1.5673991
930.0,-1.5673991
936.0,-1.5673991
942.0,-1.5673991
948.0,-1.5673991
954.0,-1.5673991
960.0,-1.5673993
966.0,-1.5673993
972.0,-1.5673993
978.0,-1.5673993
984.0,-1.5673993
990.0,-1.5673993
996.0,-1.5673993
1002.0,-1.5673993
1008.0,-1.5673993
1014.0,-1.5673993
1020.0,-1.5673993
1026.0,-1.5673993
1032.0,-1.5673993
1038.0,-1.5673993
1044.0,-1.5673993
1050.0,-1.5673993
1056.0,-1.5673993
1062.0,-1.5673994
1068.0,-1.5673994
1074.0,-1.5673994
