data_generator_T_morris_lecar_with_hopf_bifurcation_figure_12,data_generator_V_morris_lecar_with_hopf_bifurcation_figure_12
0.0,-60.898998
10.0,-42.364632
20.0,-32.755814
30.0,-26.278198
40.0,-20.108583
50.0,-5.6899858
60.0,15.653814
70.0,-38.898071
80.0,-47.818932
90.0,-40.660408
100.0,-33.823959
110.0,-28.349159
120.0,-23.502518
130.0,-17.596468
140.0,5.9320016
150.0,7.3382621
160.0,-45.572174
170.0,-46.420994
180.0,-38.986732
190.0,-32.494507
200.0,-27.255444
210.0,-22.44787
220.0,-15.830009
230.0,16.51726
240.0,-1.4022876
250.0,-47.881573
260.0,-44.921925
270.0,-37.499409
280.0,-31.403177
290.0,-26.400585
300.0,-21.6462
310.0,-14.502151
320.0,19.92046
330.0,-8.1073685
340.0,-48.531662
350.0,-44.197853
360.0,-36.893295
370.0,-30.938059
380.0,-26.04866
390.0,-21.310059
400.0,-13.762569
410.0,20.950184
420.0,-12.967616
430.0,-48.661598
440.0,-43.669346
450.0,-36.460281
460.0,-30.628801
470.0,-25.824705
480.0,-21.132143
490.0,-13.542222
500.0,20.958599
510.0,-14.150486
520.0,-48.718353
530.0,-43.577042
540.0,-36.397625
550.0,-30.601637
560.0,-25.839882
570.0,-21.22883
580.0,-14.100291
590.0,20.159399
600.0,-10.054029
610.0,-48.60231
620.0,-43.916653
630.0,-36.749634
640.0,-30.910749
650.0,-26.147003
660.0,-21.645332
670.0,-15.222834
680.0,17.111925
690.0,-2.976594
700.0,-48.103352
710.0,-44.842442
720.0,-37.514942
730.0,-31.507282
740.0,-26.672945
750.0,-22.241255
760.0,-16.473658
770.0,9.558444
780.0,4.4334426
790.0,-46.539513
800.0,-46.075233
810.0,-38.625366
820.0,-32.346085
830.0,-27.386166
840.0,-22.989408
850.0,-17.712322
860.0,0.45380551
870.0,10.614426
880.0,-43.530056
890.0,-46.944923
900.0,-39.641918
910.0,-33.254852
920.0,-28.191971
930.0,-23.841724
940.0,-19.130682
950.0,-8.5197325
960.0,17.987751
970.0,-33.521694
980.0,-48.347809
990.0,-41.631451
1000.0,-34.813728
1010.0,-29.451931
1020.0,-25.012922
1030.0,-20.644207
1040.0,-13.598866
1050.0,20.134855
1060.0,-11.806402
1070.0,-48.709835
1080.0,-43.863838
1090.0,-36.713024
1100.0,-30.97234
1110.0,-26.363005
1120.0,-22.167414
1130.0,-16.982389
1140.0,2.8450851
1150.0,8.8189888
1160.0,-44.795731
1170.0,-46.588333
1180.0,-39.376793
1190.0,-33.108864
1200.0,-28.141428
1210.0,-23.885323
1220.0,-19.469309
1230.0,-10.5746
1240.0,19.765743
1250.0,-26.901615
1260.0,-48.645733
1270.0,-42.467602
