data_set_T_morris_lecar_with_snic_figure_11,data_set_V_morris_lecar_with_snic_figure_11,data_set_W_morris_lecar_with_snic_figure_11,data_set_Z_morris_lecar_with_snic_figure_11
0.0,-60.898998,0.014873,0.0
10.0,-47.726067,0.0019620406,4.1851859e-11
20.0,-41.199005,0.0015933319,1.9414315e-09
30.0,-37.568806,0.0023507541,1.8878e-08
40.0,-35.29361,0.0032212154,8.4912294e-08
50.0,-33.712799,0.0040263054,2.5028407e-07
60.0,-32.52655,0.0047636633,5.7369681e-07
70.0,-31.57155,0.0054215379,1.1207259e-06
80.0,-30.740467,0.0060178051,1.9720253e-06
90.0,-29.974819,0.006609228,3.2338521e-06
100.0,-29.235708,0.0072519076,5.0631484e-06
110.0,-28.470617,0.0079250243,7.7217674e-06
120.0,-27.592152,0.0086662406,1.17459e-05
130.0,-26.47929,0.0096512213,1.8391054e-05
140.0,-24.899738,0.011150138,3.1417636e-05
150.0,-22.053352,0.013899423,6.9566828e-05
160.0,-12.786539,0.023452863,0.00040869511
170.0,27.080141,0.30914426,0.0014000307
180.0,-9.4939699,0.36426395,0.0023976148
190.0,-45.426014,0.091588847,0.0025239435
200.0,-43.888016,0.015213766,0.0025257492
210.0,-39.973724,0.0043098191,0.0025233952
220.0,-37.157566,0.0030745894,0.0025208956
230.0,-35.248898,0.0034385487,0.0025184485
240.0,-33.902325,0.0040506106,0.0025160895
250.0,-32.899727,0.0046504796,0.0025138548
260.0,-32.109718,0.005154138,0.0025117772
270.0,-31.456322,0.0056338808,0.0025098885
280.0,-30.89854,0.0060674259,0.0025082177
290.0,-30.389061,0.0064577726,0.0025068051
300.0,-29.9182,0.0068657347,0.0025056934
310.0,-29.458704,0.007227846,0.0025049425
320.0,-28.978844,0.0076566446,0.002504668
330.0,-28.49177,0.0080768876,0.0025049716
340.0,-27.919836,0.0085735032,0.0025061537
350.0,-27.250528,0.0092123533,0.002508655
360.0,-26.415098,0.009960576,0.0025133609
370.0,-25.185999,0.011142227,0.002522981
380.0,-23.172184,0.013073326,0.0025471002
390.0,-18.309759,0.017944675,0.0026737903
400.0,21.74287,0.11426587,0.0035028569
410.0,7.9719577,0.41812128,0.0044988557
420.0,-39.949059,0.18423225,0.0050087757
430.0,-45.639187,0.02996208,0.0049735662
440.0,-41.649368,0.0063381107,0.0049685659
450.0,-38.427357,0.003122895,0.0049636224
460.0,-36.274525,0.003119379,0.004958699
470.0,-34.81691,0.0036376072,0.0049538398
480.0,-33.78413,0.0041788979,0.0049490687
490.0,-33.014957,0.0046482794,0.0049444027
500.0,-32.424026,0.0050609694,0.00493985
510.0,-31.954363,0.0054076589,0.0049354178
520.0,-31.567255,0.0057011675,0.0049311104
530.0,-31.234911,0.0059562181,0.0049269334
540.0,-30.942661,0.0061863,0.0049228887
550.0,-30.682758,0.0063966066,0.0049189758
560.0,-30.448889,0.006588784,0.0049151955
