s1,s10,s11,s119,s12,s13,s2,s3,s4,s5,s6,s7,s8,s9,Time
1500000.0,0.0,0.0,0.0,0.0,0.0,2830000.0,117.2,3870.0,0.0,0.0,0.0,0.0,0.0,0.0
1500000.0,21.899372052798885,-29.999999999999996,0.0,0.01,-0.01,2830000.0332494853,100.54804795740783,3889.6026359142556,0.0,5.270823317326815e-06,-5.284612896600319e-06,1.3789579273505674e-08,5.116694589275381,0.01
1500000.0,43.76625903957867,-60.000000000000064,0.0,0.02,-0.02,2830000.0569565305,100.62577541088227,3892.525858493622,0.0,3.4397081624861685e-05,-3.4583747862486495e-05,1.8666623762479958e-07,10.22515052397433,0.02
1500000.0,65.64596717723472,-90.00000000000007,0.0,0.03,-0.03,2830000.0843774616,100.70299210568993,3895.429722027916,0.0,9.718153192612874e-05,-9.799609388253983e-05,8.145619564111323e-07,15.33694122621734,0.03
1500000.0,87.53840756407375,-120.00000000000021,0.0,0.04,-0.04,2830000.1154872873,100.77970154500083,3898.314361303388,0.0,0.00019697901714851455,-0.000199232924785377,2.2539076368627178e-06,20.45204229971738,0.04
1500000.0,109.44349197052988,-150.0000000000002,0.0,0.05,-0.05,2830000.1502611926,100.8559072079211,3901.179910077168,0.0,0.0003347748193316191,-0.00033965570845879566,4.880889127176882e-06,25.570429551388855,0.05
1500000.0,131.36113283333515,-180.0000000000001,0.0,0.06,-0.06,2830000.1886745403,100.93161254750537,3904.0265010884978,0.0,0.0005106849860460824,-0.0005197614691809248,9.07648313484272e-06,30.692078989311348,0.06
1500000.0,153.2912432497403,-210.00000000000006,0.0,0.07,-0.07,2830000.23070287,101.0068209911489,3906.8542660675016,0.0,0.0007245083263846607,-0.0007397293030798952,1.5220976695234987e-05,35.81696682071529,0.07
1500000.0,175.23373697181944,-240.0,0.0,0.08,-0.08,2830000.276321893,101.0815359410583,3909.6633357437486,0.0,0.0009759291456186126,-0.0009996211230700828,2.3691977451470326e-05,40.9450694500018,0.08
1500000.0,197.18852840079913,-269.99999999999994,0.0,0.09,-0.09,2830000.3255074928,101.15576077404658,3912.4538398554437,0.0,0.0012645922317112348,-0.001299455933244234,3.48637015329995e-05,46.07636347677253,0.09
1500000.0,219.15553258145675,-299.99999999999994,0.0,0.1,-0.1,2830000.3782357248,101.22949884210429,3915.22590715774,0.0,0.001590130205330309,-0.0016392369439732987,4.910673864298962e-05,51.210825693889475,0.1
1500000.0,241.13466519662276,-329.9999999999999,0.0,0.11,-0.11,2830000.434482814,101.30275347228374,3917.979665431565,0.0,0.0019521734674442103,-0.0020189614572157706,6.678798977156042e-05,56.34843308557293,0.11
1500000.0,263.12584256161955,-359.99999999999983,0.0,0.12,-0.12,2830000.4942251537,101.37552796718374,3920.71524149195,0.0,0.0023503540321601468,-0.00243862469783366,8.827066567351428e-05,61.489162825481515,0.12
1500000.0,285.1289816191749,-389.99999999999994,0.0,0.13,-0.13,2830000.557439305,101.44782560503333,3923.432761196009,0.0,0.002784306703528912,-0.00289822101352563,0.00011391430999671833,66.63299227495867,0.13
1500000.0,307.14399993299634,-419.99999999999983,0.0,0.14,-0.14,2830000.6241019936,101.51964963980245,3926.1323494530056,0.0,0.0032536698085833798,-0.0033977446428792397,0.00014407483429586064,71.77989898082446,0.14
1500000.0,329.17081568414545,-449.99999999999966,0.0,0.15,-0.15,2830000.6941901105,101.5910033017955,3928.8141302295076,0.0,0.0037580849592282373,-0.003937189506288638,0.0001791045470604029,76.9298606741273,0.15
1500000.0,351.209347664676,-479.9999999999997,0.0,0.16,-0.16,2830000.76768071,101.66188979723692,3931.478226559879,0.0,0.004297197381951654,-0.004516549572382218,0.00021935219043056598,82.08285526796615,0.16
1500000.0,373.25951527160834,-509.9999999999995,0.0,0.17,-0.17,2830000.844551009,101.73231233865796,3934.1247605254343,0.0,0.00487065588720767,-0.005135818870234707,0.00026516298302704057,87.23886085543938,0.17
1500000.0,395.32123850395493,-539.9999999999989,0.0,0.18,-0.18,2830000.924778384,101.80227398937353,3936.753853414692,0.0,0.0054781127041488836,-0.0057949913476537905,0.0003168786435049151,92.39785570857975,0.18
1500000.0,417.39443795639033,-569.9999999999987,0.0,0.19,-0.19,2830001.0083403704,101.87177800775403,3939.3656253891336,0.0,0.0061192234483725,-0.006494060871081042,0.00037483742270855066,97.55981827618501,0.19
