Time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s119,R_T,k1,k2,k3,k4,k5,k6,k7,K1,K2,K3,K4,K5,K_hi,k_CICR,K_CICR,k_CCE,B_T,dot_Vp,dot_Vex,dot_Vhi,dot_q_inpass,Cao,tau_I,tau_II,half,fracK,default,c1,c2,re3,re4,re5,re6,re7,re8,re9,re10,re11,re12
0.0,1500000.0,2830000.0,117.2,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-100021.80000000005,0.0,0.0,0.0,-80.5298018932196,21.34228823642296,2451.2505705157464,3000.0,1.0,555.9594037298667
0.01,1500000.0,2830000.0332494853,100.54804795740783,3889.6026359142556,0.0,5.270823317326815e-06,-5.284612896600319e-06,1.3789579273505674e-08,5.116694589275381,21.899372052798885,-29.999999999999996,0.01,-0.01,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-293.2947387503227,0.0,0.001471437694785709,5.270823317326815e-06,-2.184172787952548,11.609499534168533,2186.0446608514508,3000.0,1.0,499.06853723526297
0.02,1500000.0,2830000.0569565305,100.62577541088227,3892.525858493622,0.0,3.4397081624861685e-05,-3.4583747862486495e-05,1.8666623762479958e-07,10.22515052397433,43.76625903957867,-60.000000000000064,0.02,-0.02,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-291.3520503587788,0.0,0.004540817136752594,3.4397081624861685e-05,-2.556816846898357,11.645263661924005,2187.3312435464845,3000.0,1.0,499.36747649343994
0.03,1500000.0,2830000.0843774616,100.70299210568993,3895.429722027916,0.0,9.718153192612874e-05,-9.799609388253983e-05,8.145619564111323e-07,15.33694122621734,65.64596717723472,-90.00000000000007,0.03,-0.03,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-289.422902669874,0.0,0.008197663484139774,9.718153192612874e-05,-2.9269528311086788,11.680873861863487,2188.6089022990245,3000.0,1.0,499.66411982988166
0.04,1500000.0,2830000.1154872873,100.77970154500083,3898.314361303388,0.0,0.00019697901714851455,-0.000199232924785377,2.2539076368627178e-06,20.45204229971738,87.53840756407375,-120.00000000000021,0.04,-0.04,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-287.50718145957217,0.0,0.012070243874879087,0.00019697901714851455,-3.294598586823952,11.716330268532111,2189.877704585047,3000.0,1.0,499.9584875248412
0.05,1500000.0,2830000.1502611926,100.8559072079211,3901.179910077168,0.0,0.0003347748193316191,-0.00033965570845879566,4.880889127176882e-06,25.570429551388855,109.44349197052988,-150.0000000000002,0.05,-0.05,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-285.60478534409776,0.0,0.016021805489409596,0.0003347748193316191,-3.659771831209241,11.751633025859704,2191.137717327289,3000.0,1.0,500.2505996528906
0.06,1500000.0,2830000.1886745403,100.93161254750537,3904.0265010884978,0.0,0.0005106849860460824,-0.0005197614691809248,9.07648313484272e-06,30.692078989311348,131.36113283333515,-180.0000000000001,0.06,-0.06,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-283.71561260474846,0.0,0.020002039834926835,0.0005106849860460824,-4.022490142944434,11.786782285996711,2192.3890068647947,3000.0,1.0,500.54047607709003
0.07,1500000.0,2830000.23070287,101.0068209911489,3906.8542660675016,0.0,0.0007245083263846607,-0.0007397293030798952,1.5220976695234987e-05,35.81696682071529,153.2912432497403,-210.00000000000006,0.07,-0.07,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-281.8395622088574,0.0,0.02399243950919481,0.0007245083263846607,-4.382770964219787,11.821778209247663,2193.631638961816,3000.0,1.0,500.82813645227606
0.08,1500000.0,2830000.276321893,101.0815359410583,3909.6633357437486,0.0,0.0009759291456186126,-0.0009996211230700828,2.3691977451470326e-05,40.9450694500018,175.23373697181944,-240.0,0.08,-0.08,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-279.9765353165567,0.0,0.027986196077420023,0.0009759291456186126,-4.740631603101065,11.85662096404501,2194.865678817963,3000.0,1.0,501.11360022862164
0.09,1500000.0,2830000.3255074928,101.15576077404658,3912.4538398554437,0.0,0.0012645922317112348,-0.001299455933244234,3.48637015329995e-05,46.07636347677253,197.18852840079913,-269.99999999999994,0.09,-0.09,0.0,44000.0,0.0006,1.0,3.32,2500.0,5e-11,0.05,150.0,0.0,200.0,150.0,80.0,321.0,380.0,1.0,0.0,0.0,120000.0,815.0,9165.0,2380.0,3000.0,100.0,66.0,0.01,0.5,7071067.81,1.0,1.0,1.0,-278.1264327671379,0.0,0.03198080491439469,0.0012645922317112348,-5.096089232653867,11.891310726611167,2196.0911910671553,3000.0,1.0,501.39688665258046
