species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017,Time
0.0,5e-06,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,0.0
4.122423403795235e-11,5e-06,9.35854313282734e-10,4.082061890096268e-12,4.347013349771345e-23,1.41333243727749e-13,1.4691048571536598e-14,1e-05,1e-05,0.01
4.122423479152339e-11,5e-06,9.690056123549758e-10,8.203634911104033e-12,4.4981169916690225e-23,5.700720516191709e-13,1.5652762242394435e-14,1e-05,1e-05,0.02
4.122423479524101e-11,5e-06,9.694498231023862e-10,1.2325208752529699e-11,4.501420893586961e-23,1.2851476504436862e-12,1.6614463077810125e-14,1e-05,1e-05,0.03
4.122423479906217e-11,5e-06,9.715074793427773e-10,1.6446782272679558e-11,4.5042837371169197e-23,2.285473923885169e-12,1.7576163839626287e-14,1e-05,1e-05,0.04
4.122423479756839e-11,5e-06,9.719698109555078e-10,2.0568355392717522e-11,4.486562284021965e-23,3.569969428472625e-12,1.8537862780395133e-14,1e-05,1e-05,0.05
4.122423479670255e-11,5e-06,9.71683844270153e-10,2.4689928047430702e-11,4.5022663552354786e-23,5.1375565680236914e-12,1.9499564332541394e-14,1e-05,1e-05,0.06
4.1224234796137005e-11,5e-06,9.713069149080639e-10,2.8811500111160966e-11,4.503319858315334e-23,6.987161252450281e-12,2.046126457141003e-14,1e-05,1e-05,0.07
4.122423479476155e-11,5e-06,9.71170466593716e-10,3.2933071592323045e-11,4.506914993188022e-23,9.117713592819809e-12,2.1422964876725452e-14,1e-05,1e-05,0.08
4.1224234793617716e-11,5e-06,9.711507573515887e-10,3.705464242410209e-11,4.5078004933449897e-23,1.1527842184378056e-11,2.238466481392828e-14,1e-05,1e-05,0.09
4.1224234792440225e-11,5e-06,9.710952848314378e-10,4.1176212451321127e-11,4.509125384168746e-23,1.4215081962309087e-11,2.3346364595369848e-14,1e-05,1e-05,0.1
4.122423479140423e-11,5e-06,9.711152371511217e-10,4.5297781746906715e-11,4.5088619822622415e-23,1.7180481679066158e-11,2.430806407691654e-14,1e-05,1e-05,0.11
4.122423479042782e-11,5e-06,9.711664133073144e-10,4.941935022155643e-11,4.507930909798009e-23,2.042258682424637e-11,2.526976331246821e-14,1e-05,1e-05,0.12
4.122423478937209e-11,5e-06,9.711738575658609e-10,5.3540917723831946e-11,4.507893351039497e-23,2.3938930849878413e-11,2.6231462393427846e-14,1e-05,1e-05,0.13
