Time,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017,k1,k2,k3,k4,k5,k6,k7,k9,k10,k11,k12,k13a,k13b,k17,k18,k19,HO2star,Cu_I_ZnSOD,compartment_0000001,reaction_0000001,reaction_0,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,fast
0.0,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,0.0,5e-06,1.0,6.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35e-08,4.35e-08,0.0,0.0,0.0,0.0
0.01,4.122423403795235e-11,5e-06,9.35854313282734e-10,4.082061890096268e-12,4.347013349771345e-23,1.41333243727749e-13,1.4691048571536598e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.1224234037952346e-13,5e-06,1.0,6.6e-07,3.2979387230361886e-07,3.2979387230361886e-07,1.682798747147347e-17,7.715975447238922e-16,4.679271566413671e-15,3.1819046651612964e-07,4.347013349771345e-17,4.1224234037952344e-10,1.0867533374428362e-14,5.3706632616544615e-14,4.35e-08,4.35e-08,4.4073145714609793e-10,2.8574433230673878e-11,1.466364176162716e-18,4.1224234037952344e-10
0.02,4.122423479152339e-11,5e-06,9.690056123549758e-10,8.203634911104033e-12,4.4981169916690225e-23,5.700720516191709e-13,1.5652762242394435e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.122423479152339e-13,5e-06,1.0,6.6e-07,3.297938783321872e-07,3.297938783321872e-07,3.3818857171929084e-17,7.989302975605084e-16,4.8450280617748796e-15,3.2946190820069183e-07,4.498116991669022e-17,4.122423479152339e-10,1.1245292479172556e-14,2.1662737961528496e-13,4.35e-08,4.35e-08,4.69582867271833e-10,5.7425444377728236e-11,5.922367066412269e-18,4.122423479152339e-10
0.03,4.122423479524101e-11,5e-06,9.694498231023862e-10,1.2325208752529699e-11,4.501420893586961e-23,1.2851476504436862e-12,1.6614463077810125e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.1224234795241013e-13,5e-06,1.0,6.6e-07,3.297938783619281e-07,3.297938783619281e-07,5.080972995146439e-17,7.992965425955527e-16,4.8472491155119315e-15,3.296129398548113e-07,4.501420893586961e-17,4.1224234795241013e-10,1.1253552233967403e-14,4.883561071686008e-13,4.35e-08,4.35e-08,4.984338923343038e-10,8.627646126770788e-11,1.3368147829822253e-17,4.1224234795241013e-10
0.04,4.122423479906217e-11,5e-06,9.715074793427773e-10,1.6446782272679558e-11,4.5042837371169197e-23,2.285473923885169e-12,1.7576163839626287e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.122423479906217e-13,5e-06,1.0,6.6e-07,3.2979387839249736e-07,3.2979387839249736e-07,6.780060140979954e-17,8.009930487494339e-16,4.857537396713887e-15,3.3031254297654435e-07,4.50428373711692e-17,4.122423479906217e-10,1.1260709342792299e-14,8.684800910763643e-13,4.35e-08,4.35e-08,5.272849151887886e-10,1.1512747590875691e-10,2.3803704946993537e-17,4.122423479906217e-10
0.05,4.122423479756839e-11,5e-06,9.719698109555078e-10,2.0568355392717522e-11,4.486562284021965e-23,3.569969428472625e-12,1.8537862780395133e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.1224234797568387e-13,5e-06,1.0,6.6e-07,3.297938783805471e-07,3.297938783805471e-07,8.479147121092191e-17,8.013742340595603e-16,4.859849054777539e-15,3.304697357248727e-07,4.486562284021965e-17,4.122423479756839e-10,1.1216405710054913e-14,1.3565883828195975e-12,4.35e-08,4.35e-08,5.56135883411854e-10,1.4397848774902266e-10,3.722903743337961e-17,4.122423479756839e-10
0.06,4.122423479670255e-11,5e-06,9.71683844270153e-10,2.4689928047430702e-11,4.5022663552354786e-23,5.1375565680236914e-12,1.9499564332541394e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.122423479670255e-13,5e-06,1.0,6.6e-07,3.2979387837362044e-07,3.2979387837362044e-07,1.0178233909409751e-16,8.01138458887107e-16,4.858419221350766e-15,3.303725070518521e-07,4.5022663552354786e-17,4.122423479670255e-10,1.1255665888088696e-14,1.9522714958490027e-12,4.35e-08,4.35e-08,5.849869299762419e-10,1.7282949633201492e-10,5.364414413488286e-17,4.122423479670255e-10
0.07,4.1224234796137005e-11,5e-06,9.713069149080639e-10,2.8811500111160966e-11,4.503319858315334e-23,6.987161252450281e-12,2.046126457141003e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.1224234796137e-13,5e-06,1.0,6.6e-07,3.2979387836909607e-07,3.2979387836909607e-07,1.187732045411427e-16,8.008276863856298e-16,4.85653457454032e-15,3.302443510687418e-07,4.5033198583153335e-17,4.1224234796137005e-10,1.1258299645788334e-14,2.655121275931107e-12,4.35e-08,4.35e-08,6.138379371423008e-10,2.0168050077812676e-10,7.304902340167769e-17,4.1224234796137005e-10
0.08,4.122423479476155e-11,5e-06,9.71170466593716e-10,3.2933071592323045e-11,4.506914993188022e-23,9.117713592819809e-12,2.1422964876725452e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.122423479476155e-13,5e-06,1.0,6.6e-07,3.297938783580924e-07,3.297938783580924e-07,1.357640675834617e-16,8.007151868119496e-16,4.8558523329685804e-15,3.301979586418635e-07,4.506914993188022e-17,4.1224234794761553e-10,1.1267287482970055e-14,3.4647311652715274e-12,4.35e-08,4.35e-08,6.426889463017635e-10,2.305315011462613e-10,9.544367399644661e-17,4.1224234794761553e-10
0.09,4.1224234793617716e-11,5e-06,9.711507573515887e-10,3.705464242410209e-11,4.5078004933449897e-23,1.1527842184378056e-11,2.238466481392828e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.1224234793617716e-13,5e-06,1.0,6.6e-07,3.2979387834894176e-07,3.2979387834894176e-07,1.5275492794847324e-16,8.006989368212312e-16,4.855753786757944e-15,3.301912574995402e-07,4.50780049334499e-17,4.122423479361772e-10,1.1269501233362474e-14,4.380580030063661e-12,4.35e-08,4.35e-08,6.715399444178484e-10,2.593824969687146e-10,1.2082809421566982e-16,4.122423479361772e-10
0.1,4.1224234792440225e-11,5e-06,9.710952848314378e-10,4.1176212451321127e-11,4.509125384168746e-23,1.4215081962309087e-11,2.3346364595369848e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.1224234792440226e-13,5e-06,1.0,6.6e-07,3.297938783395218e-07,3.297938783395218e-07,1.6974578499566629e-16,8.006532005544561e-16,4.855476424157189e-15,3.301723968426889e-07,4.509125384168746e-17,4.1224234792440226e-10,1.1272813460421864e-14,5.4017311456774535e-12,4.35e-08,4.35e-08,7.003909378610954e-10,2.882334871592479e-10,1.4920228152159731e-16,4.1224234792440226e-10
0.11,4.122423479140423e-11,5e-06,9.711152371511217e-10,4.5297781746906715e-11,4.5088619822622415e-23,1.7180481679066158e-11,2.430806407691654e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.122423479140423e-13,5e-06,1.0,6.6e-07,3.297938783312339e-07,3.297938783312339e-07,1.8673663902642674e-16,8.006696509165608e-16,4.855576185755609e-15,3.301791806313814e-07,4.508861982262242e-17,4.122423479140423e-10,1.1272154955655603e-14,6.52858303804514e-12,4.35e-08,4.35e-08,7.292419223074961e-10,3.17084472228347e-10,1.8056623474475477e-16,4.122423479140423e-10
0.12,4.122423479042782e-11,5e-06,9.711664133073144e-10,4.941935022155643e-11,4.507930909798009e-23,2.042258682424637e-11,2.526976331246821e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.1224234790427815e-13,5e-06,1.0,6.6e-07,3.2979387832342257e-07,3.2979387832342257e-07,2.0372748967238234e-16,8.007118448551678e-16,4.855832066536572e-15,3.3019658052448694e-07,4.507930909798009e-17,4.1224234790427814e-10,1.1269827274495023e-14,7.760582993213621e-12,4.35e-08,4.35e-08,7.580928993740463e-10,3.4593545155089504e-10,2.149199515162348e-16,4.1224234790427814e-10
0.13,4.122423478937209e-11,5e-06,9.711738575658609e-10,5.3540917723831946e-11,4.507893351039497e-23,2.3938930849878413e-11,2.6231462393427846e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.122423478937209e-13,5e-06,1.0,6.6e-07,3.297938783149767e-07,3.297938783149767e-07,2.2071833630857018e-16,8.007179825119052e-16,4.855869287829305e-15,3.301991115723927e-07,4.5078933510394974e-17,4.122423478937209e-10,1.1269733377598743e-14,9.096793722953797e-12,4.35e-08,4.35e-08,7.869438718028353e-10,3.7478642406682364e-10,2.5226342862249247e-16,4.122423478937209e-10
0.14,4.1224234788325046e-11,5e-06,9.711850615141923e-10,5.766248434968384e-11,4.507760147254831e-23,2.7731076548721945e-11,2.7193161261882965e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.122423478832505e-13,5e-06,1.0,6.6e-07,3.2979387830660044e-07,3.2979387830660044e-07,2.3770917933094855e-16,8.007272199754994e-16,4.855925307570962e-15,3.3020292091482537e-07,4.507760147254831e-17,4.122423478832505e-10,1.1269400368137078e-14,1.0537809088514339e-11,4.35e-08,4.35e-08,8.157948378564889e-10,4.036373904477869e-10,2.92596664921223e-16,4.122423478832505e-10
0.15,4.122423478727423e-11,5e-06,9.711924539410908e-10,6.17840498048489e-11,4.5076585236372157e-23,3.179400247013796e-11,2.815485985992885e-14,1e-05,1e-05,6.6e-07,1600000000.0,1600000000.0,100000.0,20000.0,1.0,34000000.0,1000000.0,1000.0,250000000.0,0.38,0.0087,0.0087,30000.0,7.0,88000.0,4.122423478727423e-13,5e-06,1.0,6.6e-07,3.297938782981939e-07,3.297938782981939e-07,2.5470001752637357e-16,8.007333148979309e-16,4.855962269705455e-15,3.302054343399709e-07,4.507658523637216e-17,4.122423478727423e-10,1.126914630909304e-14,1.2081720938652425e-11,4.35e-08,4.35e-08,8.446457957978655e-10,4.3248834863394236e-10,3.359196553053484e-16,4.122423478727423e-10
