T,CAD,CD,GKC,GKQ,HS,IATP,ICA,IKATP,NS,QD,S,SD,VD,VS
0.0,0.0,0.0,0.0,0.0,0.0,0.0185,-0.0,1.7195157,0.0,0.0,0.185,0.0,-60.0,-60.0
10.0,0.18275213,0.0093370415,0.00010238186,1.4533461e-05,0.96479642,0.022952838,-0.20173037,1.2983661,0.00099322444,1.8166826e-05,0.22952838,0.01258809,-61.451992,-61.274296
20.0,0.26091486,0.008819025,0.00013806089,5.0824819e-05,0.99648786,0.024274355,-0.18035957,1.1712319,0.00087060279,6.3531028e-05,0.24274355,0.011877128,-62.060661,-61.886398
30.0,0.2739709,0.0076088835,0.00012507675,9.3694536e-05,0.99803323,-0.0011492309,-0.13982143,2.1455994,0.00067868171,0.00011711817,-0.011492308,0.010395151,-63.770451,-63.607224
40.0,0.23372003,0.006446905,9.0406254e-05,0.00013343382,0.99887323,0.008129769,-0.10028067,1.6195775,0.0004458075,0.00016679228,0.081297696,0.008750557,-65.513512,-65.34996
50.0,0.19833963,0.0062326058,7.4170362e-05,0.00016627206,0.99903542,0.014410965,-0.093205027,1.2629747,0.0003971573,0.00020784007,0.14410965,0.0084264893,-65.849014,-65.684341
60.0,0.17816603,0.0061398521,6.5634784e-05,0.00019445129,0.99908203,0.012657114,-0.090513282,1.3258518,0.00038224651,0.00024306412,0.12657113,0.008299185,-66.015488,-65.850777
70.0,0.16738611,0.0061205826,6.1470033e-05,0.00021990879,0.99908656,0.0059264414,-0.090443864,1.6089414,0.00038091923,0.000274886,0.059264414,0.0082942732,-66.076355,-65.912254
80.0,0.157975,0.0058638346,5.5580356e-05,0.00024364571,0.99918365,0.0050150678,-0.083477885,1.5539055,0.00034854631,0.00030455715,0.050150678,0.0079557803,-66.542435,-66.378258
90.0,0.15706427,0.0065738377,6.1950901e-05,0.00026593884,0.99897718,0.022338118,-0.10139352,0.96469516,0.00041773138,0.00033242354,0.22338119,0.0088073509,-65.236954,-65.070625
100.0,0.17822231,0.0071196775,7.6133125e-05,0.00028981947,0.9986397,0.016068336,-0.11950596,1.3657699,0.00052191759,0.00036227435,0.16068336,0.0095893266,-64.401207,-64.235344
110.0,0.19101149,0.0069585764,7.9750083e-05,0.00031646222,0.9986788,0.013444151,-0.11518656,1.4769542,0.00050848536,0.00039557778,0.13444151,0.0094057117,-64.669167,-64.504288
120.0,0.18778622,0.0065359408,7.3641575e-05,0.00034367348,0.99889374,0.013810121,-0.10192561,1.3643724,0.00044191797,0.00042959186,0.13810121,0.0088275122,-65.332962,-65.168076
130.0,0.18160839,0.0066117547,7.2045004e-05,0.00036959152,0.99890465,0.017091131,-0.10327756,1.2132334,0.0004396135,0.0004619894,0.1709113,0.0088901976,-65.191307,-65.025612
140.0,0.17953531,0.0063511566,6.8415415e-05,0.0003947113,0.99894899,0.0049214722,-0.097635835,1.7108728,0.00042456808,0.00049338915,0.049214721,0.0086292485,-65.686981,-65.52327
150.0,0.16875978,0.0061661159,6.2435538e-05,0.00041851532,0.9990862,0.018545378,-0.090854011,1.054563,0.00038096838,0.00052314415,0.18545379,0.0083167022,-65.948387,-65.78289
160.0,0.17265974,0.006822553,7.0678812e-05,0.00044120158,0.99882323,0.020588825,-0.10962619,1.0813649,0.00046609482,0.00055150199,0.20588826,0.0091701886,-64.848915,-64.6828
170.0,0.19458352,0.0076251244,8.9023415e-05,0.00046577468,0.99841154,0.017810078,-0.13479985,1.3616916,0.00059073709,0.00058221834,0.17810078,0.010211709,-63.631607,-63.462982
180.0,0.21190669,0.0072143674,9.1726368e-05,0.00049383286,0.99849194,0.017971175,-0.12387771,1.2772467,0.0005623934,0.00061729108,0.17971174,0.0097675854,-64.270065,-64.104729
190.0,0.2111367,0.0071630171,9.0742542e-05,0.00052261469,0.99859524,0.015315449,-0.12074957,1.4163593,0.00053351372,0.00065326836,0.15315449,0.0096412078,-64.337845,-64.171692
200.0,0.2148902,0.0077379434,9.9768491e-05,0.00055107853,0.99838322,0.034973741,-0.13737911,0.66965353,0.00059903355,0.00068884814,0.34973744,0.010316458,-63.422405,-63.251919
210.0,0.24685265,0.0087069171,0.00012895954,0.00058202742,0.99769866,0.023993256,-0.17318125,1.1754736,0.00079074624,0.00072753424,0.23993255,0.01163369,-62.175041,-61.998596
220.0,0.28184214,0.0092054261,0.00015566862,0.00061836815,0.99731612,0.037237063,-0.19102885,0.71249485,0.00088926597,0.00077296019,0.37237063,0.012246802,-61.517792,-61.334404
230.0,0.33331004,0.010387421,0.0002077339,0.00066080468,0.99628419,0.041418709,-0.24023621,0.66843182,0.0011514586,0.00082600588,0.4141871,0.013799034,-60.18404,-59.978237
240.0,0.39926967,0.011330788,0.00027144238,0.00071254215,0.99521083,0.042664025,-0.28256452,0.68099344,0.0013987167,0.00089067774,0.42664024,0.015017329,-59.21619,-58.981983
250.0,0.51099205,0.014517886,0.00044511145,0.00077632349,0.99155802,0.063424379,-0.44014966,0.41940254,0.0022298011,0.00097040436,0.63424373,0.018939188,-56.343723,-55.886406
260.0,97.653786,0.6452412,3.7806149,0.0032540921,0.060170293,0.060340963,-449.4903,1.0735126,0.28325963,0.0040676151,0.60340965,0.81129658,4.1215367,-30.178247
270.0,220.24753,0.010579132,0.13980167,0.041219775,0.60870057,0.053077221,-1.3075449,0.33795682,0.079395764,0.051524717,0.53077221,0.031990308,-61.963696,-63.677185
280.0,104.03831,0.006478054,0.040437944,0.063889287,0.99464512,0.038497716,-0.09891881,0.49023125,0.0010839651,0.079861611,0.38497716,0.0086943507,-65.399216,-65.128769
290.0,49.171486,0.0068193269,0.020118985,0.073916458,0.99871629,0.032331433,-0.10970963,0.66164529,0.00048752571,0.092395574,0.32331431,0.0091736848,-64.848694,-64.570564
300.0,23.299936,0.0069897417,0.009771632,0.078176111,0.99863231,0.023655483,-0.11617769,0.97733593,0.00052281225,0.097720139,0.23655483,0.0094476976,-64.619957,-64.347603
310.0,11.09072,0.0064537451,0.0042946008,0.079759941,0.99885547,0.011124935,-0.10077488,1.4888182,0.00045300316,0.099699922,0.11124935,0.0087717175,-65.52597,-65.269386
320.0,5.3160686,0.0062449574,0.0019919174,0.080091938,0.99904287,0.024482019,-0.09293405,0.83491743,0.00039525633,0.10011492,0.24482019,0.0084150489,-65.820679,-65.567276
330.0,2.5951374,0.0062683998,0.00097604148,0.079838201,0.99899608,0.018954812,-0.094570331,1.062107,0.00041015176,0.099797748,0.18954811,0.0084892642,-65.804955,-65.553673
340.0,1.3118585,0.0064967261,0.00051136711,0.079312637,0.99894416,0.026091369,-0.099870399,0.81520391,0.00042746103,0.099140801,0.2609137,0.0087366113,-65.381187,-65.125671
350.0,0.71003789,0.0064213928,0.00027356594,0.078663342,0.99894369,0.027305396,-0.098208793,0.76358438,0.0004268261,0.098329179,0.27305397,0.0086598452,-65.508255,-65.25531
360.0,0.42781973,0.0063770153,0.00016369278,0.07795988,0.99892795,0.020190993,-0.097901717,1.0272479,0.00043138207,0.097449847,0.20190994,0.0086430963,-65.616005,-65.36599
370.0,0.29073018,0.0063807764,0.00011130505,0.077234596,0.99896121,0.02445179,-0.097440302,0.85612994,0.00042148493,0.096543245,0.24451791,0.008623464,-65.590355,-65.340302
380.0,0.22768177,0.0064901235,8.8660971e-05,0.076502807,0.99892616,0.03016739,-0.10001175,0.68473786,0.00043273793,0.095628507,0.30167389,0.0087426612,-65.385529,-65.13382
390.0,0.20242783,0.0066258688,8.047562e-05,0.075772226,0.9988358,0.018888028,-0.10502893,1.13322,0.00046108713,0.094715282,0.18888028,0.0089649484,-65.201431,-64.949875
400.0,0.18054529,0.0058758049,6.3650928e-05,0.075046025,0.99913037,0.0094579877,-0.08441782,1.4044725,0.00036560866,0.093807533,0.094579883,0.0080004912,-66.540726,-66.303139
410.0,0.15815666,0.005875479,5.5754768e-05,0.07432358,0.99921453,0.022460308,-0.082434997,0.84705967,0.00033851861,0.092904471,0.22460309,0.0079077557,-66.474709,-66.234993
420.0,0.16070975,0.0064855563,6.2537525e-05,0.073606759,0.99893379,0.014887599,-0.10050605,1.3048221,0.00043104595,0.092008449,0.148876,0.0087625924,-65.440208,-65.193237
430.0,0.16384777,0.0061313608,6.0276587e-05,0.072897963,0.99903178,0.0081480835,-0.091423452,1.5365002,0.00039818819,0.091122456,0.081480838,0.0083389711,-66.079788,-65.840378
440.0,0.15472719,0.0057743932,5.3607338e-05,0.072195701,0.9991948,0.0058790557,-0.08150202,1.5064293,0.00034476325,0.090244628,0.058790557,0.0078559574,-66.732956,-66.49971
450.0,0.14298314,0.0054797418,4.7010642e-05,0.071498908,0.9993124,0.0081204101,-0.073606081,1.333037,0.00030460281,0.089373641,0.081204101,0.007451647,-67.28775,-67.059303
460.0,0.13201053,0.0052888528,4.1891057e-05,0.070807397,0.9993853,0.0028758051,-0.06870085,1.4037012,0.00027893289,0.088509254,0.028758053,0.007189658,-67.673698,-67.448906
