Time,EmptySet,u,z,v,kappa,k6,k4,k4prime,alpha,cell,Reaction1,Reaction2,Reaction3
0.0,1.0,0.0,0.0,0.0,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,0.0,0.0
0.01,1.0,1.3454304806220629e-08,0.00014998650080993788,0.0001499999551147441,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.3454304806220629e-08,2.699757014583769e-06
0.02,1.0,5.3635346073570835e-08,0.0002999460064793907,0.00029999964182546426,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,5.3635346073570835e-08,5.3990281167843485e-06
0.03,1.0,1.202723544176222e-07,0.00044987852186701615,0.00044999879422143375,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.202723544176222e-07,8.097813394777674e-06
0.04,1.0,2.1309725453883174e-07,0.0005997840518306111,0.0005999971490851499,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,2.1309725453883174e-07,1.0796112937853562e-05
0.05,1.0,3.3184464066063724e-07,0.0007496626012270719,0.0007499944458677325,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,3.3184464066063724e-07,1.3493926836946924e-05
0.06,1.0,4.7625174565010543e-07,0.0008995141749123727,0.0008999904266580227,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,4.7625174565010543e-07,1.6191255185147022e-05
0.07,1.0,6.460584191296056e-07,0.001049338777741545,0.0010499848361606745,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,6.460584191296056e-07,1.8888098078185116e-05
0.08,1.0,8.41007103189524e-07,0.0011991364145686504,0.0011999774216718399,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,8.41007103189524e-07,2.1584455614901037e-05
0.09,1.0,1.0608428033667924e-06,0.001348907090246745,0.0013499679330501119,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.0608428033667924e-06,2.428032789768917e-05
0.1,1.0,1.3053130620962386e-06,0.0014986508096278398,0.001499956122689936,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.3053130620962386e-06,2.697571503292472e-05
0.11,1.0,1.5741679342684305e-06,0.00164836757756286,0.0016499417454971283,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.5741679342684305e-06,2.9670617131370738e-05
0.12,1.0,1.8671599630074905e-06,0.001798057398901599,0.0017999245588646066,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.8671599630074905e-06,3.236503430856651e-05
0.13,1.0,2.184044155109842e-06,0.0019477202784926712,0.001949904322647781,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,2.184044155109842e-06,3.505896668519784e-05
0.14,1.0,2.5245779575566585e-06,0.002097356221183458,0.002099880799141015,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,2.5245779575566585e-06,3.7752414387449905e-05
0.15,1.0,2.8885212320278944e-06,0.002246965231820051,0.002249853753052079,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,2.8885212320278944e-06,4.0445377547342914e-05
0.16,1.0,3.2756362291363203e-06,0.0023965473152471875,0.0023998229514763238,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,3.2756362291363203e-06,4.313785630305143e-05
0.17,1.0,3.685687565882778e-06,0.002546102476308189,0.0025497881638740717,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,3.685687565882778e-06,4.582985079920768e-05
0.18,1.0,4.118442203402139e-06,0.0026956307198448977,0.0026997491620482997,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,4.118442203402139e-06,4.852136118718955e-05
0.19,1.0,4.5736694240019854e-06,0.0028451320506976104,0.002849705720121612,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,4.5736694240019854e-06,5.121238762539347e-05
0.2,1.0,5.0511408075541545e-06,0.0029946064737050022,0.0029996576145125565,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,5.0511408075541545e-06,5.3902930279492796e-05
0.21,1.0,5.550630208212675e-06,0.003144053993704055,0.003149604623912268,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,5.550630208212675e-06,5.659298932268223e-05
0.22,1.0,6.07191373182463e-06,0.0032934746155299814,0.003299546529261806,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,6.07191373182463e-06,5.928256493590848e-05
0.23,1.0,6.614769713828925e-06,0.0034428683440161406,0.0034494831137299696,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,6.614769713828925e-06,6.197165730808785e-05
0.24,1.0,7.178978697295881e-06,0.003592235183993965,0.003599414162691261,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,7.178978697295881e-06,6.466026663631114e-05
0.25,1.0,7.764323411014678e-06,0.0037415751402928754,0.00374933946370389,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,7.764323411014678e-06,6.734839312603617e-05
0.26,1.0,8.370588747731756e-06,0.003890888217740193,0.0038992588064879247,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,8.370588747731756e-06,7.003603699126822e-05
0.27,1.0,8.997561742673426e-06,0.004040174421161056,0.00404917198290373,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,8.997561742673426e-06,7.27231984547292e-05
0.28,1.0,9.645031552347396e-06,0.004189433755378332,0.00419907878693068,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,9.645031552347396e-06,7.540987774801542e-05
0.29,1.0,1.0312789433554059e-05,0.004338666225212526,0.004348979014646081,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.0312789433554059e-05,7.80960751117447e-05
0.3,1.0,1.1000628722575541e-05,0.004487871835481696,0.0044988724642042715,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.1000628722575541e-05,8.078179079569306e-05
0.31,1.0,1.1708344814560689e-05,0.004637050591001349,0.004648758935815909,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.1708344814560689e-05,8.346702505892108e-05
0.32,1.0,1.2435735143127302e-05,0.0047862024965843585,0.004798638231727486,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.2435735143127302e-05,8.615177816989092e-05
0.33,1.0,1.318259916017915e-05,0.0049353275570408655,0.004948510156201045,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.318259916017915e-05,8.883605040657353e-05
0.34,1.0,1.3948738315923716e-05,0.005084425777178183,0.005098374515494107,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.3948738315923716e-05,9.151984205654704e-05
0.35000000000000003,1.0,1.4733956039083843e-05,0.0052334971618007,0.005248231117839784,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.4733956039083843e-05,9.420315341708621e-05
0.36,1.0,1.553805771730519e-05,0.0053825417157097825,0.005398079773427088,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.553805771730519e-05,9.688598479524353e-05
0.37,1.0,1.6360850677761576e-05,0.00553155944370368,0.0055479202943814416,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.6360850677761576e-05,9.956833650792196e-05
0.38,1.0,1.7202144167955805e-05,0.005680550350577421,0.005697752494745377,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.7202144167955805e-05,0.00010225020888193999
0.39,1.0,1.8061749336711894e-05,0.005829514441122716,0.005847576190459428,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.8061749336711894e-05,0.00010493160225408894
0.4,1.0,1.8939479215355877e-05,0.005978451720127858,0.005997391199343213,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.8939479215355877e-05,0.00010761251697118296
0.41000000000000003,1.0,1.9835148699084017e-05,0.0061273621923776216,0.006147197341076705,0.015,1.0,180.0,0.018,9.999999999999999e-05,1.0,0.015,1.9835148699084017e-05,0.00011029295339010195
