APC,APC_Cdc20,Bub3_BubR1,Bub3_BubR1_Cdc20,Cdc20,Cdc20_CMad2,MCC,MCC_APC,Mad1_CMad2,Mad1_CMad2_OMad2,OMad2,Time
9e-08,0.0,1.27e-07,0.0,2.2e-07,0.0,0.0,0.0,5e-08,0.0,1.3e-07,0.0
8.901801742305253e-08,9.819824009835507e-10,1.2699720758491155e-07,2.7849037117654714e-12,2.190136215981708e-07,1.6035857571949652e-12,7.335412800475629e-15,1.759639034236332e-16,4.998834013745898e-08,1.1659862541015907e-11,1.2998672904032515e-07,0.01
8.805183925431377e-08,1.9481584742321588e-09,1.2699439801182203e-07,5.551753483877913e-12,2.1804078878798592e-07,5.450749604022984e-12,4.7963240021684166e-14,2.2714540405294976e-15,4.997898561291913e-08,2.101438708086992e-11,1.2997348462862109e-07,0.02
8.710112399792118e-08,2.8988658403251995e-09,1.2699154586304994e-07,8.300758072359927e-12,2.1708163192989032e-07,1.1048092834433257e-11,1.4321712411254256e-13,1.016175359325295e-14,4.9971463762085545e-08,2.853623791444821e-11,1.2996026229037346e-07,0.03
8.616553655046085e-08,3.834434323858071e-09,1.2698863130753623e-07,1.1032126381838372e-11,2.1613619156238483e-07,1.800542129338044e-11,3.0744040086740265e-13,2.9125681041464144e-14,4.9965400446900194e-08,3.459955309979857e-11,1.2994705845952492e-07,0.04
8.524474894148773e-08,4.755185804094601e-09,1.2698563891738568e-07,1.3746066566435848e-11,2.152044395279333e-07,2.601358535781524e-11,5.497616302427138e-13,6.525441764166781e-14,4.9960498888247815e-08,3.9501111752178525e-11,1.2993387028684216e-07,0.05
8.433844078673573e-08,5.66143418015491e-09,1.269825567412351e-07,1.6442785354545733e-11,2.1428629535959235e-07,3.4827201487906485e-11,8.754403010146104e-13,1.2503310932062045e-13,4.995652316477561e-08,4.3476835224395104e-11,1.2992069548987737e-07,0.06
8.344629958174635e-08,6.553485426838757e-09,1.2697937544081019e-07,1.9122487451710022e-11,2.133816414280119e-07,4.42485859595863e-11,1.2870803232102804e-12,2.1499141487805799e-13,4.995328287086461e-08,4.6717129135383576e-11,1.2990753221316696e-07,0.07
8.256802057918502e-08,7.431637584090129e-09,1.2697608860768456e-07,2.1785375762943213e-11,2.1249031733953136e-07,5.413368406313077e-11,1.7841798276372274e-12,3.4183672483547316e-13,4.9950638780137957e-08,4.936121986204341e-11,1.298943790795224e-07,0.08
8.170330728124261e-08,8.296181005322692e-09,1.269726907813259e-07,2.443165006164042e-11,2.116121541673706e-07,6.435560863269523e-11,2.365855177759889e-12,5.117134346685152e-13,4.994846804642212e-08,5.153195357788719e-11,1.29881234869177e-07,0.09
8.08518711978982e-08,9.147398270348977e-09,1.2696917830860127e-07,2.706150757466883e-11,2.107469595858012e-07,7.482045245117691e-11,3.0296520712076916e-12,7.305317528109556e-13,4.994667929520497e-08,5.3320704795031206e-11,1.298680986589298e-07,0.1
8.001343161957867e-08,9.985564680321164e-09,1.269655482553748e-07,2.967514238533119e-11,2.098945361496854e-07,8.544742536827679e-11,3.7729021397194514e-12,1.0037001001333113e-12,4.99451936735815e-08,5.4806326418502293e-11,1.2985496964597339e-07,0.11
7.918771570231679e-08,1.0810948088348266e-08,1.2696179876391086e-07,3.227274562722401e-11,2.0905467532108994e-07,9.61753544727064e-11,4.592281126996392e-12,1.3362093349093964e-12,4.9943951050667137e-08,5.6048949332867925e-11,1.2984184720573256e-07,0.12
7.837445782227927e-08,1.1623809504727982e-08,1.2695792863441851e-07,3.4854505416340744e-11,2.0822716424118092e-07,1.0695488850968779e-10,5.484187172380638e-12,1.7326729927262544e-12,4.9942902572630425e-08,5.7097427369581134e-11,1.2982873082395566e-07,0.13
7.757339707834058e-08,1.2424405464947238e-08,1.2695393721561874e-07,3.742060800734815e-11,2.0741178518986918e-07,1.1774656080240339e-10,6.444719661704398e-12,2.1974567121546977e-12,4.994200881477239e-08,5.7991185227618776e-11,1.2981562007759616e-07,0.14
7.67842902882407e-08,1.3212975875489515e-08,1.2694982488136365e-07,3.9971231848707935e-11,2.0660831922254468e-07,1.2852978332952214e-10,7.470050517826593e-12,2.7338362697674734e-12,4.994124838939124e-08,5.875161060876801e-11,1.2980251471927415e-07,0.15
7.600688556345755e-08,1.398976883690892e-08,1.2694559132738319e-07,4.2506559081810174e-11,2.0581655088039655e-07,1.3927161007782378e-10,8.556513901443877e-12,3.3455996335007938e-12,4.9940588110791676e-08,5.941188920832791e-11,1.2978941438717896e-07,0.16
7.52409503034479e-08,1.475501429229745e-08,1.269412372114614e-07,4.5026763140537764e-11,2.0503626600022036e-07,1.4995691894366239e-10,9.700621143387219e-12,4.035404254639069e-12,4.994001183045402e-08,5.998816954598779e-11,1.2977631888611237e-07,0.17
7.448625204225005e-08,1.5508942057345383e-08,1.2693676317854706e-07,4.753201737834186e-11,2.0426725075416568e-07,1.605703670360987e-10,1.0898903670015833e-11,4.805900404545967e-12,4.993950319000694e-08,6.049680999306822e-11,1.2976322801889633e-07,0.18
7.374256263487506e-08,1.6251777857840503e-08,1.269321700113475e-07,5.0022493083070625e-11,2.0350929291559502e-07,1.7109923791204865e-10,1.2147988285000083e-11,5.6595072844030455e-12,4.993904834673359e-08,6.095165326641886e-11,1.297501416132522e-07,0.19
7.300966913218233e-08,1.6983733036108842e-08,1.2692745874256216e-07,5.249835405795491e-11,2.027621897975409e-07,1.8153590891253008e-10,1.3445071671048067e-11,6.597831708801143e-12,4.9938638359033806e-08,6.136164096620005e-11,1.2973705954674147e-07,0.2
7.228735226798196e-08,1.7705024912261922e-08,1.2692263030181818e-07,5.495976721603665e-11,2.0202573473568186e-07,1.9187065387446514e-10,1.4787111209679992e-11,7.622819756078968e-12,4.9938262261189304e-08,6.17377388107008e-11,1.2972398167634913e-07,0.21
7.157540735781934e-08,1.8415856900228745e-08,1.26917685915868e-07,5.740689217995134e-11,2.012997294382999e-07,2.0209957733939511e-10,1.617145000016051e-11,8.735741951888736e-12,4.993791468574795e-08,6.208531425206207e-11,1.2971090791645653e-07,0.22
7.087363408974567e-08,1.9116428245329208e-08,1.2691262689983173e-07,5.983988638759835e-11,2.0058397813425278e-07,2.122205202498417e-10,1.759554885553429e-11,9.937664925100656e-12,4.9937591932564705e-08,6.240806743530121e-11,1.2969783819853427e-07,0.23
7.01818304598676e-08,1.980693978891186e-08,1.269074544870701e-07,6.225890804538143e-11,1.9987828483810904e-07,2.222298600492551e-10,1.9056853664013698e-11,1.1229751220509727e-11,4.99372889048214e-08,6.271109517860828e-11,1.2968477243988764e-07,0.24
6.949981131654363e-08,2.0487576224626214e-08,1.2690217002430555e-07,6.466410657216638e-11,1.991824669146035e-07,2.32126885075896e-10,2.0553410292147378e-11,1.2612458830131994e-11,4.9937003341805915e-08,6.299665819409125e-11,1.2967171058760778e-07,0.25
6.882738580830986e-08,2.115852770756614e-08,1.2689677481984912e-07,6.70556343587354e-11,1.9849633721428145e-07,2.419098980016131e-10,2.2083061668150664e-11,1.4086484123981873e-11,4.9936732022494415e-08,6.32679775055951e-11,1.296586525787007e-07,0.26
6.816437288745276e-08,2.181997493199181e-08,1.2689127019079732e-07,6.943363849354781e-11,1.9781971729108426e-07,2.5157796772127455e-10,2.3643990153747968e-11,1.565218055540297e-11,4.9936472497126346e-08,6.352750287366503e-11,1.2964559835869595e-07,0.27
6.751059835083232e-08,2.2472091992279487e-08,1.268856574648874e-07,7.179826237819706e-11,1.9715243470142574e-07,2.6113077118221824e-10,2.5234615846240216e-11,1.730965688816696e-11,4.993622292368456e-08,6.3777076315447e-11,1.2963254787976797e-07,0.28
6.686588351891806e-08,2.3115057290761907e-08,1.2687993796316076e-07,7.414965180814943e-11,1.9649431308021514e-07,2.70567592183756e-10,2.6853194711045203e-11,1.9059190320029698e-11,4.993598106704865e-08,6.401893295136475e-11,1.2961950108983383e-07,0.29
6.623006489040459e-08,2.374903448934221e-08,1.2687411303353773e-07,7.648794418657779e-11,1.9584518942489353e-07,2.7988911930205624e-10,2.849840202250497e-11,2.0900620253189093e-11,4.993574609422706e-08,6.425390577295755e-11,1.2960645795264935e-07,0.3
6.560297698711303e-08,2.437418916977684e-08,1.2686818402043771e-07,7.881327800970136e-11,1.9520489899251147e-07,2.8909585814945524e-10,3.016885844246759e-11,2.283384311011111e-11,4.9935516989609294e-08,6.448301039071404e-11,1.2959341842990728e-07,0.31
6.498445600964184e-08,2.4990685261022782e-08,1.2686215226016412e-07,8.112579077880683e-11,1.9457327869996763e-07,2.9818829917375023e-10,3.1863219721678415e-11,2.4858729335371812e-11,4.993529273167052e-08,6.470726832948906e-11,1.2958038248343975e-07,0.32
6.43743510588017e-08,2.5598674096102193e-08,1.268560190783614e-07,8.34256126608883e-11,1.9395017737075322e-07,3.071676115060303e-10,3.358046388161811e-11,2.6974845096087594e-11,4.993507300415156e-08,6.492699584845647e-11,1.2956735008366786e-07,0.33
6.377251267310263e-08,2.6198305573810875e-08,1.2684978578335538e-07,8.571287289712596e-11,1.9333544540567783e-07,3.160348038666777e-10,3.531959066101282e-11,2.918175308647775e-11,4.993485734728723e-08,6.51426527127814e-11,1.2955432119967308e-07,0.34
6.317877184828778e-08,2.6789748754058448e-08,1.2684345374164558e-07,8.798771212203712e-11,1.9272891451576838e-07,3.247904718187724e-10,3.7079148578602695e-11,3.147939765377447e-11,4.993464481156049e-08,6.535518843952349e-11,1.2954129579350938e-07,0.35
6.25930043957899e-08,2.7373128750953233e-08,1.2683702418350643e-07,9.025024482385235e-11,1.9213045931544757e-07,3.3343611710560934e-10,3.8858718412875324e-11,3.3866853256862354e-11,4.9934435531720054e-08,6.556446827995581e-11,1.2952827384294475e-07,0.36
6.201505951864862e-08,2.7948596764760546e-08,1.2683049841922388e-07,9.250060099414436e-11,1.9153992896034122e-07,3.4197269412213697e-10,4.0657263191145014e-11,3.6343716590836946e-11,4.993422899024293e-08,6.577100975708414e-11,1.2951525531633883e-07,0.37
6.144479909986025e-08,2.8516291494639857e-08,1.268238777103855e-07,9.473890298752482e-11,1.9095718491100939e-07,3.5040130473626605e-10,4.247398112710883e-11,3.8909405499885494e-11,4.993402487694399e-08,6.59751230560261e-11,1.2950224018558072e-07,0.38
6.088208733707332e-08,2.9076349380513796e-08,1.268171633131261e-07,9.696527184549158e-11,1.9038209081801437e-07,3.5872311459795377e-10,4.4308132615510814e-11,4.156328241287758e-11,4.99338229531404e-08,6.617704685961589e-11,1.2948922842351407e-07,0.39
6.032679158599848e-08,2.962890376970193e-08,1.268103564746092e-07,9.91798267818663e-11,1.8981451334495826e-07,3.6693935994901405e-10,4.615905430933899e-11,4.430464429958741e-11,4.993362306270435e-08,6.637693729565497e-11,1.2947622000414643e-07,0.4
5.977878401986158e-08,3.0174083277229377e-08,1.2680345842610317e-07,1.0138268417036617e-10,1.8925432378785204e-07,3.7505136102177255e-10,4.8026186817441146e-11,4.7132702909039975e-11,4.9933425153809954e-08,6.657484619005475e-11,1.2946321490306175e-07,0.41
5.9237941373994966e-08,3.0712012032442574e-08,1.2679647038328323e-07,1.0357395767798056e-10,1.887013978378056e-07,3.830605130350455e-10,4.9909065476353335e-11,5.0046593562458895e-11,4.9933229269377995e-08,6.677073062201398e-11,1.2945021309730414e-07,0.42
5.870413676486842e-08,3.124281757833232e-08,1.267893935558999e-07,1.0575376253714382e-10,1.8815560797978033e-07,3.909679977872732e-10,5.180702476370052e-11,5.3045656799260275e-11,4.99330352410151e-08,6.696475898491183e-11,1.2943721456166488e-07,0.43
5.8177247430857193e-08,3.176662339725697e-08,1.2678222913863083e-07,1.0792221150343931e-10,1.8761683068482907e-07,3.9877505654480926e-10,5.3719477979892285e-11,5.6129171885847316e-11,4.9932842978606086e-08,6.715702139391858e-11,1.2942421927219555e-07,0.44
5.765715693145123e-08,3.228354678744528e-08,1.267749783084816e-07,1.100794137071532e-10,1.8708494845346484e-07,4.064830675714945e-10,5.564599670775305e-11,5.929628110349554e-11,4.993265255258934e-08,6.734744741066427e-11,1.294112272072066e-07,0.45
5.714375249798871e-08,3.279370142105671e-08,1.267676422279168e-07,1.1222547603674443e-10,1.8655984735412706e-07,4.140934527330414e-10,5.758621509187373e-11,6.254608095457522e-11,4.99324640948442e-08,6.753590515580733e-11,1.2939823834606473e-07,0.46
5.663692501788296e-08,3.3297197359476796e-08,1.2676022204484096e-07,1.1436050314729013e-10,1.8604141700898688e-07,4.2160767637732917e-10,5.953982937149061e-11,6.587762264024238e-11,4.993227779756819e-08,6.772220243182242e-11,1.2938525266917911e-07,0.47
5.613656267405288e-08,3.379414722125577e-08,1.2675271888493056e-07,1.1648460086618625e-10,1.8552954486986624e-07,4.290267938085739e-10,6.150640951190148e-11,6.929010469135635e-11,4.993209346050806e-08,6.790653949194857e-11,1.2937227015249621e-07,0.48
5.564255413304009e-08,3.428466309054409e-08,1.2674513385547738e-07,1.1859787448610345e-10,1.8502411908732704e-07,4.363516776062492e-10,6.348549362071353e-11,7.278277641581623e-11,4.9931910717901826e-08,6.808928209817793e-11,1.2935929077025905e-07,0.49
