Time,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20,k3f,kf6,k5f,k5r,k2f,k1f,k1r,k4f,k4r,k7f,k7bf,k8f,k8r,u,u_prime,const_val_0,const_val_1,Cytoplasm,R1,R2,R3,R4,R5,R6,R7,R7b,R8
0.0,5e-08,1.3e-07,0.0,2.2e-07,0.0,1.27e-07,0.0,0.0,9e-08,0.0,0.0,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.3e-09,0.0,0.0,0.0,2.7940000000000004e-10,2.86e-11,0.0,0.0,9.900000000000001e-08
0.01,4.998834013745898e-08,1.2998672904032515e-07,1.1659862541015907e-11,2.190136215981708e-07,1.6035857571949652e-12,1.2699720758491155e-07,7.335412800475629e-15,2.7849037117654714e-12,8.901801742305253e-08,1.759639034236332e-16,9.819824009835507e-10,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2972321924164952e-09,2.553668722444744e-10,1.6035857571949654e-14,2.0363624246109563e-12,2.775842029179086e-10,2.8468864286821733e-11,6.52983904478022e-14,0.0,9.740223332448032e-08
0.02,4.997898561291913e-08,1.2997348462862109e-07,2.101438708086992e-11,2.1804078878798592e-07,5.450749604022984e-12,1.2699439801182203e-07,4.7963240021684166e-14,5.551753483877913e-12,8.805183925431377e-08,2.2714540405294976e-15,1.9481584742321588e-09,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2949857062467898e-09,4.581993535008938e-10,5.4507496040229845e-14,6.9211873819603274e-12,2.7578923644475546e-10,2.8339521109947707e-11,4.223251500505403e-13,0.0,9.5838609748279e-08
0.03,4.9971463762085545e-08,1.2996026229037346e-07,2.853623791444821e-11,2.1708163192989032e-07,1.1048092834433257e-11,1.2699154586304994e-07,1.4321712411254256e-13,8.300758072359927e-12,8.710112399792118e-08,1.016175359325295e-14,2.8988658403251995e-09,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2931536599280165e-09,6.194693095608027e-10,1.1048092834433257e-13,1.4027279536349393e-11,2.740151685580319e-10,2.8211985824030855e-11,1.2474372485952238e-12,0.0,9.43083614347563e-08
0.04,4.9965400446900194e-08,1.2994705845952492e-07,3.459955309979857e-11,2.1613619156238483e-07,1.800542129338044e-11,1.2698863130753623e-07,3.0744040086740265e-13,1.1032126381838372e-11,8.616553655046085e-08,2.9125681041464144e-14,3.834434323858071e-09,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2916514519454227e-09,7.478215636750969e-10,1.800542129338044e-13,2.285868925360216e-11,2.722619661489394e-10,2.80862623201763e-11,2.649076709802852e-12,0.0,9.281069982382175e-08
0.05,4.9960498888247815e-08,1.2993387028684216e-07,3.9501111752178525e-11,2.152044395279333e-07,2.601358535781524e-11,1.2698563891738568e-07,5.497616302427138e-13,1.3746066566435848e-11,8.524474894148773e-08,6.525441764166781e-14,4.755185804094601e-09,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.290411974051867e-09,8.500814615357839e-10,2.601358535781524e-13,3.302252233933632e-11,2.705295191998378e-10,2.7962345730775054e-11,4.686429214770315e-12,0.0,9.134482722893368e-08
0.06,4.995652316477561e-08,1.2992069548987737e-07,4.3476835224395104e-11,2.1428629535959235e-07,3.4827201487906485e-11,1.269825567412351e-07,8.754403010146104e-13,1.6442785354545733e-11,8.433844078673573e-08,1.2503310932062045e-13,5.66143418015491e-09,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2893818797198842e-09,9.316489954195058e-10,3.4827201487906483e-13,4.420696208474483e-11,2.6881765952277585e-10,2.784022452706752e-11,7.383326998944283e-12,0.0,8.990994542855733e-08
0.07,4.995328287086461e-08,1.2990753221316696e-07,4.6717129135383576e-11,2.133816414280119e-07,4.42485859595863e-11,1.2697937544081019e-07,1.2870803232102804e-12,1.9122487451710022e-11,8.344629958174635e-08,2.1499141487805799e-13,6.553485426838757e-09,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2885181149129804e-09,9.968577697712546e-10,4.4248585959586303e-13,5.616083648640851e-11,2.671261781002966e-10,2.7719882457507896e-11,1.0740209023637598e-11,0.0,8.85052630450862e-08
0.08,4.9950638780137957e-08,1.298943790795224e-07,4.936121986204341e-11,2.1249031733953136e-07,5.413368406313077e-11,1.2697608860768456e-07,1.7841798276372274e-12,2.1785375762943213e-11,8.256802057918502e-08,3.4183672483547316e-13,7.431637584090129e-09,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2877891978218977e-09,1.0488781272751983e-09,5.413368406313077e-13,6.87011510460522e-11,2.654548184752048e-10,2.76012978312291e-11,1.4731619672531737e-11,0.0,8.712999346811269e-08
0.09,4.994846804642212e-08,1.29881234869177e-07,5.153195357788719e-11,2.116121541673706e-07,6.435560863269523e-11,1.269726907813259e-07,2.365855177759889e-12,2.443165006164042e-11,8.170330728124261e-08,5.117134346685152e-13,8.296181005322692e-09,0.01,1000.0,10000.0,0.2,100000000.0,200000.0,0.2,10000000.0,0.02,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2871673512230095e-09,1.0904787705069648e-09,6.435560863269524e-13,8.16667308460772e-11,2.6380331615431e-10,2.7484447896584753e-11,1.932981925714351e-11,0.0,8.578336980148601e-08
