T,CAD,CD,HS,INA,INA_NI,MA_NI,NS,QD,SD,VD,VS
0.0,0.056000002,0.01169,0.995,-0.66944718,-1.179024e-05,0.0058300002,0.00148,0.00125,0.0153,-59.0,-59.0
5.0,0.05640493,0.011592004,0.99467927,-0.71503586,-1.248978e-05,0.0059458874,0.0015158684,0.0012493673,0.01546371,-59.027046,-58.832367
10.0,0.05692875,0.01166787,0.9945299,-0.73569202,-1.2874345e-05,0.0060075214,0.0015402794,0.0012488049,0.015563224,-58.955288,-58.759716
15.0,0.057507932,0.011746327,0.99440628,-0.75765812,-1.3283911e-05,0.0060718423,0.0015636531,0.001248296,0.015666243,-58.881355,-58.684639
20.0,0.0581306,0.011827697,0.99429053,-0.78100228,-1.372018e-05,0.0061389348,0.0015872649,0.0012478345,0.015772983,-58.805119,-58.607121
25.0,0.05880563,0.011913583,0.9941721,-0.80624479,-1.4193617e-05,0.0062101698,0.0016121627,0.0012474385,0.01588558,-58.725166,-58.525749
30.0,0.059534106,0.012004551,0.99404883,-0.83366507,-1.4709702e-05,0.0062860581,0.0016385666,0.001247111,0.016004764,-58.641052,-58.440067
35.0,0.060320672,0.012101827,0.99391609,-0.86376137,-1.5278552e-05,0.0063676983,0.0016669795,0.0012468611,0.016132116,-58.551781,-58.349049
40.0,0.061176945,0.012207771,0.99376941,-0.89745194,-1.5919089e-05,0.0064572589,0.0016981957,0.0012466989,0.01627071,-58.455395,-58.25066
45.0,0.062103681,0.01232254,0.99360842,-0.93510324,-1.6637192e-05,0.0065548867,0.0017322707,0.0012466253,0.016420754,-58.351757,-58.144764
50.0,0.063115157,0.012448459,0.99342942,-0.9778263,-1.7454799e-05,0.0066627199,0.001769947,0.0012466492,0.016585235,-58.238976,-58.029392
55.0,0.064227611,0.012588141,0.99322838,-1.027018,-1.839883e-05,0.0067831688,0.0018120578,0.0012467804,0.016767515,-58.114914,-57.902317
60.0,0.065449208,0.012743026,0.99300277,-1.0839097,-1.9491474e-05,0.0069176098,0.0018590878,0.0012470242,0.016969454,-57.978428,-57.762348
65.0,0.06683623,0.012922369,0.992737,-1.1527079,-2.0827454e-05,0.0070753903,0.0019141652,0.0012474036,0.017202863,-57.822533,-57.602074
70.0,0.068398386,0.013127804,0.99242836,-1.235811,-2.2447428e-05,0.007258018,0.0019778209,0.0012479249,0.017469849,-57.645893,-57.420105
75.0,0.070197672,0.013371317,0.992055,-1.3400013,-2.4514427e-05,0.0074788011,0.0020542818,0.0012486083,0.017785318,-57.440372,-57.207607
80.0,0.072334491,0.013672841,0.99157989,-1.4773405,-2.7327325e-05,0.0077602467,0.0021506471,0.0012494833,0.018173944,-57.192715,-56.950085
85.0,0.074967697,0.014056576,0.99095911,-1.6695853,-3.1254749e-05,0.00812303,0.0022754234,0.0012505968,0.01866756,-56.881283,-56.625065
90.0,0.07826595,0.014560068,0.99012506,-1.9530172,-3.7119502e-05,0.0086126346,0.0024417364,0.001251992,0.019311998,-56.481365,-56.204815
95.0,0.082714178,0.015305306,0.98884887,-2.4410794,-4.7725964e-05,0.0093815885,0.0026937227,0.0012537612,0.020254735,-55.913933,-55.599384
100.0,0.08927989,0.016557664,0.98661613,-3.4997454,-7.1876551e-05,0.010784737,0.0031300245,0.0012560557,0.021812761,-55.001057,-54.601055
105.0,0.10126867,0.01963258,0.98080099,-8.2091942,-0.00019506122,0.015153445,0.0042581996,0.0012592098,0.025461981,-52.907486,-52.115784
110.0,0.73499924,0.084989168,0.30504715,-0.24002618,-2.5699092e-05,0.007567476,0.14962001,0.0012748531,0.1297293,-49.080376,-58.602707
115.0,0.66302764,0.0056932983,0.92071754,-0.019372541,-3.6818528e-07,0.0017952622,0.014846927,0.0013451993,0.0087771546,-67.045647,-67.266106
120.0,0.46016151,0.0052437866,0.99284083,-0.020626521,-3.5877562e-07,0.0017797012,0.0014952269,0.0013938075,0.0073036007,-67.439178,-67.295097
125.0,0.32067695,0.0057252431,0.99874544,-0.026118655,-4.4899619e-07,0.0019205271,0.00040742292,0.0014253029,0.0075948006,-66.941727,-66.768501
130.0,0.22523865,0.0059012081,0.99914759,-0.032918315,-5.6115761e-07,0.0020716132,0.00034947274,0.0014450736,0.0079597803,-66.412926,-66.23764
135.0,0.16009407,0.0061255596,0.9990992,-0.040709883,-6.8808453e-07,0.002220196,0.00037525696,0.0014568421,0.0083161434,-65.92244,-65.747055
140.0,0.11574785,0.0063382438,0.99899638,-0.049428303,-8.3159449e-07,0.0023677389,0.00041043985,0.0014631661,0.0086589493,-65.471786,-65.296852
145.0,0.085711583,0.006657911,0.99888504,-0.059011921,-9.8932946e-07,0.0025116249,0.00044656135,0.0014658003,0.0089855939,-65.058662,-64.883949
150.0,0.065481126,0.0069998181,0.99876881,-0.06936314,-1.1595902e-06,0.0026508283,0.00048283377,0.0014659497,0.0092956768,-64.680351,-64.505852
155.0,0.052012309,0.0070922747,0.99865055,-0.080416799,-1.3416119e-06,0.0027854373,0.00051874988,0.0014644418,0.0095915487,-64.332764,-64.158585
160.0,0.043148987,0.0073554609,0.9985323,-0.092069626,-1.5338436e-06,0.0029150802,0.00055401877,0.0014618495,0.009870504,-64.013649,-63.839611
165.0,0.037373397,0.0075564305,0.9984144,-0.10423466,-1.7349737e-06,0.0030397042,0.00058853702,0.0014585782,0.010134975,-63.719982,-63.546066
170.0,0.033756915,0.0077462252,0.99829727,-0.11681984,-1.943439e-06,0.0031591821,0.00062220352,0.0014548736,0.010385007,-63.44939,-63.275547
175.0,0.031657882,0.0079247793,0.99818152,-0.12973259,-2.1580479e-06,0.003273644,0.00065495394,0.0014509044,0.010621302,-63.199776,-63.025948
180.0,0.030665107,0.0080929808,0.99806756,-0.14287332,-2.3770376e-06,0.0033829412,0.00068669382,0.001446777,0.010844241,-62.969421,-62.795567
185.0,0.030391902,0.0082517685,0.99795592,-0.15616184,-2.5989032e-06,0.0034870948,0.00071735732,0.0014425907,0.011054412,-62.756538,-62.582611
190.0,0.030560957,0.0084020486,0.99784666,-0.1695419,-2.8233333e-06,0.0035866392,0.00074697367,0.0014384151,0.011252956,-62.559288,-62.385242
195.0,0.031024067,0.0085440138,0.99773997,-0.18295522,-3.0491888e-06,0.0036816741,0.00077555206,0.0014342851,0.011440584,-62.376175,-62.201973
200.0,0.031627715,0.0086781653,0.99763596,-0.19636327,-3.2755888e-06,0.003772385,0.00080310041,0.0014302373,0.011618043,-62.205727,-62.031338
205.0,0.032324638,0.0088049918,0.99753469,-0.20972736,-3.5016276e-06,0.0038589148,0.00082963402,0.0014262795,0.011785989,-62.046726,-61.87212
210.0,0.033082508,0.0089252368,0.99743617,-0.22301315,-3.7270117e-06,0.0039415983,0.00085519144,0.0014224164,0.011945137,-61.898121,-61.72327
215.0,0.033865225,0.0090394253,0.99734038,-0.23620044,-3.9513516e-06,0.0040206849,0.00087981258,0.0014186531,0.012096169,-61.758884,-61.583763
220.0,0.034662105,0.0091480212,0.99724728,-0.24926797,-4.1743933e-06,0.0040964279,0.00090355001,0.0014149885,0.012239724,-61.628159,-61.452747
225.0,0.035466082,0.0092513422,0.99715668,-0.26219267,-4.3958039e-06,0.0041690194,0.00092645572,0.0014114213,0.012376335,-61.505245,-61.329525
230.0,0.036257479,0.0093498826,0.99706852,-0.27498528,-4.6155146e-06,0.004238707,0.00094857509,0.0014079526,0.012506638,-61.389248,-61.2132
235.0,0.037039984,0.0094438996,0.99698275,-0.28761914,-4.8332072e-06,0.0043056277,0.00096994505,0.0014045786,0.012630978,-61.279713,-61.103321
240.0,0.037798889,0.0095338337,0.99689925,-0.30012065,-5.0489271e-06,0.0043700091,0.00099061197,0.0014012994,0.012749948,-61.175827,-60.999081
245.0,0.038540225,0.0096199661,0.99681789,-0.31246814,-5.2626051e-06,0.0044320161,0.0010106146,0.001398111,0.012863867,-61.077259,-60.90015
250.0,0.039257571,0.0097026629,0.99673855,-0.32468596,-5.4743414e-06,0.0044918433,0.0010299957,0.001395012,0.012973219,-60.983376,-60.805889
255.0,0.039954584,0.0097822137,0.99666113,-0.33676532,-5.6843946e-06,0.004549704,0.0010488181,0.0013919992,0.013078385,-60.893867,-60.715996
260.0,0.040632039,0.0098589305,0.99658531,-0.34871697,-5.89306e-06,0.0046058004,0.0010671355,0.0013890702,0.013179771,-60.808323,-60.630051
265.0,0.041289028,0.0099331383,0.9965111,-0.36056727,-6.1006826e-06,0.0046603298,0.0010849973,0.0013862224,0.013277799,-60.726269,-60.547585
270.0,0.041926149,0.010005103,0.99643821,-0.37233698,-6.3075413e-06,0.0047134534,0.0011024479,0.0013834535,0.013372817,-60.64732,-60.468216
275.0,0.042547096,0.010074773,0.99636668,-0.38400105,-6.5130407e-06,0.0047651017,0.0011194843,0.0013807617,0.013464784,-60.57143,-60.391903
280.0,0.043151975,0.010142461,0.99629635,-0.39559695,-6.7176597e-06,0.0048154723,0.0011361582,0.0013781445,0.01355411,-60.498165,-60.318207
285.0,0.04374237,0.010208332,0.99622703,-0.407143,-6.9214821e-06,0.0048646522,0.0011524988,0.0013755995,0.013641018,-60.427246,-60.246861
290.0,0.044318728,0.0102725,0.99615872,-0.41865042,-7.1246122e-06,0.0049127256,0.0011685229,0.0013731254,0.013725694,-60.358475,-60.177658
295.0,0.044881415,0.010335056,0.99609149,-0.43012828,-7.3271312e-06,0.0049597649,0.0011842429,0.0013707204,0.013808301,-60.291687,-60.110428
300.0,0.045432232,0.010396094,0.99602515,-0.44159234,-7.5290236e-06,0.005005816,0.0011996765,0.0013683828,0.013888983,-60.226685,-60.044971
305.0,0.045972414,0.010455674,0.99595976,-0.45305264,-7.7302575e-06,0.0050509181,0.001214833,0.0013661109,0.013967856,-60.163319,-59.981144
310.0,0.046501972,0.01051449,0.99589479,-0.4645797,-7.933123e-06,0.0050956081,0.0012298698,0.0013639037,0.014045654,-60.101128,-59.918488
315.0,0.047022458,0.01057243,0.9958303,-0.47616968,-8.1371418e-06,0.0051397998,0.0012447592,0.0013617601,0.014122318,-60.040089,-59.856976
320.0,0.047535073,0.010629565,0.99576628,-0.48783469,-8.3425248e-06,0.0051835561,0.0012595177,0.0013596786,0.014197966,-59.980095,-59.796494
325.0,0.048041012,0.010685968,0.99570262,-0.49958584,-8.5495312e-06,0.0052269464,0.0012741636,0.0013576581,0.014272716,-59.921055,-59.736946
330.0,0.04854152,0.010741692,0.99563932,-0.51143008,-8.7583712e-06,0.0052700248,0.0012887107,0.0013556976,0.014346657,-59.8629,-59.678272
335.0,0.049037874,0.010796761,0.99557644,-0.52336973,-8.9692048e-06,0.0053128335,0.0013031691,0.0013537966,0.014419855,-59.805595,-59.620426
340.0,0.049533002,0.010852303,0.99551243,-0.53556108,-9.1857073e-06,0.0053561041,0.0013178134,0.0013519551,0.014493453,-59.748371,-59.562645
345.0,0.050028481,0.010908435,0.99544716,-0.54802603,-9.4085353e-06,0.0053999387,0.0013326786,0.0013501728,0.014567601,-59.691154,-59.504852
350.0,0.050525568,0.010965001,0.99538082,-0.56074494,-9.6374897e-06,0.0054442664,0.0013477355,0.0013484489,0.014642172,-59.63406,-59.447163
355.0,0.05102608,0.011022178,0.99531311,-0.57374418,-9.8734708e-06,0.0054892278,0.0013630363,0.0013467832,0.014717369,-59.576996,-59.389477
360.0,0.051531907,0.011080139,0.99524373,-0.58704853,-1.0117425e-05,0.0055349628,0.0013786341,0.0013451758,0.014793386,-59.519886,-59.331711
365.0,0.052045003,0.011139056,0.99517244,-0.60068148,-1.0370342e-05,0.005581608,0.0013945822,0.0013436265,0.014870408,-59.462658,-59.2738
370.0,0.052564867,0.011198753,0.99509948,-0.61472398,-1.0631385e-05,0.0056289723,0.0014108174,0.0013421362,0.014948342,-59.40501,-59.215446
375.0,0.053091004,0.011259047,0.99502504,-0.62926155,-1.08996e-05,0.0056768549,0.0014272747,0.0013407056,0.015027078,-59.346638,-59.156357
380.0,0.053626869,0.011320263,0.99494851,-0.64428848,-1.1176903e-05,0.0057255519,0.0014440673,0.0013393349,0.015106917,-59.287647,-59.096634
385.0,0.054173835,0.011382437,0.99486989,-0.65984744,-1.1463665e-05,0.0057750824,0.0014612109,0.0013380249,0.015187925,-59.227947,-59.036175
390.0,0.054733295,0.011445591,0.99478883,-0.67598212,-1.17602e-05,0.0058254544,0.0014787177,0.0013367762,0.015270148,-59.167442,-58.974895
395.0,0.055306617,0.011509732,0.99470538,-0.69273764,-1.2066765e-05,0.0058766636,0.0014965972,0.0013355901,0.015353619,-59.106052,-58.91272
400.0,0.055894122,0.011575198,0.99461925,-0.71026039,-1.2385825e-05,0.0059290649,0.0015149479,0.0013344673,0.015438908,-59.043369,-58.849205
405.0,0.056493312,0.011643223,0.99452996,-0.7289806,-1.2726086e-05,0.0059839808,0.0015341082,0.0013334079,0.015528031,-58.978092,-58.782982
410.0,0.057107288,0.011713209,0.99443763,-0.74881113,-1.3084302e-05,0.0060407682,0.0015539284,0.0013324141,0.015620071,-58.910709,-58.714577
415.0,0.057736676,0.011785343,0.99434203,-0.76990426,-1.3462508e-05,0.0060996339,0.0015744697,0.0013314869,0.015715381,-58.840935,-58.643688
420.0,0.058382031,0.011859823,0.99424303,-0.79243135,-1.3862947e-05,0.0061607971,0.0015957961,0.0013306279,0.015814336,-58.768459,-58.569988
425.0,0.05904384,0.011936851,0.99414039,-0.81658572,-1.4288093e-05,0.0062244884,0.0016179743,0.0013298388,0.015917325,-58.692966,-58.493156
430.0,0.059723269,0.012016739,0.99403387,-0.84260356,-1.4741313e-05,0.0062910412,0.0016411061,0.0013291214,0.016024873,-58.614071,-58.412777
435.0,0.060503092,0.012111055,0.99390483,-0.87276971,-1.5296941e-05,0.0063707288,0.0016688041,0.0013284982,0.016149726,-58.525581,-58.32246
440.0,0.061348062,0.012215131,0.993761,-0.90667158,-1.5932126e-05,0.0064594992,0.0016996174,0.0013279623,0.016287023,-58.429657,-58.224426
