Time,T,E,I,r2,b,a,g2,p1,g1,mu2,c,p2,g3,mu3,V,s1,s2,compartment,Induction_of_tumor,Removal_of_tumor_from_the_system_by_the_action_of_immune_response,Activation_and_transfer_of_effector_cells_to_the_action_site,Deactivation_and_removal_of_effector_cells_from_the_site_of_tumor,Activation_of_interleukin_2,Deactivation_of_interleukin2
0.0,1.0,1.0,1.0,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.17999999994375,3.1249902344055175e-06,0.020000006225000002,0.03,0.0004881287097781943,10.0
1.0,1.1972136379510068,0.9920428219364933,0.00010237880201618606,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.21549845475055693,3.711508601203304e-06,0.023944278934486703,0.029761284658094796,0.0005797085026862708,0.0010237880201618605
2.0,1.4333205207035868,0.9885800928702889,6.794603496231768e-05,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.25799769361108515,4.427955583720125e-06,0.028666416567982817,0.029657402786108667,0.0006915613998128949,0.0006794603496231769
3.0,1.7159909864855174,0.9903189773039441,8.143483961006343e-05,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.30887837740175794,5.310529143684312e-06,0.03431982589444598,0.029709569319118324,0.0008293299024956643,0.0008143483961006344
4.0,2.054409229374884,0.9981115110866388,9.818994424372288e-05,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.36979366105007055,6.407863549836517e-06,0.04108819080074184,0.029943345332599163,0.001000592724164154,0.0009818994424372288
5.0,2.459567070648218,1.012982557327854,0.00011920554515772743,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.4427220723763965,7.78587309771101e-06,0.049191347718780774,0.030389476719835617,0.0012156176804128786,0.0011920554515772743
6.0,2.944627430538263,1.0361644097446194,0.0001458416309341081,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.5300329370091531,9.534656460845436e-06,0.05889255506088871,0.031084932292338583,0.001488434129757126,0.0014584163093410809
7.0,3.5253478850892943,1.069137111289816,0.00017996843354939156,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.6345626186169936,1.1778246036691483e-05,0.0705069643571644,0.03207411333869448,0.0018383459650184245,0.0017996843354939156
8.0,4.220593171611821,1.11367725003131,0.0002241740874193715,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.7597067698881236,1.46884893835112e-05,0.0844118703648773,0.0334103175009393,0.0022920836265915806,0.0022417408741937147
9.0,5.052949669410822,1.171916467865883,0.00028206056255627174,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,0.909530939057756,1.850481695303533e-05,0.10105900068339646,0.03515749403597649,0.0028868648105577744,0.0028206056255627174
10.0,6.049456686451328,1.2464110965034538,0.00035866372236362514,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,1.088902201502718,2.356239813157195e-05,0.12098914148793563,0.03739233289510362,0.0036747473622114678,0.003586637223636251
11.0,7.242485887268061,1.340225905440514,0.00046105260980688504,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,1.303647456757736,3.0332336013713985e-05,0.1448497260882675,0.04020677716321541,0.004728832112308848,0.00461052609806885
12.0,8.670792650461763,1.4570342290265443,0.0005991831390249044,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,1.5607426728540934,3.9479060530520896e-05,0.17341586207927334,0.04371102687079633,0.006152100482626368,0.005991831390249044
13.0,10.380774266518852,1.6012377990736262,0.000787114282139689,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,1.8685393619118666,5.194234042965597e-05,0.20761549529808235,0.04803713397220878,0.008090010046685223,0.007871142821396889
14.0,12.427978087520472,1.7781103916405785,0.0010447420403497183,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,2.2370360470656117,6.905455867487345e-05,0.24855957281914662,0.05334331174921735,0.010748449622469005,0.010447420403497183
15.0,14.878904083536554,1.993969525287537,0.0014002707793258084,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,2.6782027225838543,9.270844347565615e-05,0.29757809408319136,0.05981908575862611,0.014419322914933419,0.014002707793258084
16.0,17.81316478548309,2.2563822143791605,0.0018937328579869287,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,3.2063696435383338,0.00012559709663121981,0.3562633097556411,0.06769146643137482,0.019516995192782154,0.018937328579869288
17.0,21.326070166871602,2.5744112185407904,0.0025820007346929884,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,3.8386926044543173,0.0001715575488645549,0.42652141936314186,0.0772323365562237,0.026630179373875386,0.025820007346929883
18.0,25.531721992199866,2.9589098494937347,0.0035459165247736187,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,4.595709921928354,0.00023606261435066758,0.5106344582632112,0.08876729548481203,0.03659574131325128,0.03545916524773619
19.0,30.566717731628707,3.4228748842412426,0.004900423638801705,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,5.502009139137429,0.0003269251793362725,0.6113343759399703,0.10268624652723728,0.050603568370751036,0.049004236388017056
20.0,36.59458388974878,3.981869021123155,0.006808944083908149,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,6.587025024826831,0.00045530680677608446,0.7318917025821103,0.11945607063369464,0.07034536809961434,0.06808944083908149
21.0,43.81108273284746,4.654526623777996,0.009503746724845968,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,7.885994783945675,0.0006371623007072137,0.8762216836313774,0.13963579871333986,0.09822543886055149,0.09503746724845968
22.0,52.45056334315342,5.4631590779666706,0.013314749170449424,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,9.4411012470204,0.0008953087869449162,1.0490113008712336,0.1638947723390001,0.13765859277296635,0.13314749170449425
23.0,62.79356272908576,6.434479420620113,0.018710130160842393,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,11.302841069439914,0.0012623894287435565,1.2558712946363497,0.19303438261860337,0.19349019835291442,0.18710130160842392
24.0,75.17590152795022,7.600469624745951,0.0263534287292963,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,13.53166195713888,0.001785118619295433,1.5035180778719277,0.22801408874237852,0.2725865787704329,0.26353428729296297
25.0,89.99956906835803,8.999418749197812,0.03718354956186833,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,16.199921976683807,0.0025303627429282952,1.7999914373885424,0.26998256247593433,0.38466181391612403,0.37183549561868334
26.0,107.74574629672325,10.677165337972008,0.05252635017637856,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,19.394233680395732,0.003593849767650018,2.1549149923998194,0.3203149601391602,0.5434304980218035,0.5252635017637856
27.0,128.99038611086286,12.688584303894483,0.07424950391509462,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,23.218268564038578,0.005112643458455719,2.5798078012036947,0.3806575291168345,0.7682065350185676,0.7424950391509462
28.0,154.42284894770322,15.099366108094827,0.1049760179660696,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,27.796111469225664,0.007283007715362758,3.088457072947618,0.4529809832428448,1.0861067037060568,1.0497601796606961
29.0,184.86819216952543,17.988145810883495,0.1483766965989491,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,33.276272668100596,0.010385987368222485,3.6973639553667166,0.5396443743265048,1.5350653111438168,1.4837669659894908
30.0,221.31382031676932,21.449050148557934,0.20956697813250352,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,39.83648490190433,0.014824032710099227,4.426276539855723,0.643471504456738,2.1679223062435162,2.0956697813250353
31.0,264.9413439456068,25.594744539498265,0.29564017134049647,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,47.68943796180146,0.021173425938484612,5.298827038239421,0.7678423361849479,3.057909816824883,2.956401713404965
32.0,317.1646509358657,30.5600772955315,0.41637521397869726,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,57.089631510076195,0.030259309577033634,6.343293208953796,0.916802318865945,4.305925906393481,4.163752139786973
33.0,379.67539109292727,36.50643779557956,0.585163104607485,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,68.341562288098,0.04326303168428654,7.59350804911112,1.0951931338673866,6.050040564578279,5.85163104607485
34.0,454.4972883401,43.626966726378555,0.8201996024342036,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,81.80950028178009,0.06187567421717781,9.089946038379868,1.3088090017913565,8.477712746440172,8.201996024342037
35.0,544.0509638432753,52.152783587809424,1.1459914461309475,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,97.92915684227042,0.08851754413391989,10.881019601516584,1.5645835076342827,11.841190052259822,11.459914461309475
36.0,651.2312560328874,62.36042756361971,1.5952177708445903,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,117.22160223017386,0.12665181234428793,13.02462550885141,1.8708128269085913,16.476491895200493,15.952177708445902
37.0,779.4993942233509,74.58074618062696,2.210972675186174,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,140.3098567816172,0.18123242469768355,15.589988348732165,2.237422385418809,22.826224760563647,22.10972675186174
38.0,932.9926897590437,89.2094993671636,3.0493921296045423,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,167.93863519238892,0.2593432668578471,18.65985435051001,2.676284981014908,31.466231393319433,30.49392129604542
39.0,1116.655201196435,106.72002899610679,4.182640936790728,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,200.99786607617364,0.3711096061824357,22.33310468826088,3.2016008698832037,43.13578377525785,41.826409367907274
40.0,1336.3927737655033,127.67834521547768,5.702195559985617,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,240.550598818348,0.5309962448991309,26.727856270107765,3.83035035646433,58.770683290430824,57.02195559985617
41.0,1599.2569033527395,152.7610944134772,7.722344848470721,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,287.86609873721943,0.7596542266821578,31.985139017992605,4.582832832404316,79.53843158829807,77.2234484847072
42.0,1913.663024374195,182.77700284948938,10.383825003870355,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,344.459138393883,1.0865447237401695,38.27326162527075,5.483310085484681,106.8747070323582,103.83825003870355
43.0,2289.6476632777835,218.69229372732397,13.857538391076401,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,412.1362845001398,1.5536592718385345,45.792954626915204,6.5607688118197185,142.52061619636603,138.575383910764
44.0,2739.171614025787,261.660876893061,18.34841443024961,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,493.050468477453,2.220784179689642,54.783433909354706,7.84982630679183,188.56113620130884,183.48414430249608
45.0,3276.4755060450784,313.0600741932488,24.099363809063526,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,589.7649872279536,3.1729301162702575,65.52951206970053,9.391802225797463,247.46621060941655,240.99363809063527
46.0,3918.4988807701125,374.5332023712908,31.396113320062366,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,705.3289348404871,4.530793824292681,78.36997994687144,11.235996071138725,322.13777592117685,313.96113320062364
47.0,4685.364443863418,448.03941404341003,40.572499433162044,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,843.3643650594169,6.465422128293499,93.70729166631372,13.441182421302301,415.9660190234739,405.72499433162045
48.0,5600.940424523495,535.9125260272634,52.01754409820245,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,1008.1675118217117,9.218689992482973,112.01881182652536,16.077375780817903,532.9001053879412,520.1754409820245
49.0,6693.487825239027,640.9300542692646,66.18414354650818,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,1204.8252883866912,13.131750937674122,133.86976049457013,19.227901628077937,677.5380923008602,661.8414354650818
50.0,7996.396367255386,766.3935704176023,83.60014289619586,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,1439.3477493485086,18.684311261497175,159.9279321159077,22.99180711252807,855.2398470114676,836.0014289619586
51.0,9549.01974176681,916.2226876458759,104.88216517182023,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,1718.8184244305116,26.548489020057822,190.98040053882244,27.486680629376277,1072.2673082663805,1048.8216517182022
52.0,11397.602452863812,1095.063126743772,130.7518572692833,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,2051.561134340017,37.661992986780206,227.9520558740442,32.85189380231316,1335.9529222903896,1307.518572692833
53.0,13596.29851712466,1308.4110809831652,162.05593545818382,0.18,1e-09,1.0,100000.0,0.1245,20000000.0,0.03,0.02,5.0,1000.0,10.0,3.2,0.0,0.0,1.0,2447.323334744937,53.32657382362317,271.92597848735215,39.252332429494956,1654.8984384512935,1620.5593545818383
