E_2_task1,I_3_task1,T_1_task1,_1_task1
1.0,1.0,1.0,0.0
0.9920428219364933,0.00010237880201618606,1.1972136379510068,1.0
0.9885800928702889,6.794603496231768e-05,1.4333205207035868,2.0
0.9903189773039441,8.143483961006343e-05,1.7159909864855174,3.0
0.9981115110866388,9.818994424372288e-05,2.054409229374884,4.0
1.012982557327854,0.00011920554515772743,2.459567070648218,5.0
1.0361644097446194,0.0001458416309341081,2.944627430538263,6.0
1.069137111289816,0.00017996843354939156,3.5253478850892943,7.0
1.11367725003131,0.0002241740874193715,4.220593171611821,8.0
1.171916467865883,0.00028206056255627174,5.052949669410822,9.0
1.2464110965034538,0.00035866372236362514,6.049456686451328,10.0
1.340225905440514,0.00046105260980688504,7.242485887268061,11.0
1.4570342290265443,0.0005991831390249044,8.670792650461763,12.0
1.6012377990736262,0.000787114282139689,10.380774266518852,13.0
1.7781103916405785,0.0010447420403497183,12.427978087520472,14.0
1.993969525287537,0.0014002707793258084,14.878904083536554,15.0
2.2563822143791605,0.0018937328579869287,17.81316478548309,16.0
2.5744112185407904,0.0025820007346929884,21.326070166871602,17.0
2.9589098494937347,0.0035459165247736187,25.531721992199866,18.0
3.4228748842412426,0.004900423638801705,30.566717731628707,19.0
3.981869021123155,0.006808944083908149,36.59458388974878,20.0
4.654526623777996,0.009503746724845968,43.81108273284746,21.0
5.4631590779666706,0.013314749170449424,52.45056334315342,22.0
6.434479420620113,0.018710130160842393,62.79356272908576,23.0
7.600469624745951,0.0263534287292963,75.17590152795022,24.0
8.999418749197812,0.03718354956186833,89.99956906835803,25.0
10.677165337972008,0.05252635017637856,107.74574629672325,26.0
12.688584303894483,0.07424950391509462,128.99038611086286,27.0
15.099366108094827,0.1049760179660696,154.42284894770322,28.0
17.988145810883495,0.1483766965989491,184.86819216952543,29.0
21.449050148557934,0.20956697813250352,221.31382031676932,30.0
25.594744539498265,0.29564017134049647,264.9413439456068,31.0
30.5600772955315,0.41637521397869726,317.1646509358657,32.0
36.50643779557956,0.585163104607485,379.67539109292727,33.0
43.626966726378555,0.8201996024342036,454.4972883401,34.0
52.152783587809424,1.1459914461309475,544.0509638432753,35.0
62.36042756361971,1.5952177708445903,651.2312560328874,36.0
74.58074618062696,2.210972675186174,779.4993942233509,37.0
89.2094993671636,3.0493921296045423,932.9926897590437,38.0
106.72002899610679,4.182640936790728,1116.655201196435,39.0
127.67834521547768,5.702195559985617,1336.3927737655033,40.0
152.7610944134772,7.722344848470721,1599.2569033527395,41.0
182.77700284948938,10.383825003870355,1913.663024374195,42.0
218.69229372732397,13.857538391076401,2289.6476632777835,43.0
261.660876893061,18.34841443024961,2739.171614025787,44.0
313.0600741932488,24.099363809063526,3276.4755060450784,45.0
374.5332023712908,31.396113320062366,3918.4988807701125,46.0
448.03941404341003,40.572499433162044,4685.364443863418,47.0
535.9125260272634,52.01754409820245,5600.940424523495,48.0
640.9300542692646,66.18414354650818,6693.487825239027,49.0
766.3935704176023,83.60014289619586,7996.396367255386,50.0
916.2226876458759,104.88216517182023,9549.01974176681,51.0
1095.063126743772,130.7518572692833,11397.602452863812,52.0
1308.4110809831652,162.05593545818382,13596.29851712466,53.0
1562.7544889331766,199.78836866175635,16208.265681737576,54.0
1865.7326795682889,245.11619634758637,19306.812684794037,55.0
2226.313694319171,299.4079056027376,22976.557634289074,56.0
2654.989000858066,364.2645451586655,27314.54481607991,57.0
3163.98324458517,441.5532226329729,32431.242463196588,58.0
3767.475913472355,533.4421980631058,38451.331059553144,59.0
4481.829059773533,642.4369275042452,45514.15888911388,60.0
5325.812265489412,771.4158160948996,53773.74025143535,61.0
6320.8160808719795,923.6639045451473,63398.19116669705,62.0
7491.040971265865,1102.9034275973058,74568.43702092602,63.0
8863.64647424097,1313.3181123084985,87476.11490573823,64.0
10468.848873971092,1559.5671405113615,102320.66535862534,65.0
12339.947305721622,1846.7966752595432,119305.5171346988,66.0
14513.266182988078,2180.62333781004,138633.47127484917,67.0
17028.00397060041,2567.1200165941173,160501.41851980315,68.0
19925.973313751347,3012.77299730953,185094.45525890018,69.0
23251.22844452638,3524.4261271180885,212579.58861966964,70.0
27049.579370702668,4109.20730946346,243099.1792298055,71.0
31367.9869562715,4774.43488424808,276764.217464735,72.0
36253.844750957964,5527.507368892968,313647.52571018616,73.0
41754.14798959447,6375.775167582099,353776.9415491564,74.0
47914.5489144147,7326.394198238072,397128.49656274833,75.0
54778.3089623556,8386.164128483631,443619.61279260187,76.0
62385.145115354244,9561.348204494965,493102.34293609584,77.0
70769.98376645762,10857.481882606497,545356.686917827,78.0
79961.62116874228,12279.160006663613,600084.0600504032,79.0
89981.28915053533,13829.824603477204,656900.9994000015,80.0
100841.14908015465,15511.500420161121,715333.2129947821,81.0
112542.70670216792,17324.62164033241,774810.2035993964,82.0
125075.12370769757,19267.650445448533,834660.2585174234,83.0
138413.64818004245,21336.940709401115,894107.5045854147,84.0
152518.13993471238,23526.450982679537,952270.9422441764,85.0
167331.1697611477,25827.459857515514,1008161.7736837206,86.0
182776.04095757447,28228.253260370962,1060682.7835812245,87.0
198756.03445750312,30714.001801563514,1108637.7251711667,88.0
215152.83535762058,33266.510216153234,1150736.007602422,89.0
231825.2416181842,35864.007813306904,1185604.00825911,90.0
248608.48551773452,38481.03161781994,1211801.2782336548,91.0
265313.81292941904,41088.34518259714,1227844.0274870568,92.0
281728.6169946695,43652.94608932975,1232234.1853871443,93.0
297617.2581893008,46138.14906562662,1223501.1634139423,94.0
