value_component_environment_variable_time,value_component_Parameters_variable_R_T,value_component_Parameters_variable_K_1,value_component_Parameters_variable_K_2,value_component_Parameters_variable_k_r,value_component_Parameters_variable_k_p,value_component_Parameters_variable_k_e,value_component_Parameters_variable_xi,value_component_Parameters_variable_G_T,value_component_Parameters_variable_k_deg,value_component_Parameters_variable_k_a,value_component_Parameters_variable_k_d,value_component_Parameters_variable_PIP_2_T,value_component_Parameters_variable_r_r,value_component_Parameters_variable_delta,value_component_Parameters_variable_K_c,value_component_Parameters_variable_alpha,value_component_Parameters_variable_N_a,value_component_Parameters_variable_v,value_component_Parameters_variable_epsilon_r,value_component_Parameters_variable_d_1,value_component_Parameters_variable_d_2,value_component_Parameters_variable_d_3,value_component_Parameters_variable_d_5,value_component_Parameters_variable_a_2,value_component_Parameters_variable_B_e,value_component_Parameters_variable_K_e,value_component_Parameters_variable_B_ER,value_component_Parameters_variable_K_ER,value_component_Parameters_variable_B_x,value_component_Parameters_variable_K_x,value_component_Parameters_variable_k_3,value_component_Parameters_variable_eta_1,value_component_Parameters_variable_eta_2,value_component_Parameters_variable_eta_3,value_component_Parameters_variable_C_T,value_component_ligand_variable_L,value_component_RS_variable_RS,value_component_RS_p_variable_RS_p,value_component_G_GTP_variable_G,value_component_IP_3_variable_IP_3,value_component_PIP_2_variable_PIP_2,value_component_r_h_variable_r_h,value_component_rho_r_variable_rho_r,value_component_C_variable_C,value_component_h_variable_h,value_component_tau_h_variable_tau_h,value_component_h_infinit_variable_h_infinit,value_component_zeta_variable_zeta,value_component_m_infinit_variable_m_infinit,value_component_beta_variable_beta,value_component_gamma_variable_gamma,value_component_C_ER_variable_C_ER,value_component_RS_E_variable_RS_E
0.0,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,17000.0,0.0,0.0,0.01,49997000.0,0.0,0.9950248756218906,0.0961,0.6155,19.97206007293888,0.6161370053981147,0.1542497376705142,0.03847693786034593,0.007705755473093769,0.005413625539720501,2.6620808191628718,3621.495983653611
0.1,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16949.381818005142,50.65685800106577,167.70859484087356,0.01604573695828316,49994878.972627714,0.0009035719768743462,0.9920621491369704,0.09611435004379451,0.6155162977545496,19.53042485735249,0.6245691817512794,0.15989646572285188,0.059187396261959666,0.007706414410824487,0.005413865998343566,2.6619801612997143,3621.495983653611
0.2,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16898.914509421054,101.1352598172439,332.1436760880919,0.03534455470846469,49988625.41792121,0.0017901445902588234,0.9891082534048027,0.09615682180758407,0.6156229850336782,18.274088137102627,0.6485643526609074,0.17745464172959213,0.11518066031431302,0.007708364767041393,0.005414577671650482,2.661682295075987,3621.495983653611
0.30000000000000004,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16848.59762494328,151.43575244483773,493.3625450854664,0.06608902231884682,49978583.448423035,0.002662913600141936,0.9861631621272039,0.0963296909523565,0.6158990111017546,16.64621126199631,0.6792951227208518,0.2040389587844828,0.1817534093585019,0.007716304690488303,0.005417474163330851,2.660470693206755,3621.495983653611
0.4,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16798.43071666449,201.55888117021354,651.4214877551449,0.10676861657163826,49965174.09943576,0.0035301467604512923,0.9832268490877665,0.09680994483264468,0.6163986147015447,14.986628250141438,0.7098290691752905,0.2368208036282582,0.24373604032923532,0.007738375975146218,0.005425519572172327,2.657111233014078,3621.495983653611
0.5,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16748.413338072198,251.50518957287696,806.3757918690601,0.1562164241877667,49948766.07769702,0.004404446378857948,0.9802992881517236,0.09776326557484705,0.6171527151056725,13.471112006588847,0.7366040198622688,0.2734013418869908,0.2963348429181299,0.007782245142929117,0.005441483732410131,2.6504709021205226,3621.495983653611
0.6000000000000001,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16698.545043941653,301.27521965584015,958.2797796982251,0.21361112074009958,49929636.80748695,0.005299764008607742,0.9773804532596811,0.09929301801429419,0.6181735041602109,12.158597585605099,0.7585472301807918,0.31193861991076044,0.33991960416697253,0.007852797240726126,0.005467083354745823,2.639893373729496,3621.495983653611
0.7000000000000001,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16648.82539038795,350.86951178223757,1107.1868171976212,0.2784383515679152,49907967.09745348,0.0062292583405900385,0.9744703184306671,0.1014470808690302,0.6194594006632312,11.048309081986403,0.7758362590187369,0.351110859255237,0.3763757601643256,0.007952467556271858,0.005503094261574826,2.625159316549039,3621.495983653611
0.8,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16599.253934841698,400.288604704964,1253.149334123918,0.3504354389448591,49883854.410873845,0.0072046472675909735,0.9715688577607081,0.10424356978160357,0.6209993306104934,10.116194317242972,0.7890903583532443,0.39001344458570064,0.40760732099819136,0.008082422727150027,0.005549781977521465,2.6063046995181605,3621.495983653611
0.9,20000.0,5.0,100.0,0.000175,0.03,0.006,0.85,100000.0,1.25,0.017,0.15,50000000.0,10.0,0.001238,0.4,2.781e-05,6.02252e+17,5e-13,0.185,0.13,1.05,0.943,0.0823,0.2,150.0,10.0,120000.0,1200.0,50.0,0.2,0.4,575.0,5.2,45.0,67.0,1000.0,16549.830236048296,449.5330355676232,1396.218840405868,0.42953926906226136,49857327.96533326,0.008236360894422586,0.9686760454227858,0.10769129580686679,0.6227759319138502,9.332852647911738,0.7989866009543675,0.4280505816906601,0.4351301740931387,0.00824349532729455,0.005607244426280374,2.583473347326216,3621.495983653611
