Time,[C],[M],[X],Values[V1],Values[V3]
0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.00399839838738568,0.0001458459003757071,2.1197406682928154e-06,0.023800066033021865,0.0001458459003757071
0.16,0.007993583833491769,0.0003072041420505748,5.283934291197337e-06,0.0472067999747328,0.0003072041420505748
0.24,0.011985545673955862,0.0004709945192057554,8.51874151852099e-06,0.07022978934793131,0.0004709945192057554
0.32,0.015974277706560815,0.0006372713743733881,1.180507323324636e-05,0.09287833752622954,0.0006372713743733881
0.4,0.01995977620069252,0.0008060909122226779,1.5143768133242965e-05,0.11516146314165177,0.0008060909122226779
0.48,0.023942038928057102,0.00097751098776342,1.8536071396724738e-05,0.13708790562238854,0.00097751098776342
0.56,0.027921064622961348,0.0011515914244049099,2.1983248806262288e-05,0.1586661330301478,0.0011515914244049099
0.64,0.03189685270382538,0.0013283937060614085,2.5486627631434197e-05,0.1799043510504832,0.0013283937060614085
0.72,0.0358694030265378,0.0015079812025268677,2.9047583777912395e-05,0.20081051179980192,0.0015079812025268677
0.8,0.03983871574888961,0.0016904195403038345,3.266753166619531e-05,0.2213923228549297,0.0016904195403038345
0.88,0.043804791229898166,0.0018757762115762743,3.634792979282264e-05,0.2416572560761752,0.0018757762115762743
0.96,0.04776763001388252,0.0020641208292199874,4.009028453417117e-05,0.26161255647402115,0.0020641208292199874
1.04,0.051727232799989566,0.0022555251110805362,4.389615124927849e-05,0.2812652506065885,0.0022555251110805362
1.12,0.05568360032605781,0.0024500631543419187,4.776714029246638e-05,0.30062215419017807,0.0024500631543419187
1.2,0.05963673343814973,0.0026478114475995207,5.1704914411856854e-05,0.319689880282353,0.0026478114475995207
1.28,0.06358663298558179,0.0028488489859768112,5.5711194361747375e-05,0.3384748462648964,0.0028488489859768112
1.36,0.06753329983674158,0.003053257365109144,5.978776050967624e-05,0.3569832811017526,0.003053257365109144
1.44,0.07147673487566969,0.0032611207818818086,6.393645349879949e-05,0.37522123218832426,0.0032611207818818086
1.52,0.07541693899501868,0.0034725260460244244,6.81591741877535e-05,0.39319457188766327,0.0034725260460244244
1.6,0.07935391310090424,0.0036875628818010663,7.245788923673655e-05,0.41090900383933415,0.0036875628818010663
1.68,0.08328765805141819,0.003906324627375416,7.683464732958356e-05,0.42837006870498295,0.003906324627375416
1.76,0.08721817476664206,0.004128906592385782,8.129154340769267e-05,0.44558315042600066,0.004128906592385782
1.84,0.09114546404320638,0.004355408376189989,8.58307783636919e-05,0.4625534809307678,0.004355408376189989
