data_set_value_component_environment_variable_time,data_set_value_component_T_variable_T,data_set_value_component_T_variable_k,data_set_value_component_T_variable_r,data_set_value_component_T_variable_d,data_set_value_component_T_variable_gamma,data_set_value_component_A_variable_A,data_set_value_component_A_variable_lambda,data_set_value_component_A_variable_delta_1,data_set_value_component_A_star_variable_A_star,data_set_value_component_A_star_variable_delta_2,data_set_value_component_C_variable_C,data_set_value_component_C_variable_eta,data_set_value_component_C_variable_epsilon,data_set_value_component_C_variable_q,data_set_value_component_C_variable_mu,data_set_value_component_ratio_variable_R,data_set_value_component_kinetic_parameters_variable_alpha
0.0,0.1,10.0,0.5,0.1,1.0,1.0,1.0,0.1,2.0,1.5,0.015,2.0,1.0,0.5,0.1,0.6,0.05
0.1,0.10384051400630245,10.0,0.5,0.1,1.0,1.089021644491104,1.0,0.1,1.7219107779199168,1.5,0.021282627351739532,2.0,1.0,0.5,0.1,0.7058282746402678,0.05
0.2,0.1077527530299967,10.0,0.5,0.1,1.0,1.177090768594112,1.0,0.1,1.482621364893137,1.5,0.028637391573442663,2.0,1.0,0.5,0.1,0.7880709752218955,0.05
0.30000000000000004,0.11172311362837496,10.0,0.5,0.1,1.0,1.2642135407805555,1.0,0.1,1.2767290151972137,1.5,0.03681686953975878,2.0,1.0,0.5,0.1,0.841458209739732,0.05
0.4,0.11573941677982096,10.0,0.5,0.1,1.0,1.350396137782561,1.0,0.1,1.099582101641466,1.5,0.04551820620677423,2.0,1.0,0.5,0.1,0.8648912572111866,0.05
0.5,0.11979185895077878,10.0,0.5,0.1,1.0,1.4356447369666203,1.0,0.1,0.9471817010703061,1.5,0.054424791228938806,2.0,1.0,0.5,0.1,0.8606622651678517,0.05
0.6000000000000001,0.12387356199423426,10.0,0.5,0.1,1.0,1.5199655161394412,1.0,0.1,0.8160834157658946,1.5,0.06324170576029492,2.0,1.0,0.5,0.1,0.8332771969231879,0.05
0.7000000000000001,0.12798076859190188,10.0,0.5,0.1,1.0,1.603364644551211,1.0,0.1,0.7033233749139555,1.5,0.0717185589443243,2.0,1.0,0.5,0.1,0.7882643537097704,0.05
0.8,0.13211274607630893,10.0,0.5,0.1,1.0,1.6858482668024277,1.0,0.1,0.6063503826079183,1.5,0.07966079306562864,2.0,1.0,0.5,0.1,0.7312292536299936,0.05
0.9,0.13627148221123092,10.0,0.5,0.1,1.0,1.7674224819603068,1.0,0.1,0.5229676357366205,1.5,0.08693187022898827,2.0,1.0,0.5,0.1,0.6672350502997593,0.05
1.0,0.14046126441316514,10.0,0.5,0.1,1.0,1.8480933208341808,1.0,0.1,0.4512850989378921,1.5,0.09344821059202511,2.0,1.0,0.5,0.1,0.6004756562427521,0.05
